District,col_1,col_2,col_3,col_4
Agra,17105.81,11240.23,65.71,
Aligarh,1207.4,49.83,,
Amroha,205868.0,21701.0,11.12,
Bulandshahr,6713.91,2480.65,36.95,
Chandauli,2158.96,1228.34,56.89,
Chitrakoot,1076.51,374.49,34.79,
Deoria,3815.16,1390.99,36.46,
Etawah,1547.22,1099.92,71.09,
Farrukhabad,2672.09,35.69,,
Fatehpur,3089.29,44.77,,
Firozabad,5632.82,40.28,,
Gautam Buddha Nagar,18074.34,16073.49,88.93,
Ghaziabad,48035.0,1018.78,21.2,4.76
Gorakhpur,5608.81,80.23,,
Hamirpur,653.82,23.5,,
Hapur,3900.76,42.31,,
Hardoi,6110.25,2034.56,33.3,
Hathras,2784.9,1356.06,48.69,
Jalaun,3679.33,779.94,21.2,
Jaunpur,3079.67,2019.98,65.59,
Jhansi,4731.28,2161.02,45.68,
Kannauj,2653.95,883.99,33.31,
Kanpur Dehat,2080.03,887.28,42.66,
Kanpur Nagar,12573.46,343.54,,
Kasganj,2457.81,729.2,29.67,
Kaushambi,623.34,69.08,,
Kheri,5338.04,2775.98,,
Kushi Nagar,4994.53,1374.95,27.53,
Lalitpur,1986.08,864.73,43.54,
Lucknow,14562.05,17714.34,,
Mainpuri,3060.67,1200.09,,
Mathura,6053.83,347963.0,57.48,
Mau,2894.0,952.32,32.91,
Meerut,14863.07,7683.57,51.7,
Muzaffarnagar,4108.99,42.76,,
Pilibhit,4584.49,1876.41,40.93,
Pratapgarh,2325.0,1259.89,54.19,
Rae Bareli,3129.41,2175.5,,
Saharanpur,7887.99,3647.45,46.24,
Sambhal,3102.92,1014.52,32.7,
Sant Kabeer Nagar,2100.28,793.81,37.8,
Shahjahanpur,2931.82,57.11,,
Shravasti,715.38,470.05,65.71,
Siddharth Nagar,4659.97,725.14,15.56,
Sitapur,2656.18,2024.46,76.22,
Sonbhadra,1385.15,1066.5,77.0,
Sultanpur,1477.55,1159.91,78.5,
Unnao,2560.12,956.13,37.35,
Varanasi,5292.83,8567.54,161.87,
