District,total_deposit,total_advances,cd_ratio
Banda,7041.18,3248.79,46.14
Fatehpur,9718.89,4333.71,44.59
Firozabad,10922.09,7301.9,
Gorakhpur,41570.45,20183.83,48.55
Hamirpur,4613.5,2535.57,54.96
Hapur,9150.6,5991.21,65.47
Hardoi,12231.43,6432.49,52.59
Kannauj,5871.6,3644.69,62.07
Kaushambi,5097.84,2142.27,42.02
Kheri,11934.85,9156.37,76.72
Kushi Nagar,10239.24,4912.91,
Lalitpur,4855.06,3791.44,78.09
Mainpuri,7127.46,4540.24,63.7
Mathura,22795.28,13571.09,
Prayagraj,63073.97,37.4,
Sambhal,5468.44,83.68,
Sant Kabeer Nagar,5706.13,44.34,
Shamli,5953.18,63.03,
Sultanpur,4361.21,39.76,
Unnao,14459.67,4408.75,30.49
Varanasi,58297.1,30507.35,52.33
