District,target_no,target_amt,achievement_no,achievement_amt,achievement_pct_no,achievement_pct_amt
Aligarh,122262.0,157964.0,965.0,,,
Ambedkar Nagar,26438.0,181568.0,208006.0,,,
Auraiya,11249.0,103252.0,114501.0,2025.0,,
Ayodhya,20487.0,141666.0,162153.0,554.0,,
Azamgarh,16.0,24892.0,459103.0,9003.0,,
Baghpat,115.0,8976.0,52979.0,61955.0,1039.0,
Bahraich,93.0,23598.0,191435.0,215033.0,3754.0,638.0
Ballia,14.0,122.0,,,,
Banda,57.0,8289.0,63691.0,71980.0,1249.0,
Bhadohi,130653.0,2393.0,,,,
Bulandshahr,17.0,207.0,,,,
Chandauli,11733.0,133854.0,2395.0,318.0,,
Chitrakoot,12.0,5099.0,34768.0,39867.0,682.0,
Deoria,134.0,21251.0,245064.0,266315.0,4806.0,575.0
Etah,110832.0,131951.0,2174.0,571.0,,
Fatehpur,19069.0,135122.0,154191.0,2650.0,516.0,
Firozabad,22340.0,136820.0,159160.0,2683.0,604.0,
Gautam Buddha Nagar,6004.0,36259.0,594.0,,,
Hapur,107.0,11928.0,49054.0,60982.0,962.0,
Hardoi,15.0,170.0,50845.0,356949.0,,
Hathras,87.0,17533.0,65753.0,83286.0,1290.0,
Jalaun,75.0,11538.0,87391.0,98929.0,1714.0,
Jaunpur,407794.0,6999.0,1375.0,,,
Jhansi,16.0,24217.0,95724.0,119941.0,1877.0,
Kannauj,22077.0,97376.0,119453.0,,,
Kanpur Dehat,17379.0,110657.0,128036.0,2170.0,,
Kasganj,1206391.0,79568.0,99699.0,1561.0,,
Kaushambi,12424.0,115617.0,128041.0,2267.0,,
Kheri,14.0,170.0,33364.0,266987.0,,
Kushi Nagar,16.0,113.0,34634.0,292700.0,5061.0,937.0
Lalitpur,102213.0,127172.0,2005.0,,,
Mathura,33216.0,132397.0,165613.0,2597.0,898.0,
Mau,11211.0,142272.0,153483.0,,,
Meerut,18034.0,101190.0,119224.0,1985.0,,
Mirzapur,13686.0,181865.0,195551.0,3566.0,,
Moradabad,11880.0,49936.0,61816.0,980.0,,
Pilibhit,34224.0,136626.0,170850.0,2679.0,925.0,
Pratapgarh,17.0,136.0,21239.0,254680.0,275919.0,4994.0
Saharanpur,33464.0,146722.0,180186.0,2877.0,905.0,
Sant Kabeer Nagar,10578.0,114106.0,2030.0,,,
Shamli,14.0,74.0,13435.0,45139.0,58574.0,
Sitapur,175630.0,201588.0,,,,
Sultanpur,18777.0,146595.0,165372.0,2875.0,508.0,
