District,target_no,target_amt,achievement_no,achievement_amt,achievement_pct_no
Agra,53794.0,981.22,,,
Amethi,1.0,1.0,1.0,100.0,
Amroha,340.0,282.49,,,
Auraiya,10918.0,199.76,18.0,,
Ayodhya,2.0,2.0,43.0,43.0,102.38
Azamgarh,2.0,3.0,2.0,2.0,100.0
Baghpat,2.0,2.0,2.0,2.0,100.0
Bahraich,1.0,2.0,1.0,1.0,100.0
Ballia,21.0,16.0,16.0,16.0,76.19
Balrampur,20.0,20.0,20.0,111.11,
Banda,1.0,2.0,2.0,2.0,200.0
Barabanki,519.0,939.72,,,
Bareilly,7.0,9.0,8.0,,
Basti,7341.0,130.93,17.0,80.95,
Bhadohi,32.0,30.0,30.0,107.14,
Bijnor,5.0,4.0,66.67,86.27,
Budaun,3.0,100.0,64.0,100.0,
Bulandshahr,5.0,5.0,100.0,100.0,
Chandauli,5.0,4.0,400.0,105.56,
Chitrakoot,1989.0,27.69,1.0,100.0,
Deoria,1.0,1.0,100.0,92.86,
Etah,3.0,2.0,100.0,89.29,
Etawah,1.0,100.0,,,
Farrukhabad,9303.0,169.05,100.0,,
Fatehpur,1.0,2.0,200.0,,
Firozabad,4.0,4.0,100.0,,
Gautam Buddha Nagar,1.0,100.0,,,
Ghaziabad,8.0,8.0,100.0,,
Ghazipur,17131.0,286.74,,,
Gonda,1.0,100.0,,,
Gorakhpur,37674.0,610.56,,,
Hamirpur,4895.0,94.46,,,
Hapur,2.0,100.0,,,
Hardoi,22315.0,352.06,133.33,,
Hathras,12370.0,146.29,,,
Jaunpur,16857.0,241.94,1.0,1.0,100.0
Jhansi,3.0,3.0,3.0,,
Kannauj,1.0,1.0,1.0,1.0,
Kanpur Dehat,1.0,1.0,,,
Kanpur Nagar,33800.0,1469.03,,,
Kasganj,7404.0,123.84,1.0,1.0,100.0
Kaushambi,7633.0,120.41,2.0,200.0,
Kheri,64402.0,1256.96,100.0,102.17,
Kushi Nagar,17415.0,201.77,1.0,100.0,
Lalitpur,1.0,1.0,1.0,1.0,100.0
Lucknow,5.0,6.0,6.0,120.0,
Maharajganj,1.0,1.0,1.0,1.0,100.0
Mahoba,1.0,1.0,100.0,,
Mainpuri,34.0,32.0,32.0,114.29,
Mathura,47178.0,429.56,3.0,100.0,
Mau,9117.0,162.43,1.0,1.0,100.0
Meerut,6.0,8.0,6.0,100.0,
Mirzapur,1.0,1.0,39.0,92.86,
Moradabad,4.0,7.0,100.0,,
Muzaffarnagar,5.0,5.0,100.0,80.95,
Pilibhit,1.0,1.0,100.0,108.16,
Pratapgarh,1.0,1.0,100.0,100.0,
Prayagraj,5.0,125.0,,,
Rae Bareli,37645.0,955.24,1.0,100.0,100.0
Rampur,86176.0,1552.23,5.0,5.0,166.67
Sambhal,2.0,2.0,100.0,,
Shamli,1.0,1.0,1.0,,
Shravasti,1.0,1.0,1.0,1.0,100.0
Siddharth Nagar,10262.0,210.8,,,
Sitapur,3.0,4.0,4.0,,
Sonbhadra,31250.0,179.4,1.0,1.0,100.0
Varanasi,27220.0,591.89,,,
