district,total_deposit,total_advance,overall_cd_ratio,deposits_prev_fy,deposits_prev_quarter,deposits_growth_abs,deposits_growth_pct,advances_prev_fy,advances_prev_quarter,advances_growth_abs,advances_growth_pct,cd_ratio_prev_fy,cd_ratio_prev_quarter,cd_ratio_benchmark
Balod,5409.77,2402.21,44.405,5741.8,4872.01,-332.03,-5.7827,1975.08,2218.39,427.13,21.626,34.3983,45.5334,40
Baloda Bazar,5955.51,3978.8,66.8087,6327.84,5276.6,-372.33,-5.884,3477.27,3544.79,501.53,14.4231,54.9519,67.1794,40
Balrampur,2935.99,1290.75,43.963,3017.4,2575.49,-81.41,-2.698,1131.72,1159.61,159.03,14.0521,37.5065,45.0248,40
Bastar,6234.25,4367,70.0485,6416.79,5722.28,-182.54,-2.8447,3963.58,3861.16,403.42,10.1782,61.7689,67.4759,40
Bemetara,4015.05,2451.06,61.0468,4609.83,3404.44,-594.78,-12.9024,2039.72,2199.96,411.34,20.1665,44.2472,64.6203,40
Bijapur,1140.67,703,61.6304,1160.39,1033.89,-19.72,-1.6994,602.23,592.94,100.77,16.7328,51.8989,57.3504,40
Bilaspur,29008.71,17844.48,61.5142,29581.04,27019.71,-572.33,-1.9348,17136.05,16017.11,708.43,4.1341,57.9292,59.2794,40
Dantewada,2694.86,2264.68,84.037,2507.71,2400.69,187.15,7.463,2529.81,2240.84,-265.13,-10.4802,100.8813,93.3415,40
Dhamtari,5576.33,3749.1,67.2324,5919.03,5001.84,-342.7,-5.7898,3341.34,3343.82,407.76,12.2035,56.4508,66.8518,40
Durg,34170.32,20812.24,60.9074,33825.16,30904.22,345.16,1.0204,19447.94,18259.91,1364.3,7.0151,57.4955,59.0855,40
Gariaband,2258.36,1447.29,64.0859,2489.4,1980.91,-231.04,-9.281,1237.56,1271.47,209.73,16.9471,49.7132,64.1862,40
Gaurela-Pendra-Marwahi,1441.66,801.82,55.6178,1465.94,1252.3,-24.28,-1.6563,720,650.57,81.82,11.3639,49.1152,51.95,40
Janjgir-Champa,6858.11,3760.71,54.836,7148.59,5899.61,-290.48,-4.0635,3457.48,3258.78,303.23,8.7703,48.3659,55.2372,40
Jashpur,4280.57,2158.63,50.4286,4348,3643.17,-67.43,-1.5508,2013.05,1736.55,145.58,7.2318,46.2983,47.6659,40
Kabirdham,3293.71,2812.07,85.377,3513.43,2854.92,-219.72,-6.2537,2205.3,2382.48,606.77,27.5142,62.7677,83.4517,40
Kanker,4261.27,2703.26,63.4379,4368.94,3801.27,-107.67,-2.4644,2382.63,2350.04,320.63,13.457,54.5357,61.8225,40
Khairagarh-Chhuikhadan-Gandai,1615.33,1095.43,67.8146,1731.12,1366.14,-115.79,-6.6887,758.51,950.13,336.92,44.4187,43.8161,69.5485,40
Kondagaon,2357.17,1630.16,69.1575,2453.76,2071.33,-96.59,-3.9364,1430,1436.34,200.16,13.9972,58.2779,69.3439,40
Korba,12321.22,7666.72,62.2237,11875.01,11524.61,446.21,3.7576,7259.79,6746.29,406.93,5.6053,61.135,58.5381,40
Korea,2325.59,1844.6,79.3175,2291.25,2164.31,34.34,1.4987,1870.82,691.9,-26.22,-1.4015,81.6506,31.9686,40
Mahasamund,5127.54,4458.6,86.954,5834.01,4398.12,-706.47,-12.1095,3846.83,3883.21,611.77,15.9032,65.938,88.2925,40
Manendragarh-Chirmiri-Bharatpur,3648.72,1222.96,33.5175,3822.8,3832.46,-174.08,-4.5537,1156.08,1175.17,66.88,5.7851,30.2417,30.6636,40
Mohla-Manpur-Ambagarh Chowki,1082.35,451.34,41.7,1202.19,1118.05,-119.84,-9.9685,313.57,487.42,137.77,43.936,26.0832,43.5955,40
Mungeli,2308.84,1570.04,68.0012,2639.44,2077.43,-330.6,-12.5254,1329.01,1416.06,241.03,18.1361,50.352,68.164,40
Narayanpur,807.51,427.28,52.9133,807.16,771.01,0.35,0.0434,379.08,365.74,48.2,12.715,46.9647,47.4365,40
Raigarh,10571.71,9082.78,85.9159,10547.78,9475.28,23.93,0.2269,7999.4,7408.25,1083.38,13.5433,75.8397,78.185,40
Raipur,84703.88,102414.22,120.9085,88212.54,77184.54,-3508.66,-3.9775,95039.92,86553.88,7374.3,7.7592,107.7397,112.1389,40
Rajnandgaon,7903.26,5322.15,67.3412,8476.28,7192.65,-573.02,-6.7603,4645.01,4577.48,677.14,14.5778,54.8001,63.6411,40
Sakti,2992.24,1611.7,53.8627,3322.74,2612.9,-330.5,-9.9466,1364.57,1441.11,247.13,18.1105,41.0676,55.1537,40
Sarangarh-Bilaigarh,2255.66,1336.71,59.2603,2493.2,2040.23,-237.54,-9.5275,1120.19,1191.99,216.52,19.3289,44.9298,58.4243,40
Sukma,1210.87,554.71,45.8109,1151.35,1103.46,59.52,5.1696,479.36,498.79,75.35,15.7189,41.6346,45.2024,40
Surajpur,4991.58,1980.51,39.677,4975.53,4304.8,16.05,0.3226,1770.43,1786.02,210.08,11.866,35.5827,41.489,40
Surguja,7730.05,4290.64,55.506,8672.09,6768.03,-942.04,-10.8629,3989.83,3758.12,300.81,7.5394,46.0077,55.5275,40
