district,total_atm,atm_rural,atm_semi_urban,atm_urban,atm_rural_prev_fy,atm_rural_prev_q,atm_rural_growth_abs,atm_rural_growth_pct,atm_semi_urban_prev_fy,atm_semi_urban_prev_q,atm_semi_urban_growth_abs,atm_semi_urban_growth_pct,atm_urban_prev_fy,atm_urban_prev_q,atm_urban_growth_abs,atm_urban_growth_pct,atm_total_prev_fy,atm_total_prev_q,atm_total_growth_abs,atm_total_growth_pct
Balod,85,37,47,1,38,40,,,48,48,,,1,3,,,87,91,,
Baloda Bazar,97,26,69,2,23,23,,,69,69,,,2,3,,,94,95,,
Balrampur,41,22,18,1,19,17,,,18,18,,,2,1,,,39,36,,
Bastar,121,34,3,84,34,20,,,3,9,,,86,81,,,123,110,,
Bemetara,57,24,32,1,24,26,,,32,31,,,1,1,,,57,58,,
Bijapur,23,12,11,0,11,8,,,11,9,,,0,2,,,22,19,,
Bilaspur,317,23,33,261,29,31,,,37,33,,,251,262,,,317,326,,
Dantewada,50,8,42,0,8,6,,,44,42,,,0,2,,,52,50,,
Dhamtari,88,27,19,42,26,19,,,20,24,,,43,49,,,89,92,,
Durg,450,51,33,366,50,51,,,33,31,,,376,383,,,459,465,,
Gariaband,51,26,24,1,25,23,,,25,22,,,1,3,,,51,48,,
Gaurela-Pendra-Marwahi,27,1,25,1,1,0,,,24,22,,,1,1,,,26,23,,
Janjgir-Champa,113,35,76,2,35,32,,,78,77,,,2,8,,,115,117,,
Jashpur,61,10,47,4,11,11,,,47,47,,,5,2,,,63,60,,
Kabirdham,71,18,52,1,18,16,,,52,54,,,1,2,,,71,72,,
Kanker,77,27,49,1,28,25,,,49,50,,,1,3,,,78,78,,
Khairagarh-Chhuikhadan-Gandai,26,10,14,2,8,9,,,15,14,,,2,2,,,25,25,,
Kondagaon,48,10,36,2,9,4,,,36,33,,,2,2,,,47,39,,
Korba,170,23,21,126,22,22,,,23,24,,,131,128,,,176,174,,
Korea,45,4,40,1,3,2,,,39,38,,,2,1,,,44,41,,
Mahasamund,102,36,66,0,33,31,,,65,63,,,0,4,,,98,98,,
Manendragarh-Chirmiri-Bharatpur,36,10,25,1,8,8,,,26,26,,,2,1,,,36,35,,
Mohla-Manpur-Ambagarh Chowki,17,15,1,1,15,15,,,1,1,,,1,1,,,17,17,,
Mungeli,44,10,32,2,9,5,,,31,30,,,2,8,,,42,43,,
Narayanpur,20,1,19,0,1,1,,,20,19,,,0,1,,,21,21,,
Raigarh,159,31,39,89,31,30,,,40,39,,,91,91,,,162,160,,
Raipur,779,89,64,626,87,86,,,64,53,,,643,646,,,794,785,,
Rajnandgaon,132,22,16,94,22,19,,,16,19,,,94,86,,,132,124,,
Sakti,40,18,22,0,20,17,,,22,22,,,0,2,,,42,41,,
Sarangarh-Bilaigarh,46,16,29,1,15,14,,,29,28,,,1,1,,,45,43,,
Sukma,16,7,9,0,7,8,,,9,6,,,0,1,,,16,15,,
Surajpur,57,19,36,2,16,14,,,38,38,,,2,3,,,56,55,,
Surguja,113,28,3,82,28,26,,,2,4,,,81,79,,,111,109,,
