district,total_branch,branch_rural,branch_semi_urban,branch_urban,branch_rural_prev_fy,branch_rural_prev_q,branch_rural_growth_abs,branch_rural_growth_pct,branch_semi_urban_prev_fy,branch_semi_urban_prev_q,branch_semi_urban_growth_abs,branch_semi_urban_growth_pct,branch_urban_prev_fy,branch_urban_prev_q,branch_urban_growth_abs,branch_urban_growth_pct,branch_total_prev_fy,branch_total_prev_q,branch_total_growth_abs,branch_total_growth_pct
Balod,112,73,38,1,69,69,,,37,37,,,1,1,,,107,107,,
Baloda Bazar,113,49,64,0,49,48,,,64,64,,,0,0,,,113,112,,
Balrampur,74,61,12,1,60,59,,,12,12,,,1,1,,,73,72,,
Bastar,119,74,4,41,74,73,,,4,4,,,38,38,,,116,115,,
Bemetara,84,56,27,1,54,53,,,27,26,,,1,1,,,82,80,,
Bijapur,46,38,8,0,38,37,,,8,9,,,0,0,,,46,46,,
Bilaspur,261,69,37,155,69,69,,,39,42,,,149,143,,,257,254,,
Dantewada,44,22,22,0,22,21,,,21,22,,,0,0,,,43,43,,
Dhamtari,113,55,21,37,54,54,,,22,22,,,37,37,,,113,113,,
Durg,303,77,40,186,76,76,,,40,40,,,186,180,,,302,296,,
Gariaband,62,36,26,0,36,34,,,26,25,,,0,0,,,62,59,,
Gaurela-Pendra-Marwahi,27,9,18,0,9,9,,,16,15,,,0,0,,,25,24,,
Janjgir-Champa,120,60,58,2,59,58,,,58,58,,,2,2,,,119,118,,
Jashpur,90,45,43,2,41,41,,,43,43,,,2,1,,,86,85,,
Kabirdham,85,46,37,2,43,42,,,37,37,,,2,2,,,82,81,,
Kanker,102,61,40,1,60,60,,,38,38,,,1,1,,,99,99,,
Khairagarh-Chhuikhadan-Gandai,39,21,16,2,21,20,,,16,15,,,2,2,,,39,37,,
Kondagaon,56,28,27,1,26,26,,,26,26,,,1,1,,,53,53,,
Korba,134,44,28,62,44,43,,,27,27,,,60,60,,,131,130,,
Korea,38,16,21,1,14,14,,,22,22,,,1,1,,,37,37,,
Mahasamund,125,53,71,1,52,52,,,71,71,,,1,1,,,124,124,,
Manendragarh-Chirmiri-Bharatpur,54,24,29,1,26,26,,,28,28,,,1,1,,,55,55,,
Mohla-Manpur-Ambagarh Chowki,32,30,1,1,29,28,,,1,1,,,1,1,,,31,30,,
Mungeli,53,23,29,1,23,23,,,28,28,,,1,1,,,52,52,,
Narayanpur,20,7,13,0,7,7,,,13,13,,,0,0,,,20,20,,
Raigarh,148,65,27,56,65,64,,,26,26,,,54,51,,,145,141,,
Raipur,536,105,66,365,103,102,,,66,65,,,361,353,,,530,520,,
Rajnandgaon,127,52,22,53,51,50,,,22,22,,,53,51,,,126,123,,
Sakti,54,33,21,0,32,32,,,21,21,,,0,0,,,53,53,,
Sarangarh-Bilaigarh,51,32,19,0,31,31,,,18,17,,,0,0,,,49,48,,
Sukma,33,27,6,0,27,26,,,6,6,,,0,0,,,33,32,,
Surajpur,90,61,26,3,59,59,,,26,26,,,3,3,,,88,88,,
Surguja,104,57,3,44,57,57,,,3,3,,,44,44,,,104,104,,
