district,acp_agri_target,acp_agri_achievement,acp_agri_pct,acp_msme_target,acp_msme_achievement,acp_msme_pct,acp_other_psa_target,acp_other_psa_achievement,acp_other_psa_pct,acp_total_target,acp_total_achievement,acp_total_pct
Balod,1901.21,678.64,35.6952,399.99,233.93,58.484,96.98,24.79,25.562,2398.18,937.36,39.0863
Baloda Bazar,2822.8,1284.85,45.5169,680.34,420.12,61.7515,129.81,52.82,40.6902,3632.95,1757.79,48.3846
Balrampur,540.6,224.15,41.4632,176.56,140.26,79.4404,47.26,27.4,57.9771,764.42,391.81,51.2559
Bastar,1142.58,482.76,42.2517,784.61,546.33,69.6308,75.99,62.89,82.7609,2003.18,1091.98,54.5123
Bemetara,3005.76,852.35,28.3572,266.76,196.2,73.5493,48.19,13.56,28.1386,3320.71,1062.11,31.9844
Bijapur,246.24,102.09,41.4596,34.63,28.71,82.905,26.91,0.95,3.5303,307.78,131.75,42.8066
Bilaspur,2430.54,1075.31,44.2416,4880.8,3212.26,65.8142,369.44,133.8,36.217,7680.78,4421.37,57.5641
Dantewada,103.09,36.13,35.047,113.33,64.76,57.1429,13.26,5.07,38.2353,229.68,105.96,46.1338
Dhamtari,1682.77,1114.33,66.22,570.85,474.4,83.1041,108.28,80.24,74.1042,2361.9,1668.97,70.6622
Durg,2695.36,1346.44,49.954,5005.27,4420.52,88.3173,370.48,158.24,42.7122,8071.11,5925.2,73.4125
Gariaband,742.5,424.09,57.1165,170,100.3,59,93.04,5.77,6.2016,1005.54,530.16,52.7239
Gaurela-Pendra-Marwahi,338.72,140.25,41.4059,176.95,114.72,64.8319,28.92,9.81,33.9212,544.59,264.78,48.6201
Janjgir-Champa,1485.6,533.79,35.9309,740.98,493.03,66.5376,151.14,40.58,26.8493,2377.72,1067.4,44.8917
Jashpur,596.08,240.85,40.4057,473.31,282.06,59.5931,64.29,15.66,24.3584,1133.68,538.57,47.5064
Kabirdham,2243.14,881.96,39.3181,440.73,253.74,57.5727,198.2,67.55,34.0817,2882.07,1203.25,41.7495
Kanker,1621.12,584.56,36.059,437.63,255.77,58.4443,57.31,17.17,29.9599,2116.06,857.5,40.5234
Khairagarh-Chhuikhadan-Gandai,1325.71,496.19,37.4282,78.36,36.23,46.2353,108.24,30.36,28.0488,1512.31,562.78,37.2133
Kondagaon,488.68,330.38,67.6066,251.48,128.68,51.1691,39.9,20.7,51.8797,780.06,479.76,61.503
Korba,710.3,246.37,34.6853,1947.7,1182.96,60.7363,172.58,51.72,29.9687,2830.58,1481.05,52.3232
Korea,194.63,92.71,47.634,128.81,104.99,81.5076,24.72,7.55,30.5421,348.16,205.25,58.9528
Mahasamund,2506.47,1150,45.8813,470.45,326.13,69.323,74.03,23.45,31.6763,3050.95,1499.58,49.1512
Manendragarh-Chirmiri-Bharatpur,232.18,138.97,59.8544,203.87,159.79,78.3784,23.79,6.28,26.3976,459.84,305.04,66.3361
Mohla-Manpur-Ambagarh Chowki,224.43,165.33,73.6666,33.72,23.41,69.4247,45.02,14.54,32.2968,303.17,203.28,67.0515
Mungeli,1141.1,363.49,31.8544,230.97,147.26,63.7572,38.15,13.69,35.8847,1410.22,524.44,37.1885
Narayanpur,124.24,50.57,40.7035,53.17,23.63,44.4424,18.78,4.83,25.7188,196.19,79.03,40.2824
Raigarh,1333.33,565.25,42.3939,2468.15,1732.81,70.2068,133.3,44.09,33.0758,3934.78,2342.15,59.5243
Raipur,3869.01,3238.37,83.7002,24354.93,17683.93,72.6092,3326,2103.28,63.2375,31549.94,23025.58,72.9814
Rajnandgaon,2743.52,1127.23,41.087,999.97,679.89,67.991,316.02,93.99,29.7418,4059.51,1901.11,46.831
Sakti,998.16,368.38,36.9059,423.88,286.77,67.6536,85.59,22.61,26.4166,1507.63,677.76,44.9553
Sarangarh-Bilaigarh,608.35,352.66,57.9699,159.47,128.99,80.8867,19.56,5.65,28.8855,787.38,487.3,61.8888
Sukma,132.25,65.58,49.5879,43,26,60.4651,8.55,2.46,28.7719,183.8,94.04,51.1643
Surajpur,660.29,319.23,48.3469,372.21,266.66,71.6424,58.7,11.18,19.046,1091.2,597.07,54.7168
Surguja,910.18,462.01,50.7603,1140.77,855.53,74.9958,108.1,47,43.4783,2159.05,1364.54,63.2009
