district,No. of Groups Formed,Savings amount Amt.,Capacity Building No.,Revolving Fund(RF) from Mission No.,Amt. (in lakh Rs),Community Investment Fund (CIF) from Mission No.,Credit linkage (loan given by Banks) No.,No. of Village Orgasita tion (Federat ions in SHGs),No of Cluster Level Federati on
1Dhalai,347,37.48,223,218,51.33,26,45,,
2Gomati,441,55.94,311,307,157.82,184,119,,
Dhalai,393,51.39,332,200,292.36,137,268,19,3
Gomati,266,64.71,266,172,443.75,82,317,19,3
South Tripura,447,80.99,236,387,591.22,370,371,20,3
