District,State,"Location(Metro, Urban, Su, Rural)",Address,Date of start of functioning,Name of Sponsoring Bank,No. of Literacy Camps undertaken during the quarter as per Rbi guidelines using standardized financial literacy material of Rbi,No. of Persons participated in Literacy Camps during the quarter,"Out of Persons participated, number of persons already having bank A/C at the time of attending the camp","Out of persons participated, no. of persons opened bank A/C after attending the camp"
Dhalai,Tripura,Semi-Urban,LDM(Dhalai),19.10.12,UBI,12,512,489,23
Gomati,Tripura,Semi-Urban,TGB Udaipur Branch,22.09.15,TGB,19,1454,1376,78
Khowai,Tripura,Semi-Urban,TGB Khowai Branch,17.09.15,TGB,0,0,0,0
North Tripura,Tripura,Semi-Urban,TGB Dharmanagar Branch,05.03.16,TGB,0,0,0,0
Sepahijala,Tripura,Rural,TGB Bishramganj Branch,30.12.15,TGB,9,620,579,41
South Tripura,Tripura,Semi-Urban,TGB Santirbazar Branch,30.12.15,TGB,11,839,789,50
Unakoti,Tripura,Semi-Urban,LDM(North ),19.10.12,UBI,0,0,0,0
West Tripura,Tripura,Urban,LDM(West),19.10.12,UBI,8,235,210,12
