District,CD Ratio March 2018,CD Ratio December 2018,CD Ratio March 2019,CD Ratio Since March 2018
Dhalai,66,73,67,+1
Gomati,93,164,54,-39
Khowai,69,67,61,-8
North Tripura,49,58,51,+2
Sepahijala,67,68,62,-5
South Tripura,50,57,53,+3
Unakoti,59,67,59,No Change
West Tripura,36,36,52,+16
