District,Inactive CSP,Active Rupay Card in PMJDY,First Time Active Rupay Card,Aadhaar Authenticated Sb Accounts,Rupay Card Issued in KCC
East Garo Hills,6,11110,3635,45267,1210
East Jaintia Hills,19,18440,10598,9384,32
East Khasi Hills,123,84737,100701,175425,5642
Eastern West Khasi Hills,14,12894,3882,5416,764
North Garo Hills,12,23717,10679,51521,515
Ri Bhoi,15,24723,9659,28122,6675
South Garo Hills,12,9368,2878,27826,39
South West Garo Hills,10,20249,4800,70605,995
South West Khasi Hills,14,8709,376,9344,363
West Garo Hills,49,65455,15104,187090,3148
West Jaintia Hills,17,17615,4054,36570,1319
West Khasi Hills,21,12349,3953,12440,2275
