District,Medium Working Capital A/C,Medium Term Loan Amt,Medium Term Loan A/C,Small Working Capital Amt,Small Working Capital A/C,Small Term Loan Amt,Small Term Loan A/C,Micro Working Capital Amt,Micro Working Capital A/C,Micro Term Loan Amt,Micro Term Loan A/C
East Garo Hills,0,0,0,145.97,2,77.91,3,235.11,64,540.27,276
East Jaintia Hills,0,0,0,537.65,10,106.85,6,1336.74,131,2086.39,210
East Khasi Hills,8,6099.32,11,8643.04,83,8422.73,107,12086.8,878,21238.37,1519
North Garo Hills,0,0,0,0,0,0,0,226.06,112,557.05,406
Ri Bhoi,3,2594.26,11,4270.03,23,5890.59,36,4522.11,223,10115.14,368
South Garo Hills,0,0,0,0.06,0,0.17,2,58.55,53,180.22,159
South West Garo Hills,0,0,0,80.39,5,48.59,3,359.1,105,397.01,204
South West Khasi Hills,0,0,0,0.09,1,0.26,1,46.22,16,174.49,52
West Garo Hills,2,82.47,4,2241.54,16,991.78,23,3357.48,323,3086.11,697
West Jaintia Hills,0,0,0,335.4,3,518.61,29,1338.55,134,1790.74,318
West Khasi Hills,0,0,0,0,0,22.1,7,181.87,60,341.29,99
