District,Total MSME NPA Amt (PS),Total MSME NPA No. (PS),Other MSME Amt,Other MSME No.,KVIC Amt,KVIC No.,Medium Amt,Medium No.,Small Amt,Small No.,Micro Amt,Micro No.
East Garo Hills,649.79,1005,10.5,32,11.88,12,0,0,0,0,627.41,961
East Jaintia Hills,883.34,187,1.04,3,6.87,3,72.97,1,71.36,5,731.1,175
East Khasi Hills,10607.14,3987,12.2,13,297.99,82,19.62,38,704.47,64,9572.86,3790
North Garo Hills,526.14,703,0.99,1,7.5,2,0,0,9.63,2,508.02,698
Ri Bhoi,1887.91,918,22.86,41,50.78,38,0,0,594.57,20,1219.7,819
South Garo Hills,481.08,516,3.69,1,20.23,15,0,0,0,0,457.16,500
West Garo Hills,2854.59,2252,15.56,11,91.53,38,0,0,64.97,8,2682.53,2195
West Jaintia Hills,2502.08,991,13.67,26,73.39,27,0,0,211.26,35,2203.76,903
West Khasi Hills,871.31,408,2.91,3,12.56,7,0,0,12.49,2,843.35,396
