District,(PS) Amount Msme Target,Msme Target No. (PS),Crop Amount Achievement Pct Loan,Crop Amount Achieved Loan,Crop Loan Achieved No.,Crop Target Amount Loan,Crop Loan Target No.,Amount Achievement Pct Agri(PS),Agri Amount Achieved (PS),Agri Achieved No. (PS),Agri Target Amount (PS),Agri Target No. (PS)
East Garo Hills,3432,1445,6.68,497.76,677,7456.2,14102,10.01,903,1074,9021.2,16284
East Khasi Hills,110355,23287,26.87,2417.93,2718,8999,16649,19.6,3597.72,3142,18352,21181
Ri Bhoi,74700,5051,26.92,3081.57,3574,11448,11448,22.34,4257.88,3875,19056.96,17598
West Garo Hills,24474,27779,8.08,834.15,1108,10321,11350,6.9,1592.08,1962,23085,26357
West Khasi Hills,2090,628,16.56,599.76,722,3621,3640,15.21,793.08,844,5215,6064
