District,NULM NPA Amt,NULM NPA No.,NULM O/S Amt,NULM O/S No.,NRLM NPA Amt,NRLM NPA No.,NRLM Irregular A/C Amt,NRLM Irregular A/C No.,NRLM O/S Amt,NRLM O/S No.
East Garo Hills,0,0,0,0,270.89,383,74.64,89,1266.66,1062
East Jaintia Hills,0,0,0,0,0.49,1,0.49,1,2683.22,1529
East Khasi Hills,8.6,17,26.8,29,276.63,234,84.68,57,5437.33,3419
Eastern West Khasi Hills,0,0,0,0,50.77,44,18.82,11,2509.97,1189
North Garo Hills,0,0,1.99,1,215.14,298,76.34,90,1401.34,1175
Ri Bhoi,4.01,3,4.01,3,135.91,80,116.05,72,2879.67,1909
South Garo Hills,1.28,1,1.71,3,249.5,321,133.73,162,762.47,766
South West Garo Hills,0,0,0,0,55.74,63,26.99,34,1567.66,1049
South West Khasi Hills,0,0,0,0,62.8,57,81,58,1245.48,804
West Garo Hills,16.49,19,25.07,38,439.24,474,181.18,203,3707.93,2847
West Jaintia Hills,5.38,4,11.94,10,116.31,60,35.84,24,3389.51,1899
West Khasi Hills,0,0,0.17,1,7.35,9,25.14,14,2476.65,1145
