District,Aadhaar Seeded No.,Rupay Card Activated,Rupay Card Issued No.,Deposits Held in A/C Amt,Zero Balance A/C No.,Total No. PMJDY,Female No.,Male No.,Urban No.,Rural No.
East Garo Hills,18935,10964,14428,1009.08,1766,31926,17639,14287,4895,27031
East Jaintia Hills,26674,10017,22129,3882.39,2297,50423,29844,20579,2465,47958
East Khasi Hills,85592,55716,86724,177910.05,13579,183358,105022,78336,54807,128552
Eastern West Khasi Hills,21280,8605,16644,3701.98,2148,40804,24561,16243,2765,38039
North Garo Hills,38057,20660,26752,1239.89,1581,60903,34199,26704,8366,52537
Ri Bhoi,40780,25546,41746,4207.85,5203,76222,45100,31122,7760,68462
South Garo Hills,16777,9320,12369,750.73,1826,28816,15826,12990,5046,23770
South West Garo Hills,35488,20492,29158,1888.2,1713,60806,34047,26759,8112,52694
South West Khasi Hills,12183,9450,13976,1258.23,1820,22050,14083,7967,2917,19133
West Garo Hills,132821,65913,95613,9670.69,14961,223208,127186,96022,28651,194557
West Jaintia Hills,35456,17101,33454,5369.97,4209,79325,49857,29468,13837,65488
West Khasi Hills,19764,8790,23168,2583.03,2328,55990,30981,25009,8363,47627
