District,Tot (PS) Amt. NPA Other,Tot (PS) No. NPA Other,Other PS Amt,Other PS No.,Social Infra Amt,Social Infra No.,Housing Amt (PS),Housing No. (PS),Education Amt (PS),Education No. (PS)
East Garo Hills,74.59,96,10.56,69,13.47,5,47.4,20,3.16,2
East Jaintia Hills,412.47,22,404.26,18,3.67,2,0,0,4.54,2
East Khasi Hills,1989.47,1584,1426.31,1458,44.97,14,305.23,35,212.96,77
North Garo Hills,203.18,79,0,0,14.42,8,171.13,67,17.63,4
Ri Bhoi,347.2,307,270.05,279,6.74,3,34.05,11,36.36,14
South Garo Hills,104.66,44,0,0,24.74,12,79.92,32,0,0
West Garo Hills,911.87,621,560.31,549,41.78,13,297.22,54,12.56,5
West Jaintia Hills,410.96,152,246.75,115,14.91,10,131.56,18,17.74,9
West Khasi Hills,112.36,54,85.08,41,2.61,1,6.96,3,17.71,9
