District,Total MSME NPA Amt (PS),Total MSME NPA No. (PS),Total MSME O/S Amt (PS),Total MSME O/S No. (PS),Agri Amt % NPA,Total Agri NPA Amt (PS),Total Agri NPA No. (PS),Total Agri O/S Amt (PS),Total Agri O/S No. (PS)
East Garo Hills,649.79,1005,4319.81,2432,15.19,1012.89,3001,6665.97,6846
East Jaintia Hills,883.34,187,13621.22,2369,2.06,134.42,310,6527.44,3645
East Khasi Hills,10607.14,3987,284928.42,23930,2.9,4228.65,5202,145958.42,30085
Eastern West Khasi Hills,86.79,97,3308.18,1332,4.77,349.28,902,7315.93,9014
North Garo Hills,526.14,703,3534.15,2186,31.91,1819.91,4312,5702.6,7888
Ri Bhoi,1887.91,918,88046.27,4694,24.42,8120.81,14290,33257.91,40203
South Garo Hills,481.08,516,2046.23,1206,21.64,712.55,2243,3293.19,3988
South West Garo Hills,576.55,412,3937.57,1575,28.82,1596.64,4641,5539.82,8249
South West Khasi Hills,178.47,91,2126.06,925,5.93,197.32,324,3330.28,3538
West Garo Hills,2854.59,2252,27586.31,8154,17.82,2963.16,7750,16626.71,20833
West Jaintia Hills,2502.08,991,27216.88,5875,4.23,878.13,1723,20773.69,8004
West Khasi Hills,871.31,408,5074.37,2022,22.01,1821.66,3187,8275.46,9446
