District,Total MSME O/S Amt,Total MSME O/S No.,Other MSME Amt,Other MSME No.,Medium Amt,Medium No.,Small Amt,Small No.,Micro Amt,Micro No.
East Garo Hills,4319.81,2432,44.28,197,0,0,264.53,14,4011,2221
East Jaintia Hills,13621.22,2369,10.05,18,72.97,1,1337.41,138,12200.79,2212
East Khasi Hills,284928.42,23930,1096.87,3142,13047.97,66,38596.51,668,232187.07,20054
Eastern West Khasi Hills,3308.18,1332,16.52,39,0,0,23.71,15,3267.95,1278
North Garo Hills,3534.15,2186,0,0,0,0,36.09,11,3498.06,2175
Ri Bhoi,88046.27,4694,88.89,115,6713.02,22,22750.2,287,58494.16,4270
South Garo Hills,2046.23,1206,0,0,0,0,19.67,2,2026.56,1204
South West Garo Hills,3937.57,1575,0,0,0,0,493.24,18,3444.33,1557
South West Khasi Hills,2126.06,925,0,0,0,0,26.18,7,2099.88,918
West Garo Hills,27586.31,8154,47.76,130,1514.02,8,5124.4,388,20900.13,7628
West Jaintia Hills,27216.88,5875,30.5,72,0,0,6773.49,466,20412.89,5337
West Khasi Hills,5074.37,2022,34.82,54,0,0,16,6,5023.55,1962
