District,ST Outstanding Amt,ST Outstanding No.,ST Disbursement Amt,ST Disbursement No.,SC Outstanding Amt,SC Outstanding No.,SC Disbursement Amt,SC Disbursement No.
East Garo Hills,4147.98,3723,294.66,139,153.22,38,35.6,13
East Jaintia Hills,12579.22,5450,1162.48,407,100.96,28,19.16,3
East Khasi Hills,200742.63,69660,16225.65,5247,6734.46,1788,805.5,201
Eastern West Khasi Hills,12647.91,10295,1081.73,701,70.1,3,65,1
North Garo Hills,5821.09,5178,412.83,230,250.72,56,30.14,6
Ri Bhoi,38270.62,24406,2899.62,1608,4878.25,1021,319.92,104
South Garo Hills,3223.88,3312,169.41,104,53.92,22,1.5,2
South West Garo Hills,8014.58,6093,405.2,247,357.41,91,38.5,18
South West Khasi Hills,5482.47,4216,388.48,283,39.04,6,0,0
West Garo Hills,25657.64,15020,1895.72,613,1321.18,371,277.33,58
West Jaintia Hills,38478.17,11390,3893.31,914,2409.74,781,281.17,84
West Khasi Hills,13659.57,9461,1090.74,676,25.32,8,0.99,1
