District,Total Non-Priority NPA Amt,Sec Tot NPA Non No. Priorityrityrity,Other Amt (NPS),Other No. (NPS),Loan Amt Personal,Loan No Personal,Housing Amt (NPS),Housing No. (NPS),Education Amt (NPS),Education No. (NPS),Agriculture Amt (NPS),Agriculture No. (NPS)
East Garo Hills,457.03,236,234.99,132,204.45,103,17.59,1,0,0,0,0
East Jaintia Hills,245.81,182,189.61,139,56.2,43,0,0,0,0,0,0
East Khasi Hills,3858.35,2394,2743.48,1834,1091.43,544,16.89,6,5.14,1,1.41,9
Eastern West Khasi Hills,29.63,31,19.16,26,10.47,5,0,0,0,0,0,0
North Garo Hills,319.81,154,97.97,51,221.84,103,0,0,0,0,0,0
Ri Bhoi,2244.46,1152,2097.64,1081,96.71,64,49.77,5,0,0,0.34,2
South Garo Hills,218.27,136,82.55,55,135.72,81,0,0,0,0,0,0
South West Garo Hills,249.16,168,187.83,123,61.33,45,0,0,0,0,0,0
South West Khasi Hills,19.86,14,18.12,11,1.74,3,0,0,0,0,0,0
West Garo Hills,2351.8,1553,1175.87,897,1169.42,646,3.43,2,0,0,3.08,8
West Jaintia Hills,449.51,320,303.19,228,139.24,76,3.52,1,0,0,3.56,15
West Khasi Hills,98.37,58,70.35,32,28.02,26,0,0,0,0,0,0
