District,Branch,Deposits,Advances,CD Ratio
Araria,147,394954,212773,53.87
Arwal,58,144167,50348,34.92
Aurangabad,181,664177,253470,38.16
Begusarai,221,815266,435549,53.42
Bhagalpur,270,454828,,37.10
Bhojpur,226,912670,268336,29.40
Buxar,153,497511,219729,44.17
Darbhanga,241,971543,324491,33.40
Gaya,300,1371265,521304,38.02
Gopalganj,182,660200,226643,34.33
Jamui,113,353317,160538,45.44
Jehanabad,94,98838,,34.82
Kaimur (Bhabua),122,347824,182945,52.60
Katihar,176,528527,250973,47.49
Khagaria,115,288760,154194,53.40
Kishanganj,104,275446,162671,59.06
Lakhisarai,76,273631,106919,39.07
Madhepura,110,279970,137010,48.94
Madhubani,274,744905,254581,34.18
Munger,130,582605,182621,31.35
Muzaffarpur,373,1543080,757157,49.07
Nalanda,246,867467,300925,34.69
Nawada,135,441660,172472,39.05
Pashchim Champaran,200,576171,301328,52.30
Patna,912,11549194,4145498,35.89
Purbi Champaran,271,881648,428651,48.62
Purnia,213,576984,415647,72.04
Rohtas,224,831746,373629,44.92
Saharsa,98,346088,156076,45.10
Samastipur,282,923410,419185,45.40
Saran,250,1092460,319207,29.22
Sheikhpura,62,69997,,41.89
Sheohar,45,95843,44675,46.61
Sitamarhi,165,540513,208518,38.58
Siwan,233,982638,309454,31.49
Supaul,120,313613,154424,49.24
Vaishali,234,854531,337835,39.53
