District,Col_1
Araria,125
Arwal,81
Aurangabad,203
Banka,42
Begusarai,74
Bhagalpur,70
Bhojpur,149
Buxar,202
Darbhanga,245
Gaya,184
Gopalganj,251
Jamui,34
Jehanabad,119
Kaimur (Bhabua),145
Katihar,137
Khagaria,45
Kishanganj,87
Purbi Champaran,220
