District,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col
Araria,594,689,870783,34241,1696257,53950,,,,
Arwal,128,695,427180,33064,430283,47652,,,,
Aurangabad,457,1810,1491528,62670,1282085,,,,,
Banka,392,1210,737400,32535,652725,93424,,,,
Begusarai,453,1874,2891284,143284,1492680,208289,,,,
Bhagalpur,489,1688,1853122,77256,1060247,129807,,,,
Bhojpur,558,2318,3322240,136539,1674152,170506,,,,
Darbhanga,9,3,6,7,1,3,8,1,3,6
Gaya,692,2747,3166064,129851,2748817,181589,,,,
Jehanabad,168,732,278593,8952,598446,19908,,,,
Kaimur (Bhabua),327,1762,848847,28781,1047622,50283,,,,
Katihar,477,2236,2069347,90839,1309610,120140,,,,
Khagaria,317,1552562,,,,,,,,
Kishanganj,380,826,1810587,77863,1066487,112989,,,,
Lakhisarai,177,931,2223969,102485,581936,210326,,,,
Madhepura,387,1291,2394626,111762,1134441,137861,,,,
Madhubani,20,1,661,1825,2152727,110774,2327082,186774,,
Munger,185,1085,3674358,160452,597739,205150,,,,
Muzaffarpur,937,2801,2793505,125997,2493458,176701,,,,
Nalanda,473,2746,1991255,77363,1455523,147574,,,,
Nawada,355,1912,2014811,87552,1450786,131403,,,,
Pashchim Champaran,718,3549,3875141,188307,2413275,240500,,,,
Patna,823,3637,1941200,58671,4520124,87540,,,,
Purbi Champaran,871,2863,4525566,236223,2633229,273551,,,,
Purnia,617,1902,5577792,249234,2124937,292873,,,,
Rohtas,423,2785,2549749,93826,1710565,116734,,,,
Saharsa,328,1754,3086689,143150,1223162,185716,,,,
Samastipur,782,3008,4881901,230449,2007402,338046,,,,
Sheikhpura,3,1,2,91,5333,397,494438,20379,353753,46100
Sheohar,118,258,357148,19867,466635,29892,,,,
Sitamarhi,3,4,5,5,58,9,1,1,3,330
Supaul,440,1349,3143057,142015,1291446,175470,,,,
Vaishali,556,4311,2237304,102931,1861294,138513,,,,
