District,Rural,Semi-Urban,Urban,Total,ATM Rural,ATM Semi-Urban,ATM Urban,ATM Total,POS
Araria,74,70,3,147,87,113,1454931,415,
Arwal,40,17,1,58,9,2,35,420495,139
Aurangabad,123,38,20,181,63,18,131,1647734,503
Banka,74,35,4,113,43,8,87,845632,292
Bhojpur,128,49,49,226,69,87,205,1622449,1186
Buxar,90,41,22,153,47,18,91,1088319,512
Gopalganj,118,64,0,182,71,10,136,1534127,722
Nalanda,145,59,42,246,83,59,166,1596000,770
Nawada,73,59,3,135,53,5,65,1311828,363
Rohtas,136,44,44,224,78,52,156,1886574,723
