District,Total Branch,Export No.,Export Amt,Education PS No.,Education PS Amt,Housing PS No.,Housing PS Amt,Social Infra No.,Social Infra Amt,Renewable No.,Renewable Amt,Other PS No.,Other PS Amt,Ops Total O/S No.,Ops Total O/S Amt
Baksa,56,0,0,110,285.48,942,"8,802.10",0,0,38,8.16,"4,213","1,494.11","5,303","10,589.85"
Barpeta,126,0,0,462,"1,437.17","3,493","29,992.10",0,0,423,197.76,"42,276","12,612.49","46,654","44,239.52"
Biswanath,56,0,0,157,454.13,"1,337","10,244.28",0,0,0,0,"13,645","7,783.99","15,139","18,482.40"
Bongaigaon,61,0,0,160,592.66,"1,873","16,312.71",1,25.61,98,47.84,"19,256","7,281.49","21,388","24,260.31"
Cachar,162,0,0,1175,"3,120.38","3,699","27,758.09",4,15.39,15,3.31,"92,870","30,892.07","97,763","61,789.24"
Charaideo,36,0,0,73,193.50,402,"3,202.62",0,0,42,16.37,"5,029","3,788.29","5,546","7,200.78"
Chirang,38,0,0,60,216.18,580,"5,510.56",0,0,113,35.32,"9,321","2,792.06","10,074","8,554.12"
Darrang,69,0,0,397,"1,155.01","1,526","13,455.76",0,0,42,20.07,"22,508","6,619.23","24,473","21,250.07"
Dhemaji,47,0,0,167,481.61,"1,610","14,194.76",1,79.04,16,3.71,"7,882","2,741.60","9,676","17,500.72"
Dhubri,88,0,0,183,637.94,"1,910","16,204.89",1,0.25,222,132.36,"43,540","13,545.40","45,856","30,520.84"
Dibrugarh,180,0,0,912,"2,806.81","4,531","39,178.76",1,6.25,13,4.28,"29,861","15,056.20","35,318","57,052.30"
Dima Hasao,31,0,0,35,100.25,426,"3,391.26",0,0,0,0,39,115.79,500,"3,607.30"
Goalpara,72,0,0,144,545.87,"1,108","10,027.54",1,0.06,423,270.28,"21,982","7,285.07","23,658","18,128.82"
Golaghat,121,0,0,408,"1,246.09","2,377","18,653.49",1,5.12,1,0.54,"28,872","9,194.25","31,659","29,099.49"
Hailakandi,46,0,0,82,231.24,902,"6,410.50",0,0,23,12.60,"15,597","5,813.84","16,604","12,468.18"
Hojai,58,0,0,157,554.06,920,"7,608.97",0,0,0,0,"18,591","20,877.80","19,668","29,040.83"
Jorhat,133,0,0,900,"2,886.91","4,625","40,689.65",2,60.47,0,0,"25,140","9,594.95","30,667","53,231.98"
Kamrup Metro,178,0,0,1461,"4,732.41","7,354","54,695.74",0,0,10,4.85,"74,600","22,668.52","83,425","82,101.52"
Karbi Anglong,65,0,0,119,295.20,"2,150","21,756.40",0,0,0,0,"2,882","1,371.91","5,151","23,423.51"
Karimganj,91,0,0,135,351.20,"1,134","6,616.74",0,0,7,2.45,"43,779","21,850.63","45,055","28,821.02"
Kokrajhar,55,0,0,129,375.34,"1,006","9,786.05",0,0,15,8.79,"20,086","5,908.74","21,236","16,078.92"
Lakhimpur,91,0,0,350,956.66,"3,337","26,716.02",2,9.53,77,34.00,"25,263","15,993.98","29,029","43,710.19"
Majuli,16,0,0,34,60.24,330,"2,303.70",0,0,0,0,"1,122","8,671.88","1,486","11,035.82"
Morigaon,67,0,0,162,463.11,"1,632","11,409.95",0,0,20,8.63,"15,697","21,319.25","17,511","33,200.94"
Nagaon,154,0,0,365,"1,150.77","4,347","35,432.34",4,139.17,1,0.66,"53,439","25,142.06","58,156","61,865.00"
Nalbari,85,0,0,397,"1,292.05","2,572","22,113.78",2,7.28,6,1.78,"24,478","9,111.57","27,455","32,526.46"
Sivasagar,101,0,0,328,"1,053.71","2,653","21,544.33",1,6.09,10,4.26,"19,761","10,290.11","22,753","32,898.50"
Sonitpur,132,0,0,662,"2,195.01","4,199","33,858.15",0,0,1,0.44,"36,780","25,967.58","41,642","62,021.18"
South Salmara,13,0,0,15,50.84,277,"2,764.98",0,0,6,4.34,330,531.79,628,"3,351.95"
Tinsukia,145,0,0,578,"1,985.25","2,463","19,961.02",2,0.14,12,3.54,"23,507","12,637.88","26,562","34,587.83"
Udalguri,49,0,0,314,843.87,"1,659","15,715.31",0,0,1,0.27,"8,285","3,286.65","10,259","19,846.10"
West Karbi Anglong,22,0,0,16,64.48,564,"5,899.44",0,0,6,0.51,8,3.77,594,"5,968.20"
