District,Total Branch,SC Disb No.,SC Disb Amt,SC O/S No.,SC O/S Amt,ST Disb No.,ST Disb Amt,ST O/S No.,ST O/S Amt
Baksa,56,466,656.81,3773,5021.88,1895,2835.23,15511,27627.34
Barpeta,126,1348,1384.39,12492,10121.35,632,1397.77,6232,10472.39
Biswanath,56,1022,1010.20,6805,6530.77,1566,1128.68,11193,8748.96
Bongaigaon,61,1038,1172.72,7148,9221.52,588,1859.19,5782,15211.33
Cachar,162,5650,5070.79,39275,28469.21,614,1101.73,7631,8620.52
Charaideo,36,181,216.51,1236,1324.55,155,255.41,1356,1711.28
Chirang,38,552,674.70,3425,3593.59,2023,3523.52,15839,29422.71
Darrang,69,339,497.82,3846,3828.43,226,438.90,2924,3970.46
Dhemaji,47,684,706.52,5275,6515.83,3604,5003.30,25156,47448.03
Dhubri,88,606,829.98,7502,7016.24,291,458.89,3254,5141.17
Dibrugarh,180,2221,2285.78,15228,17277.62,2827,4210.00,17621,29449.59
Dima Hasao,31,48,133.39,1234,2219.47,692,2927.04,6111,19502.73
Goalpara,72,551,620.66,5039,4821.17,2294,2153.03,15433,16227.94
Golaghat,121,2237,1820.81,14015,11486.80,2917,2613.24,16960,17058.32
Hailakandi,46,1054,955.94,7319,6056.72,134,166.78,1753,1232.04
Hojai,58,1210,1471.33,11151,8473.20,457,815.58,5299,5896.30
Jorhat,133,1986,2037.84,14545,14207.99,1644,2071.73,17178,19207.99
Kamrup Metro,178,2122,2583.79,18981,15264.01,2476,3455.32,18991,22211.92
Karbi Anglong,65,180,365.88,1637,3757.87,2106,4685.45,22517,52116.37
Karimganj,91,2861,2346.13,19407,11675.76,167,194.94,3084,1374.81
Kokrajhar,55,532,633.95,4161,5651.69,3126,7432.04,26128,68383.53
Lakhimpur,91,1519,1539.38,15451,14830.70,3233,4342.44,27380,43035.02
Majuli,16,173,264.70,1339,1549.23,567,1010.09,3646,9007.25
Morigaon,67,1211,1192.23,10720,7879.83,2719,2331.02,16125,13271.42
Nagaon,154,2500,2557.88,22813,17282.22,1709,2003.24,16147,14006.89
Nalbari,85,529,637.07,6331,5705.36,415,633.92,4654,5711.58
Sivasagar,101,994,1109.01,8908,10164.71,831,978.73,6627,9331.11
Sonitpur,132,1648,1712.03,13202,14283.50,2191,2988.22,16071,20926.34
South Salmara,13,4,1.27,96,293.02,7,36.01,98,354.77
Tinsukia,145,821,969.47,5864,6968.90,1175,2613.98,8736,16094.69
Udalguri,49,393,529.12,3311,3797.91,3189,4906.56,32460,45039.91
West Karbi Anglong,22,27,62.04,270,688.79,328,964.19,4349,11528.95
