District,Total Branch,Crop No.,Crop Amt,Term Loan No.,Term Loan Amt,Agri Infra No.,Agri Infra Amt,Ancillary No.,Ancillary Amt,Total Agri (PS) NPA No.,Total Agri (PS) NPA Amt
Baksa,56,6554,3483.60,4669,2433.33,0,0,966,274.09,12189,6191.02
Barpeta,126,20236,12374.53,14656,5803.37,5,2.96,1618,745.93,36515,18926.79
Biswanath,56,6625,4121.84,4329,1815.20,2,1.41,835,290.85,11791,6229.30
Bongaigaon,61,3480,1826.95,2546,1023.38,0,0,403,329.37,6429,3179.70
Cachar,162,19295,14095.16,7771,3682.89,3,51.94,2189,1950.18,29258,19780.17
Charaideo,36,2532,2063.58,1311,739.08,11,0.83,462,246.06,4316,3049.55
Chirang,38,7022,3859.04,1875,1217.27,0,0,218,172.56,9115,5248.87
Darrang,69,12867,7873.05,10775,4662.76,1,2.67,1004,492.08,24647,13030.56
Dhemaji,47,8388,5094.77,2986,1712.33,2,0.24,951,459.13,12327,7266.47
Dhubri,88,13981,7222.35,7425,2993.30,7,0.96,1184,651.49,22597,10868.10
Dibrugarh,180,28922,18282.76,8260,4146.65,4,9.09,2203,2005.08,39389,24443.58
Dima Hasao,31,461,240.29,256,143.59,0,0,23,23.96,740,407.84
Goalpara,72,8785,4382.75,4928,3428.43,7,1.75,1803,809.68,15523,8622.61
Golaghat,121,22192,11263.18,6617,3088.39,0,0,2002,974.65,30811,15326.22
Hailakandi,46,6686,3901.55,1984,1017.57,0,0,319,230.00,8989,5149.12
Hojai,58,8323,5104.72,2105,967.42,33,16.78,1110,661.90,11571,6750.82
Jorhat,133,19402,9774.10,7750,2975.61,6,45.14,1484,739.82,28642,13534.67
Kamrup Metro,178,28145,16495.15,13319,5125.97,7,12.07,4144,1699.45,45615,23332.64
Karbi Anglong,65,7772,3609.41,1531,843.37,0,0,212,174.39,9515,4627.17
Karimganj,91,8713,7179.56,4985,2639.87,1,0.23,1093,1229.93,14792,11049.59
Kokrajhar,55,9472,5145.15,1950,1326.94,2,0,118,100.34,11542,6572.43
Lakhimpur,91,18550,12731.43,11487,3706.05,0,0,2148,1011.26,32185,17448.74
Majuli,16,1723,907.23,954,774.01,0,0,59,62.08,2736,1743.32
Morigaon,67,11346,8572.13,8400,3882.88,10,8.65,1589,817.47,21345,13281.13
Nagaon,154,37372,20473.98,24479,8381.56,15,31.06,3208,2052.83,65074,30939.43
Nalbari,85,13081,6469.74,12746,4044.17,7,6.94,962,534.89,26796,11055.74
Sivasagar,101,9586,5250.95,7416,2967.50,4,39.57,2231,893.84,19237,9151.86
Sonitpur,132,12123,8179.06,11878,4869.00,38,15.95,2331,1021.04,26370,14085.05
South Salmara,13,1617,498.95,299,343.74,0,0,2,2.48,1918,845.17
Tinsukia,145,15063,11238.05,4841,2621.09,1,0.54,1247,917.60,21152,14777.28
Udalguri,49,19675,12307.65,7680,4172.88,0,0,511,176.38,27866,16656.91
West Karbi Anglong,22,1854,830.83,730,231.14,1,0,78,30.69,2663,1092.66
