District,Total Branch,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,Other Msme No.,Other Msme Amt,Msme Total O/S No.,Msme Total O/S Amt
Baksa,56,"14,315","14,271.65",138,"3,248.41",1,530.24,"1,583","1,200.75","16,037","19,251.05"
Barpeta,126,"28,632","61,231.81",740,"17,999.67",61,"2,532.20","1,538","1,002.73","30,971","82,766.41"
Biswanath,56,"12,667","21,961.83",278,"4,030.73",8,62.65,"1,300",619.24,"14,253","26,674.45"
Bongaigaon,61,"13,184","33,413.59",709,"17,219.64",41,"1,992.04","1,177",516.62,"15,111","53,141.89"
Cachar,162,"32,386","84,061.22","1,364","35,460.10",108,"9,600.14","1,433","1,420.74","35,291","1,30,542.20"
Charaideo,36,"5,672","11,748.57",166,"1,128.36",4,150.13,61,63.80,"5,903","13,090.86"
Chirang,38,"7,968","11,464.01",129,"2,444.87",4,"1,140.49",657,363.81,"8,758","15,413.18"
Darrang,69,"15,557","31,120.64",389,"9,666.49",17,"1,209.99",910,551.02,"16,873","42,548.14"
Dhemaji,47,"16,775","19,894.34",479,"6,834.99",7,81.18,"1,501","1,273.90","18,762","28,084.41"
Dhubri,88,"17,281","30,836.06",679,"9,943.94",9,"1,584.28",268,278.00,"18,237","42,642.28"
Dibrugarh,180,"38,283","1,15,864.68","2,269","72,260.69",219,"12,096.73","1,413",757.33,"42,184","2,00,979.43"
Dima Hasao,31,"3,378","5,887.27",89,540.00,1,0.51,207,304.23,"3,675","6,732.01"
Goalpara,72,"17,282","22,923.77",288,"10,113.18",4,232.03,447,362.83,"18,021","33,631.81"
Golaghat,121,"20,502","38,811.76",949,"20,032.61",27,"1,130.50","2,424","1,582.86","23,902","61,557.73"
Hailakandi,46,"8,635","17,486.46",243,"7,029.38",3,2.40,337,284.29,"9,218","24,802.53"
Hojai,58,"14,431","23,646.00",309,"4,846.05",0,0,107,215.10,"14,847","28,707.15"
Jorhat,133,"26,833","79,243.65","1,523","49,811.85",139,"18,552.39","2,348","1,919.48","30,843","1,49,527.37"
Kamrup Metro,178,"35,638","85,073.90","1,502","29,587.27",129,"7,161.06","3,331","2,195.77","40,600","1,24,018.00"
Karbi Anglong,65,"11,534","15,900.88",204,"1,709.32",1,1.48,195,152.40,"11,934","17,764.08"
Karimganj,91,"12,728","27,055.15",502,"8,564.60",30,"1,620.19","1,573","1,330.96","14,833","38,570.90"
Kokrajhar,55,"9,221","16,945.16",237,"6,334.67",0,0,132,554.16,"9,590","23,833.99"
Lakhimpur,91,"28,185","41,826.98",985,"19,593.43",57,"3,396.54","6,724","4,336.05","35,951","69,153.00"
Majuli,16,"2,539","5,331.28",60,759.85,1,2.34,557,416.61,"3,157","6,510.08"
Morigaon,67,"12,788","22,884.50",262,"3,897.23",17,"1,256.08","1,746","1,090.87","14,813","29,128.68"
Nagaon,154,"28,418","60,020.29",975,"33,565.99",94,"6,439.63","1,042",809.62,"30,529","1,00,835.53"
Nalbari,85,"16,091","30,156.68",344,"8,971.17",16,273.69,"1,171","1,029.36","17,622","40,430.90"
Sivasagar,101,"20,975","50,881.54","1,443","28,810.51",31,"3,280.70","1,272",759.61,"23,721","83,732.36"
Sonitpur,132,"26,228","67,571.29",974,"26,642.43",108,"4,606.31",989,765.18,"28,299","99,585.21"
South Salmara,13,"1,813","4,174.94",32,480.82,1,16.12,1,35.7,"1,847","4,707.58"
Tinsukia,145,"26,530","91,571.97","1,342","41,029.15",59,"7,122.35",993,832.13,"28,924","1,40,555.60"
Udalguri,49,"11,665","16,272.73",181,916.30,1,1.01,"1,732","1,399.76","13,579","18,589.80"
West Karbi Anglong,22,"1,783","1,262.07",2,6.46,0,0,1,9.05,"1,786","1,277.58"
