District,Total Branch,O/S No.,O/S Amt,CY Disb No.,CY Disb Amt
Baksa,56,26905,22262.57,2751,3740.37
Barpeta,126,122350,86239.78,24217,23115.80
Biswanath,56,39035,27019.75,5451,5713.48
Bongaigaon,61,46808,47903.67,17210,15845.58
Cachar,162,152684,103110.63,43213,32405.80
Charaideo,36,17794,18397.27,5924,5129.40
Chirang,38,22967,18186.07,6642,4436.82
Darrang,69,70048,48380.78,18421,13978.55
Dhemaji,47,44083,44208.54,9550,9503.69
Dhubri,88,71743,44848.92,10090,9129.74
Dibrugarh,180,122593,134515.00,25236,30139.96
Dima Hasao,31,5956,15413.21,1069,3164.93
Goalpara,72,54937,39272.08,11325,9770.15
Golaghat,121,97498,66983.40,20335,16945.36
Hailakandi,46,26405,24314.92,4778,5673.22
Hojai,58,43408,29384.94,7083,7234.26
Jorhat,133,103388,103460.53,18075,19362.34
Kamrup Metro,178,184946,141594.35,43898,38652.46
Karbi Anglong,65,37774,49428.88,5473,8495.98
Karimganj,91,66407,39565.66,13383,10537.36
Kokrajhar,55,41952,38284.32,20012,14447.44
Lakhimpur,91,99953,77229.92,15163,15931.28
Majuli,16,6335,7687.68,2088,1877.88
Morigaon,67,54678,39804.39,7657,8580.58
Nagaon,154,167643,121821.12,28569,26183.52
Nalbari,85,80237,60323.86,16859,16690.04
Sivasagar,101,90831,88830.76,16639,17440.47
Sonitpur,132,105519,104608.38,27390,26565.10
South Salmara,13,1395,2279.87,230,476.15
Tinsukia,145,78734,79164.36,20809,21216.89
Udalguri,49,31531,28384.77,10718,7458.58
West Karbi Anglong,22,7128,8803.49,919,1433.90
