district,Total Branch,Total Deposit,Total Advances,Overall CD Ratio
Baksa,57,"1,45,564","1,00,314",69
Barpeta,127,"5,84,411","4,15,779",71
Biswanath,58,"2,14,230","1,32,277",62
Bongaigaon,61,"3,88,086","2,55,316",66
Cachar,164,"10,92,584","5,19,888",48
Charaideo,37,"1,43,003","69,860",49
Chirang,38,"1,70,817","96,467",56
Darrang,69,"2,99,033","2,14,436",72
Dhemaji,47,"1,88,637","1,74,067",92
Dhubri,89,"3,85,923","2,37,348",62
Dibrugarh,181,"13,39,630","7,15,820",53
Dima Hasao,31,"1,48,696","60,319",41
Goalpara,73,"2,80,288","1,85,704",66
Golaghat,122,"4,40,219","3,97,646",90
Hailakandi,47,"2,09,042","1,09,219",52
Hojai,59,"3,31,915","1,57,217",47
Jorhat,133,"8,49,292","5,59,395",66
Kamrup Metro,180,"8,25,552","7,31,537",89
Karbi Anglong,67,"2,07,150","1,82,111",88
Karimganj,92,"4,79,086","1,68,333",35
Kokrajhar,56,"3,95,311","1,91,035",48
Lakhimpur,92,"3,49,209","3,20,181",92
Majuli,17,"54,720","37,826",69
Morigaon,68,"2,13,019","1,59,102",75
Nagaon,156,"6,92,926","5,13,496",74
Nalbari,85,"3,74,134","2,59,192",69
Sivasagar,101,"5,82,596","3,75,826",65
Sonitpur,133,"7,37,907","4,95,151",67
South Salmara,13,"33,440","21,300",64
Tinsukia,145,"8,06,517","4,55,675",57
Udalguri,50,"1,85,822","1,35,704",73
West Karbi Anglong,22,"35,389","33,177",94
