district,Total Branch,Agriculture (NPS) No.,Agriculture (NPS) Amt.,MSME (NPS) No.,MSME (NPS) Amt.,Exp Credit (NPS) A/C,Exp Credit (NPS) Amt.,Educatio n (NPS) A/C,Education (NPS) Amt.,Housing (NPS) A/C,Housing (NPS) Amt.,Personal Loans under NPS A/C,Personal Loans under NPS Amt.,Others NPS A/C,Others NPS Amt.,Total ACP (NPS) Disb No.,Total ACP (NPS) Disb Amt.
Baksa,56,2,2.01,0,0,0,0,1,1,39,444.64,249,880.93,"1,871","5,500.08","2,162","6,828.66"
Barpeta,126,26,8.29,0,0,0,0,3,40.42,226,"3,094.21","1,048","3,953.56","9,026","30,165.82","10,329","37,262.30"
Biswanath,56,19,16.85,0,0,0,0,0,0,67,565.71,359,"1,209.21","1,876","5,388.18","2,321","7,179.95"
Bongaigaon,61,4,11.23,0,0,0,0,3,38.45,201,"2,216.37",846,"3,658.52","6,888","22,577.06","7,942","28,501.63"
Cachar,162,5,4.65,4,97.89,0,0,2,32.76,198,"2,599.60","2,081","6,354.07","18,372","51,209.32","20,662","60,298.29"
Charaideo,36,2,3.87,0,0,0,0,0,0,31,425.68,136,430.79,924,"4,121.09","1,093","4,981.43"
Chirang,38,6,1.62,0,0,0,0,0,0,44,372.01,140,347.99,977,"4,858.11","1,167","5,579.73"
Darrang,69,5,22.39,0,0,0,0,13,238.15,139,"1,235.19",721,"2,515.80","4,915","15,653.69","5,793","19,665.22"
Dhemaji,47,8,7.06,0,0,0,0,1,2.11,87,858.68,642,"2,917.19","4,342","11,588.15","5,080","15,373.19"
Dhubri,88,49,37.57,0,0,0,0,1,0.7,88,648.92,667,"2,033.95","6,313","16,542.72","7,118","19,263.86"
Dibrugarh,180,30,890.56,7,186.15,0,0,7,81.11,343,"6,840.55","3,620","19,900.36","17,940","1,00,942.14","21,947","1,28,840.87"
Dima Hasao,31,1,0.28,0,0,0,0,1,12.61,20,168.02,463,"2,789.60",915,"4,494.39","1,400","7,464.90"
Goalpara,72,13,10.69,0,0,0,0,0,0,66,464.93,406,"1,508.17","4,649","18,239.95","5,134","20,223.74"
Golaghat,121,32,54.19,0,0,0,0,1,35.05,181,"1,975.14","1,407","4,820.81","7,918","56,399.77","9,539","63,284.96"
Hailakandi,46,6,814.37,0,0,0,0,1,3.6,33,506.07,260,"1,058.80","3,059","9,812.42","3,359","12,195.26"
Hojai,58,36,15.05,0,0,0,0,1,1.3,53,742.68,617,"2,436.08","3,795","10,209.60","4,502","13,404.71"
Jorhat,133,18,176.99,5,21.45,0,0,4,36.97,408,"4,415.23","2,144","9,712.24","12,528","31,654.16","15,107","46,017.04"
Kamrup,178,26,23.66,0,0,0,0,4,87.53,362,"5,261.38","3,148","14,415.21","25,920","1,12,150.09","29,460","1,31,937.87"
Kamrup Metro,432,13,"9,680.67",27,"3,212.24",0,0,104,"1,564.19","2,453","40,825.36","10,698","45,424.73","98,567","6,78,838.51","1,11,862","7,79,545.70"
Karbi Anglong,65,1,0,0,0,0,0,2,20.81,33,350.78,"1,002","4,835.85","3,552","11,195.56","4,590","16,403.00"
Karimganj,91,4,0.80,0,0,0,0,3,38.55,42,558.73,713,"3,062.23","5,141","14,077.39","5,903","17,737.70"
Kokrajhar,55,10,11.51,0,0,0,0,1,12.03,79,871.04,520,"2,019.18","5,283","16,868.86","5,893","19,782.62"
Lakhimpur,91,9,3.43,4,126.35,0,0,6,22.56,222,"2,668.95","1,359","5,919.59","7,366","23,415.98","8,966","32,156.86"
Majuli,16,0,0,0,0,0,0,0,0,26,304.47,240,"1,600.59",613,"2,093.58",879,"3,998.64"
Morigaon,67,16,19.49,0,0,0,0,0,8.58,63,"1,093.81",719,"3,353.52","3,869","11,883.19","4,667","16,358.59"
Nagaon,154,17,36.7,0,0,0,0,26,519.87,244,"3,134.76","1,643","7,005.42","11,286","45,593.95","13,216","56,290.70"
Nalbari,85,2,1.18,6,131.15,0,0,1,0.22,176,"2,077.09",984,"4,394.40","6,026","20,448.06","7,195","27,052.10"
Sivasagar,101,4,1.8,0,0,0,0,5,44.71,175,"1,875.70","1,360","5,649.38","10,386","25,690.68","11,930","33,262.27"
Sonitpur,132,24,18.40,0,0,0,0,5,57.2,452,"4,962.64","1,827","7,551.20","12,078","39,333.43","14,386","51,922.87"
South Salmara,13,1,0.32,0,0,0,0,0,0,2,21.64,33,104.26,423,"1,347.39",459,"1,473.61"
Tinsukia,145,18,328.33,8,546,0,0,5,75.43,208,"3,083.31","1,958","8,715.98","9,334","38,102.76","11,531","50,851.81"
Udalguri,49,9,7.16,0,0,0,0,1,0.35,66,248.37,219,497.56,"1,689","7,345.30","1,984","8,098.74"
West Karbi Anglong,22,0,0,0,0,0,0,0,0,1,10.50,117,642.24,293,"1,104.53",411,"1,757.27"
