district,Total Branch,Micro TL A/C,Micro TL Amt,Micro WC A/C,Micro WC Amt,Small TL A/C,Small TL Amt,Small WC A/C,Small WC Amt,Medium TL A/C,Medium TL Amt,Medium WC A/C,Medium WC Amt,KVIC TL A/C,KVIC TL Amt,KVIC WC A/C,KVIC WC Amt,Others under MSMEs A/C,Others under MSMEs Amt,CLF TL A/C,CLF TL Amt,CLF WC A/C,CLF WC Amt,Tot MSME (PS) Disb No.,Tot MSME (PS) Disb Amt
Baksa,56,814,"2,459.38",193,"1,280.49",18,557.69,19,"1,918.88",0,0,1,1500,7,15.62,0,0,1,0.02,7,8,0,0,"1,060","7,740.08"
Barpeta,126,"2,868","13,966.72",751,"11,609.24",131,"6,970.35",66,"4,264.72",7,907.13,4,1352.5,39,142.7,6,18.23,26,34.75,15,15,4,7,"3,917","39,288.34"
Biswanath,56,"1,150","6,352.42",301,"2,164.63",72,"2,032.82",10,489.22,0,0,0,0,11,61.68,0,0,0,0,0,0,0,0,"1,544","11,100.77"
Bongaigaon,61,"1,588","8,520.07",469,"5,426.21",80,"8,591.97",29,"2,824.55",7,1768.1,3,352.7,2,1.05,7,1.22,11,2.61,0,0,0,0,"2,196","27,488.48"
Cachar,162,"4,574","18,292.06","1,439","10,151.13",232,"16,704.03",112,"10,853.73",38,7194.81,8,2373.23,65,216.43,0,0,6,12.43,17,22,4,6,"6,495","65,825.85"
Charaideo,36,773,"3,152.63",179,"1,890.44",34,519.53,20,198.83,1,3,0,0,0,0,0,0,1,5,0,0,0,0,"1,008","5,769.43"
Chirang,38,696,"2,987.36",153,773.98,26,"1,511.25",9,343.37,2,881.25,1,293.75,5,10.08,0,0,0,0,0,0,0,0,892,"6,801.04"
Darrang,69,"1,598","9,023.88",603,"4,237.72",85,"4,501.03",42,"2,590.62",7,1014.22,2,229.05,11,25.74,7,5.65,4,0.44,0,0,0,0,"2,359","21,628.35"
Dhemaji,47,"1,324","4,353.60",693,"2,826.42",47,"1,550.27",24,"1,521.54",0,0,0,0,3,5.63,0,0,10,4.41,7,6,0,0,"2,108","10,267.87"
Dhubri,88,"1,703","10,620.05",482,"2,999.48",85,"7,307.90",18,"1,534.59",4,1155,1,410,2,6.56,0,0,3,10.57,16,20,10,7,"2,324","24,071.15"
Dibrugarh,180,"4,979","31,201.66","1,255","15,386.30",350,"28,376.54",209,"16,332.53",31,3096.57,12,1355.2,32,170.25,9,19.58,9,1.87,34,42,13,13.7,"6,933","95,996.20"
Dima Hasao,31,738,"1,564.57",104,450.41,2,101.00,2,40.4,1,0.5,0,0,3,2.2,0,0,1,2.85,0,0,0,0,851,"2,161.93"
Goalpara,72,"1,336","5,234.24",447,"2,761.67",55,"3,483.43",33,"2,046.79",2,203.67,1,15.97,21,30.76,0,0,1,2.18,0,0,0,0,"1,896","13,778.71"
Golaghat,121,"2,452","10,563.59",598,"3,482.96",127,"6,580.89",37,"2,221.85",3,206,0,0,12,81.61,1,0.25,0,0,8,6,0,0,"3,238","23,143.15"
Hailakandi,46,"1,012","3,373.42",506,"3,797.02",24,"1,522.33",35,"4,058.30",3,105.99,0,0,11,34.19,2,8.31,2,0.2,0,0,0,0,"1,595","12,899.76"
Hojai,58,"1,527","8,430.12",748,"5,306.55",80,"3,648.67",55,"2,354.25",2,1.1,0,0,3,11.69,0,0,1,7,0,0,0,0,"2,416","19,759.38"
Jorhat,133,"2,435","20,412.15",828,"9,561.28",204,"16,838.03",100,"8,351.15",45,10975.07,5,4568.93,2,6.06,0,0,4,102.06,0,0,0,0,"3,623","70,814.73"
Kamrup,178,"2,606","13,998.89","1,059","13,406.62",191,"7,136.90",108,"9,216.74",18,738.33,4,372.25,81,244.01,1,0.25,4,10.27,42,50,24,18,"4,138","45,192.26"
Kamrup Metro,432,"10,638","1,67,038.54","3,441","97,917.91","1,529","2,02,780.01",744,"1,00,113.10",464,160230.49,143,45707.82,50,246.75,13,75.82,15,242.93,0,0,0,0,"17,037","7,74,353.37"
Karbi Anglong,65,"1,695","4,046.92",232,"1,597.38",11,365.40,11,768.03,1,1.48,0,0,17,49.44,3,2.55,0,0,0,0,0,0,"1,970","6,831.20"
Karimganj,91,"1,663","6,647.01",557,"3,725.78",109,"5,304.33",51,"1,755.02",4,278.68,1,13,26,64.96,0,0,5,0.4,0,0,0,0,"2,416","17,789.18"
Kokrajhar,55,"1,233","5,128.92",214,"2,141.27",55,"1,490.85",20,"1,506.77",0,0,0,0,7,7.69,0,0,1,400,0,0,0,0,"1,530","10,675.50"
Lakhimpur,91,"2,555","9,787.38",749,"6,151.96",109,"5,786.85",76,"4,411.53",16,1300.39,5,938.62,32,204.62,3,8.39,13,7.95,12,12,0,0,"3,570","28,609.69"
Majuli,16,94,585.46,38,245.22,17,159.07,6,50.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,"1,040.66"
Morigaon,67,722,"3,818.01",293,"3,430.61",55,"1,414.96",53,"3,472.30",2,65.1,4,1130,1,1.97,0,0,4,4.86,7,8.5,0,0,"1,141","13,346.31"
Nagaon,154,"3,012","15,298.54",965,"8,847.36",167,"12,268.97",119,"7,451.30",25,4893.75,7,310.59,25,121.78,9,33.74,3,12.9,0,0,0,0,"4,332","49,238.93"
Nalbari,85,"1,470","7,841.33",629,"5,220.20",66,"3,343.47",37,"3,199.91",3,66,3,88,34,121.41,7,22.03,1,4,10,8,0,0,"2,260","19,914.35"
Sivasagar,101,"2,339","12,331.30",853,"8,000.30",130,"11,211.97",117,"7,840.43",13,2788.07,3,948.23,9,46.93,0,0,4,47,10,12,0,0,"3,478","43,226.23"
Sonitpur,132,"2,883","18,736.86",963,"11,744.95",143,"11,781.60",114,"8,676.29",27,1871.36,7,1027.19,66,259.53,4,16.56,3,35,0,0,0,0,"4,210","54,149.34"
South Salmara,13,146,"1,028.67",20,158.99,8,215.99,2,35.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,"1,438.88"
Tinsukia,145,"3,906","27,232.10","1,472","16,785.16",310,"21,995.04",179,"14,987.57",29,2933.48,10,1953.16,19,100.08,0,0,4,0.06,8,12,0,0,"5,937","85,998.65"
Udalguri,49,553,"2,456.25",150,"1,210.36",10,267.67,2,32.00,1,1,0,0,5,9.47,0,0,2,7.93,10,14,0,0,733,"3,998.68"
West Karbi Anglong,22,135,312.00,58,167.72,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,194,489.72
