District,Lead Bank Name,Dec-22,Mar-23,Jun-23,Sep-23
Baksa,SBI,08.06.2023,08.06.2023,14.08.2023,
Barpeta,UCO,14.06.2023,14.06.2023,,
Biswanath,UCO,19.04.2023,17.08.2023,17.08.2023,
Bongaigaon,SBI,03.08.2023,03.08.2023,03.08.2023,
Cachar,PNB,20.05.2023,20.05.2023,24.08.2023,
Charaideo,PNB,03.04.2023,16.06.2023,04.08.2023,
Chirang,SBI,27.02.2023,16.06.2023,11.08.2023,
Darrang,UCO,28.02.2023,21.06.2023,,
Dhemaji,PNB,14.03.2023,07.07.2023,09.10.2023,
Dhubri,UCO,04.04.2023,08.08.2023,08.08.2023,
Dibrugarh,PNB,23.06.2023,23.06.2023,11.08.2023,
Dima Hasao,SBI,24.03.2023,12.06.2023,14.08.2023,05.10.2023
Goalpara,UCO,29.03.2023,28.06.2023,30.08.2023,
Golaghat,PNB,26.05.2023,26.05.2023,23.08.2023,07.12.2023
Hailakandi,PNB,30.03.2023,27.06.2023,10.10.2023,05.12.2023
Hojai,PNB,20.03.2023,26.07.2023,11.09.2023,
Jorhat,PNB,03.03.2023,20.05.2023,21.08.2023,
Kamrup Metro,UCO,10.03.2023,27.04.2023,19.10.2023,
Kamrup Rural,UCO,13.03.2023,26.06.2023,29.08.2023,
Karbi Anglong,SBI,23.03.2023,08.06.2023,10.08.2023,
Karimganj,PNB,20.05.2023,20.05.2023,30.08.2023,
Kokrajhar,UCO,16.03.2023,30.06.2023,05.10.2023,
Lakhimpur,PNB,15.03.2023,03.07.2023,10.08.2023,21.11.2023
Majuli,PNB,12.04.2023,22.05.2023,24.08.2023,22.11.2023
Morigaon,PNB,25.04.2023,28.07.2023,28.07.2023,
Nagaon,PNB,22.03.2023,22.06.2023,11.09.2023,
Nalbari,UCO,24.03.2023,21.09.2023,21.09.2023,17.11.2023
Sivasagar,PNB,16.02.2023,16.06.2023,09.08.2023,
Sonitpur,UCO,22.03.2023,17.08.2023,17.08.2023,
South Salmara,UCO,04.04.2023,20.09.2023,20.09.2023,
Tinsukia,PNB,29.03.2023,28.06.2023,12.09.2023,
Udalguri,SBI,24.05.2023,24.05.2023,22.08.2023,
West Karbi Anglong,SBI,23.03.2023,08.06.2023,10.08.2023,
