district,Total Branch,KCCs for AH and Allied Activities No,KCCs for AH and Allied Activities Amt,Farm Productio n A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mechanisatio n No,Farm Mechanisation Amt,Poultry No,Poultry Amt,fisheries no,fisheries Amt,Godown No,Godown Amt,Clinic No,Clinic Amt,Other No,Other Amt,Total IC-Agri O/S No.,Total IC-Agri O/S Amt
Baksa,56,"2,086","4,020.43",4,3.64,215,289.61,"1,041",220.40,60,77.79,32,69.56,0,0,0,0,"1,971","3,454.55","5,409","8,135.98"
Barpeta,126,"3,507","4,461.47",3,2.33,"1,431","1,580.37","16,852","4,652.78",332,434.40,249,364.74,2,8,0,0,"5,904","8,687.64","28,280","20,191.73"
Biswanath,56,"1,446","3,696.07",2,35.07,49,60.19,644,203.06,100,88.18,12,21.04,0,0,0,0,"1,681","3,577.32","3,934","7,680.93"
Bongaigaon,61,461,"2,736.94",1,1.23,934,730.32,"4,333",821.70,166,179.12,16,15.99,2,117.7,0,0,"1,898","2,277.47","7,811","6,880.47"
Cachar,162,"4,068","7,139.04",5,4.38,"1,178","1,642.28","3,871",708.93,467,"1,051.31",332,571.75,8,58.99,4,1.69,"4,831","6,379.21","14,764","17,557.58"
Charaideo,36,247,215.51,1,2.27,59,88.27,24,24.93,123,155.50,5,12.30,1,0.65,0,0,637,746.26,"1,097","1,245.69"
Chirang,38,"5,324","3,539.76",2,1.34,228,204.85,2,2.58,38,50.74,21,14.39,0,0,0,0,"1,464","2,267.96","7,079","6,081.62"
Darrang,69,"3,538","4,859.81",16,11.15,850,"1,400.69","8,141","1,830.26",154,202.51,226,553.73,1,25.01,1,13.97,"3,872","4,769.53","16,799","13,666.66"
Dhemaji,47,871,598.07,1,0.28,130,"43,11,012.93","5,975","1,429.68",203,206.54,24,54.14,0,0,0,0,"2,032","2,712.73","9,236","43,16,014.37"
Dhubri,88,926,720.60,11,7.10,220,228.16,"2,102",408.00,134,126.50,12,14.46,0,0,7,8.7,"2,136","2,723.69","5,548","4,237.21"
Dibrugarh,180,"9,285","12,896.00",0,0,716,855.56,"8,380","1,669.34",424,504.34,87,152.66,2,3.36,21,28.14,"5,180","10,259.22","24,095","26,368.62"
Dima Hasao,31,98,"6,309.47",0,0,17,11.06,5,6.13,148,86.78,8,4.52,0,0,0,0,123,179.37,399,"6,597.33"
Goalpara,72,"3,855","4,373.44",26,15.15,246,264.23,"1,082",107.80,223,189.49,46,46.76,6,0.95,0,0,"2,502","4,614.03","7,986","9,611.85"
Golaghat,121,"3,826","4,461.34",3,1.22,644,360.96,"8,293","1,625.19",128,290.51,38,38.23,3,453.52,0,0,"5,696","7,571.64","18,631","14,802.61"
Hailakandi,46,837,"3,056.44",0,0,486,599.78,25,31.09,227,352.06,33,42.14,0,0,1,0.68,"1,365","2,179.45","2,974","6,261.64"
