District,Total Branch,Christians No.,Christians Amt,Muslims No.,Muslims Amt,Buddhists No.,Buddhists Amt,Sikhs No.,Sikhs Amt,Zoroastrians No.,Zoroastrians Amt,Jains No.,Jains Amt,Tot Loan to Minority O/S No.,Tot Loan to Minority O/S Amt
Baksa,56,170,286.90,5670,6313.56,15,48.41,4,10.70,0,0,10,4.45,5869,6664.02
Barpeta,126,178,574.09,100901,112816.20,35,40.17,13,42.09,2,1.99,26,189.99,101155,113664.53
Biswanath,56,357,465.93,9582,7802.59,20,23.06,12,64.33,3,3.1,11,122.39,9985,8481.40
Bongaigaon,61,836,1224.49,26144,36618.69,178,158.55,14,50.49,52,15.19,22,97.32,27246,38164.73
Cachar,162,2110,5232.19,94427,102071.79,50,152.65,58,215.91,4,8.41,19,123.90,96668,107804.85
Charaideo,36,136,191.36,3880,3418.87,64,118.57,24,84.21,5,13.92,4,2.76,4113,3829.69
Chirang,38,2890,2366.81,5521,7124.94,47,21.60,5,15.42,5,4.08,2,0.72,8470,9533.57
Darrang,69,253,475.36,45405,51262.21,48,173.03,13,53.52,1,0.14,13,383.65,45733,52347.91
Dhemaji,47,133,290.17,11978,4662.93,24,117.13,19,119.83,1,1.78,6,10.77,12161,5202.61
Dhubri,88,1091,783.39,69367,82532.55,10,20.29,24,150.05,0,0,25,223.93,70517,83710.21
Dibrugarh,180,1745,2839.45,10039,19033.09,195,669.13,248,1120.09,7,283897.19,44,332.54,12278,307891.49
Dima Hasao,31,2897,8451.73,941,1135.93,7,28.83,5,21.12,0,0,3,0.38,3853,9637.99
Goalpara,72,3779,2447.62,41323,51119.43,19,24.64,15,55.44,14,10.79,8,60.14,45158,53718.06
Golaghat,121,1616,1314.07,12820,12577.49,822,409.46,53,133.61,4,2.17,26,168.31,15341,14605.11
Hailakandi,46,211,398.12,29513,38205.32,3,7.92,6,4.88,0,0,2,8.97,29735,38625.21
Hojai,58,325,675.15,25982,30364.82,18,80.83,30,113.81,15,4.39,6,10.60,26376,31249.60
Jorhat,133,886,2157.77,9319,14457.12,433,610.38,128,987.67,3,32.39,50,856.90,10819,19102.23
Kamrup Metro,178,1292,1699.30,68562,75745.18,335,298.28,48,293.47,0,0,50,848.94,70287,78885.17
Karbi Anglong,65,3595,4933.78,2195,2941.06,62,232.03,28,81.52,2,0.76,13,214.19,5895,8403.34
Karimganj,91,595,621.91,38771,40847.85,10,12.41,13,65.78,1,2.85,6,172.16,39396,41722.96
Kokrajhar,55,4883,4792.54,16237,16681.91,8,8.10,17,66.64,3,225.73,9,77.26,21157,21852.18
Lakhimpur,91,1216,1657.13,26994,25548.93,63,235.43,45,150.88,22,17.39,9,30.06,28349,27639.82
Majuli,16,34,22.63,68,129.86,3,4.83,0,0,0,0,0,0,105,157.32
Morigaon,67,240,283.14,45650,34352.84,28,40.06,23,53.81,1,0.27,7,7.55,45949,34737.67
Nagaon,154,874,849.92,110497,107371.17,53,47.61,151,691.97,4,2.46,27,61.74,111606,109024.87
Nalbari,85,88,240.87,29691,33686.45,27,35.74,34,39.23,3,2.14,30,755.28,29873,34759.71
Sivasagar,101,403,574.45,21688,27675.25,478,524.32,48,123.22,3,7.41,25,61.53,22645,28966.18
Sonitpur,132,1458,3404.80,34642,32125.51,364,1449.19,133,585.97,2,0.24,28,318.11,36627,37883.82
South Salmara,13,17,99.21,5660,11827.05,1,0.89,1,12.35,0,0,1,0.56,5680,11940.06
Tinsukia,145,1089,3295.69,7140,10048.00,316,1792.83,153,2116.69,1,0.62,27,268.79,8726,17522.62
Udalguri,49,5368,8816.67,14494,15980.51,20,11.87,11,7.25,10,5.98,7,6.59,19910,24828.87
West Karbi Anglong,22,411,994.26,42,186.21,1,1.06,7,16.16,1,0.37,0,0,462,1198.06
