District,Total Branch,Sep-I No.,Sep-I Amt,Sep-G No.,Sep-G Amt,Sep-G No. of Beneficiary,SHG No.,SHG Amt,SHG No. of Beneficiary,Women SHG No.,Women SHG Amt,Women SHG No. of Beneficiary,Total Current Year NULM Disb No.,Total Current Year NULM Disb Amt,NULM O/S No.,NULM O/S Amt,NULM NPA No.,NULM NPA Amt,NULM NPA Amt. %
Baksa,56,0,0.00,0,0.00,0,2,0.16,2,0,0.00,0,2,0.16,52,180.41,7,1.19,0.66
Barpeta,126,1,0.90,0,0.00,0,13,10.79,44,8,10.60,25,14,11.69,976,1381.79,201,55.51,4.02
Biswanath,56,0,0.00,10,50.00,170,15,57.71,146,14,56.71,136,25,107.71,59,113.69,1,0.42,0.37
Bongaigaon,61,2,4.00,11,31.00,110,19,51.05,182,22,59.98,173,32,86.05,88,115.01,24,12.29,10.69
Cachar,162,22,33.42,7,17.00,61,28,69.96,229,31,58.96,170,57,120.38,303,499.79,23,15.39,3.08
Charaideo,36,4,4.31,0,0.00,0,0,0.00,0,0,0.00,0,4,4.31,7,8.36,0,0.00,0.00
Chirang,38,0,0.00,0,0.00,0,1,3.00,10,6,8.50,0,1,3.00,54,50.15,3,3.11,6.20
Darrang,69,0,0.00,0,0.00,0,32,73.84,256,31,72.84,255,32,73.84,336,600.05,5,5.80,0.97
Dhemaji,47,4,0.40,0,0.00,0,56,178.38,416,56,178.38,416,60,178.78,148,270.74,2,2.54,0.94
Dhubri,88,1,0.44,1,0.02,0,7,10.35,38,7,8.85,27,9,10.81,258,189.59,174,104.76,55.26
Dibrugarh,180,22,30.18,0,0.00,0,43,100.36,416,45,101.36,418,65,130.54,497,"1,106.01",39,24.38,2.20
Dima Hasao,31,6,45.61,12,39.00,120,13,41.00,130,12,39.00,120,31,125.61,50,74.30,3,4.87,6.55
Goalpara,72,0,0.00,6,18.00,60,14,31.20,104,9,21.00,61,20,49.20,62,68.28,7,4.79,7.02
Golaghat,121,0,0.00,0,0.00,0,15,54.06,42,6,18.06,23,15,54.06,120,271.11,11,7.08,2.61
Hailakandi,46,2,1.81,0,0.00,0,22,41.54,111,7,6.17,25,24,43.35,261,354.08,23,28.50,8.05
Hojai,58,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,196,291.62,0,0.00,0.00
Jorhat,133,0,0.00,6,9.18,48,13,22.7,77,17,27.74,78,19,31.89,938,"1,830.99",11,5.53,0.30
Kamrup Metro,178,0,0.00,1,2.00,5,20,30.96,129,17,30.84,122,21,32.96,381,801.93,18,11.89,1.48
Karbi Anglong,65,2,1.99,0,0.00,0,5,9.50,50,4,7.00,31,7,11.49,26,34.18,1,1.84,5.38
Karimganj,91,0,0.00,1,5.00,10,7,17.10,41,4,16.40,20,8,22.10,160,216.73,40,13.82,6.38
Kokrajhar,55,0,0.00,1,2.50,0,2,4.99,11,5,18.00,0,3,7.49,60,69.75,9,9.46,13.56
Lakhimpur,91,4,4.23,0,0.00,0,16,32.21,135,26,83.81,86,20,36.44,129,162.98,9,6.02,3.69
Majuli,16,0,0.00,0,0.00,0,2,4.00,2,1,5.00,1,2,4.00,0,0.00,0,0.00,0.00
Morigaon,67,0,0.00,0,0.00,0,12,36.41,60,8,23.91,59,12,36.41,300,356.44,59,13.66,3.83
Nagaon,154,0,0.00,2,4.50,20,9,22.63,69,10,23.63,70,11,27.13,324,721.44,8,4.98,0.69
Nalbari,85,0,0.00,0,0.00,0,4,7.92,29,1,2.93,8,4,7.92,236,535.69,16,11.92,2.23
Sivasagar,101,2,2.91,13,66.00,65,21,45.54,197,19,35.54,195,36,114.45,183,297.51,7,7.53,2.53
Sonitpur,132,0,0.00,0,0.00,0,29,90.99,260,18,36.99,159,29,90.99,336,592.89,6,4.45,0.75
South Salmara,13,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,4,4.63,0,0.00,0.00
Tinsukia,145,3,5.80,2,3.58,10,39,83.16,330,34,67.16,150,44,92.54,1215,"2,522.20",50,38.51,1.53
Udalguri,49,0,0.00,0,0.00,0,16,33.31,120,15,33.31,119,16,33.31,47,66.20,4,3.46,5.23
West Karbi Anglong,22,0,0.00,1,0.90,5,0,0.00,0,0,0.00,0,1,0.90,50,175.93,0,0.00,0.00
