District,Total Branch,CY Sanction A/C No.,CY Sanction Amt,CY Disbursed A/C No.,CY Disbursed Amt,PMEGP O/S No.,PMEGP O/S Amt,PMEGP NPA No.,PMEGP NPA Amt,PMEGP NPA Amt. %
Baksa,56,26,83.50,31,60.21,989,"1,597.73",700,940.30,58.85
Barpeta,126,195,868.95,179,672.95,"1,777","3,866.46",766,"1,406.19",36.37
Biswanath,56,33,208.93,65,209.33,354,737.47,109,146.37,19.85
Bongaigaon,61,26,158.84,41,101.59,631,"1,044.27",330,419.07,40.13
Cachar,162,79,455.66,94,418.07,"1,338","2,929.08",485,690.87,23.59
Charaideo,36,0,0,1,3.65,185,397.20,111,219.36,55.23
Chirang,38,32,137.97,26,76.57,"1,250","1,470.44","1,081","1,152.24",78.36
Darrang,69,26,103.59,34,99.98,762,"1,490.32",438,655.86,44.01
Dhemaji,47,79,341.22,116,225.50,888,"2,263.95",416,694.87,30.69
Dhubri,88,36,204.15,38,57.81,"1,669","2,541.23",943,"1,206.73",47.49
Dibrugarh,180,94,566.04,149,472.35,"1,317","3,659.87",585,993.41,27.14
Dima Hasao,31,14,55.97,12,31.82,249,546.55,79,105.74,19.35
Goalpara,72,33,100.63,32,61.07,844,"1,121.24",538,641.69,57.23
Golaghat,121,24,130.86,87,126.24,742,"1,841.85",379,596.75,32.40
Hailakandi,46,92,406.54,97,339.14,633,"1,569.98",315,477.75,30.43
Hojai,58,25,106.01,44,107.21,344,720.86,74,88.80,12.32
Jorhat,133,26,175.50,32,121.72,649,"1,475.89",266,362.59,24.57
Kamrup Metro,178,158,569.54,180,453.51,"1,505","2,855.83",732,976.72,34.20
Karbi Anglong,65,33,118.77,26,60.94,431,578.23,206,159.88,27.65
Karimganj,91,40,118.01,45,110.19,658,"1,382.42",266,443.81,32.10
Kokrajhar,55,37,84.98,38,61.58,"1,673","2,094.58","1,388","1,597.16",76.25
Lakhimpur,91,60,486.74,77,394.30,"1,078","3,208.80",575,"1,076.41",33.55
Majuli,16,6,33.38,4,24.22,152,284.35,48,65.16,22.92
Morigaon,67,17,51.28,41,78.95,640,"1,205.20",555,799.35,66.33
Nagaon,154,54,242.01,68,296.26,"1,405","3,241.84",657,"1,023.45",31.57
Nalbari,85,37,136.86,38,101.28,"1,017","2,098.78",583,956.52,45.58
Sivasagar,101,72,437.45,105,412.73,819,"2,500.25",273,465.87,18.63
Sonitpur,132,132,723.76,135,471.52,"1,247","2,724.81",506,796.42,29.23
South Salmara,13,7,14.15,7,10.78,472,607.54,379,448.05,73.75
Tinsukia,145,99,589.84,109,495.16,"1,049","2,825.92",500,746.91,26.43
Udalguri,49,8,22.60,6,12.18,"1,586","2,616.95","1,388","2,205.58",84.28
West Karbi Anglong,22,3,13.68,2,8.93,12,32.97,7,7.51,22.78
