District,Total Branch,CY Disbursement No.,CY Disbursement Amt,Outstanding No.,Outstanding Amt
Baksa,56,272,410.73,"5,918","2,241.27"
Barpeta,126,"1,421","1,446.60","17,727","6,058.08"
Biswanath,56,56,86.44,"6,278","1,993.37"
Bongaigaon,61,"2,944","1,639.06","8,168","3,009.29"
Cachar,162,"6,574","2,947.86","13,165","4,791.33"
Charaideo,36,"1,643","1,092.34","3,795","1,816.38"
Chirang,38,"1,041",564.68,"3,041","1,212.66"
Darrang,69,"2,526","1,255.74","10,810","3,147.93"
Dhemaji,47,"1,082",491.82,"7,964","2,458.49"
Dhubri,88,327,549.94,"3,677","2,201.67"
Dibrugarh,180,881,"1,259.75","14,154","4,619.98"
Dima Hasao,31,183,306.00,567,553.90
Goalpara,72,"1,753","1,387.35","9,565","3,790.68"
Golaghat,121,"1,634","1,858.90","18,747","6,434.27"
Hailakandi,46,143,220.60,"1,275",777.83
Hojai,58,200,302.88,"5,258","1,771.43"
Jorhat,133,494,834.03,"29,179","6,897.21"
Kamrup Metro,178,"5,504","2,298.66","35,532","8,162.53"
Karbi Anglong,65,"1,356","2,295.25","5,498","5,395.43"
Karimganj,91,"1,750","1,092.05","5,937","2,771.98"
Kokrajhar,55,"3,724","1,949.20","6,312","2,685.97"
Lakhimpur,91,461,490.36,"17,647","6,104.80"
Majuli,16,794,288.10,"2,126",450.80
Morigaon,67,65,105.83,"4,512","1,793.22"
Nagaon,154,"2,414","1,611.04","24,569","6,727.53"
Nalbari,85,"2,588","1,405.76","15,925","4,066.51"
Sivasagar,101,"1,018","2,213.45","11,640","6,541.90"
Sonitpur,132,"3,158","1,532.06","17,876","4,661.93"
South Salmara,13,0,0,103,124.59
Tinsukia,145,"2,662","1,666.39","9,820","3,516.78"
Udalguri,49,"2,614","1,211.74","7,792","2,487.01"
West Karbi Anglong,22,295,524.20,"1,694","1,385.41"
