district,Total Branch,Agri NPS No.,Agri NPS Amt.,Education NPS No.,Education NPS Amt.,Housing NPS No.,Housing NPS Amt.,Personal Loan No.,Personal Loan Amt.,Other NPS No.,Other NPS Amt.,Tot NPS O/S No.,Tot NPS O/S Amt.,Tot Non Prio Sec NPA No.,Tot Non Prio Sec NPA Amt.,NPS NPA Amt.%
Baksa,56,14,45.82,4,58.42,589,"3,526.25","2,657","4,983.71","11,806","39,344.06","15,070","47,958.26","1,182","1,094.86",2.28
Barpeta,126,29,18.38,15,362.57,"2,530","18,106.38","11,801","21,028.77","62,267","1,75,464.50","76,642","2,14,980.60","4,254","3,730.79",1.74
Biswanath,56,4,96.64,5,169.67,941,"5,913.86","3,327","5,191.14","16,092","39,343.14","20,369","50,714.45","1,204",823.55,1.62
Bongaigaon,61,10,3.83,8,204.47,"2,260","21,934.27","8,219","16,308.59","34,636","1,13,108.27","45,133","1,51,559.43","2,003","1,672.98",1.10
Cachar,162,27,261.78,18,374.39,"2,809","23,898.04","14,610","25,227.60","89,769","2,17,702.80","1,07,233","2,67,464.61","4,592","4,965.13",1.86
Charaideo,36,3,2.11,3,80.29,352,"2,636.77","1,718","2,731.69","8,816","28,646.74","10,892","34,097.60",649,447.74,1.31
Chirang,38,309,1041.29,3,77.82,639,"4,039.26","2,139","3,314.86","11,309","35,581.91","14,399","44,055.14","1,003",589.14,1.34
Darrang,69,9,12.56,3,87.82,"1,938","13,188.20","6,508","10,773.86","30,999","79,605.68","39,457","1,03,668.12","2,344","2,112.32",2.04
Dhemaji,47,27,26.52,4,49.16,"1,731","7,566.31","5,381","12,154.67","21,504","72,651.11","28,647","92,447.77",880,"1,172.40",1.27
Dhubri,88,277,850.33,4,76.03,"1,742","8,997.14","6,441","9,513.87","39,651","1,03,251.51","48,115","1,22,688.88","3,693","3,467.42",2.83
Dibrugarh,180,53,52.89,34,860.28,"4,986","52,344.80","22,607","52,787.72","88,993","2,85,203.35","1,16,673","3,91,249.04","5,503","3,764.74",0.96
Dima Hasao,31,1,1.48,2,39.52,170,"1,464.28","3,175","10,083.16","7,832","28,685.89","11,180","40,274.33",363,401.37,1.00
Goalpara,72,21,26.66,2,52.30,995,"4,669.93","4,963","7,787.16","26,336","78,633.84","32,317","91,169.89","1,670","1,606.47",1.76
Golaghat,121,26,356.99,12,284.51,"2,613","18,532.98","8,657","17,577.85","49,137","1,62,659.32","60,445","1,99,411.65","2,232","1,534.35",0.77
Hailakandi,46,368,990.38,1,7.53,734,"3,246.66","2,960","5,339.28","15,009","40,606.21","19,072","50,190.06","1,530",912.31,1.82
Hojai,58,21,24.00,4,49.90,747,"4,925.54","5,447","8,598.78","23,800","56,438.81","30,019","70,037.03","1,696","1,215.17",1.74
Jorhat,133,22,1276.90,39,1196.63,"6,472","52,803.63","15,535","32,192.90","73,478","2,01,574.28","95,546","2,89,044.34","4,103","4,241.85",1.47
Kamrup,178,23,198.47,18,451.36,"3,727","41,346.79","20,589","50,819.25","96,791","3,39,974.30","1,21,148","4,32,790.17","5,039","7,392.68",1.71
Kamrup Metro,432,57,23467.58,373,8550.70,"24,256","4,05,066.52","85,029","1,57,334.77","3,96,331","16,22,370.87","5,06,046","22,16,790.44","15,366","30,202.87",1.36
Karbi Anglong,65,14,8.04,3,39.98,801,"5,280.27","6,733","22,421.16","21,775","75,510.85","29,326","1,03,260.30",942,"1,166.31",1.13
Karimganj,91,0,0.00,8,123.48,549,"4,999.82","5,195","10,038.27","26,551","58,811.35","32,303","73,972.92","2,085","2,355.34",3.18
Kokrajhar,55,758,2701.79,4,129.10,"1,195","12,573.69","5,176","10,441.56","29,735","91,275.30","36,868","1,17,121.44","1,635","1,484.21",1.27
Lakhimpur,91,48,38.33,8,157.51,"2,315","18,292.26","9,129","21,808.26","40,483","1,17,364.04","51,983","1,57,660.40","2,095","1,826.00",1.16
Majuli,16,4,23.93,1,26.06,154,613.96,"1,801","5,644.26","2,555","10,596.68","4,515","16,904.89",220,150.64,0.89
Morigaon,67,6,5.55,7,202.26,665,"5,728.77","4,958","13,928.05","19,605","45,565.35","25,241","65,429.98","1,902","1,761.46",2.69
Nagaon,154,84,72.71,19,310.50,"3,157","22,040.56","11,187","25,210.88","73,569","2,14,185.13","88,016","2,61,819.78","5,333","4,488.05",1.71
Nalbari,85,9,20.32,5,142.52,"2,978","20,345.08","7,899","20,014.70","35,526","97,710.24","46,417","1,38,232.86","3,051","3,274.83",2.37
Sivasagar,101,12,11.70,14,334.63,"2,840","23,816.16","11,337","24,318.06","61,827","1,70,099.75","76,030","2,18,580.30","3,220","2,168.17",0.99
Sonitpur,132,27,27.05,26,764.44,"4,773","45,793.36","14,631","28,161.12","68,120","2,03,123.24","87,577","2,77,869.21","3,520","2,949.61",1.06
South Salmara,13,1,0.40,0,0.00,270,331.05,884,812.61,"2,481","9,386.04","3,636","10,530.10",263,293.09,2.78
Tinsukia,145,9,661.90,14,352.17,"2,490","29,406.51","12,511","26,242.82","49,723","1,45,095.41","64,747","2,01,758.81","3,562","2,660.41",1.32
Udalguri,49,43,128.81,4,51.27,"1,806","3,194.88","2,866","3,325.84","16,035","55,021.00","20,754","61,721.80","1,548","1,145.18",1.86
West Karbi Anglong,22,2,0.94,0,0.00,80,102.95,"1,177","4,030.51","3,229","12,166.07","4,488","16,300.47",213,257.69,1.58
