District,Total Branch,NRLM O/S No.,NRLM O/S Amt,NRLM Irregular A/C No.,NRLM Irregular A/C Amt,NRLM NPA No.,NRLM NPA AMT,NULM O/S No.,NULM O/S Amt,NULM NPA No.,NULM NPA AMT,PMEGP O/S No.,PMEGP O/S Amt,PMEGP NPA No.,PMEGP NPA AMT,SHG O/S No.,SHG O/S Amt,SHG NPA No.,SHG NPA AMT,SUI O/S No.,SUI O/S Amt,SUI NPA No.,SUI NPA AMT
Baksa,56,6293,12313.28,123,247.55,102,89.52,52,180.41,7,1.19,989,1597.73,700,940.30,5882,10058.78,824,376.07,8,144.60,0,0.02
Barpeta,126,9902,16542.08,225,301.16,408,227.17,976,1381.79,201,55.51,1777,3866.46,766,1406.19,11705,18442.21,1240,880.45,57,903.45,9,111.84
Biswanath,56,7618,14450.93,281,388.03,146,158.09,59,113.69,1,0.42,354,737.47,109,146.37,8229,13293.13,1529,714.41,24,253.74,5,14.51
Bongaigaon,61,5007,8816.72,170,156.99,54,41.23,88,115.01,24,12.29,631,1044.27,330,419.07,4557,8147.83,246,189.54,76,771.35,12,87.18
Cachar,162,6031,10195.41,355,360.65,191,87.05,303,499.79,23,15.39,1338,2929.08,485,690.87,6998,9487.72,929,494.29,54,945.08,5,45.26
Charaideo,36,3723,6637.37,174,175.30,72,22.54,7,8.36,0,0,185,397.20,111,219.36,4018,6674.74,191,106.38,9,136.50,0,0
Chirang,38,3847,6965.47,118,155.37,130,64.89,54,50.15,3,3.11,1250,1470.44,1081,1152.24,2858,4859.38,434,266.84,20,255.45,1,10.54
Darrang,69,6276,11243.54,160,221.49,147,132.19,336,600.05,5,5.80,762,1490.32,438,655.86,7279,11352.13,1023,815.46,35,531.60,11,119.78
Dhemaji,47,7135,14082.16,374,386.05,207,85.51,148,270.74,2,2.54,888,2263.95,416,694.87,7636,13817.84,821,354.58,10,124.39,0,0.06
Dhubri,88,7724,10819.60,582,629.99,359,142.82,258,189.59,174,104.76,1669,2541.23,943,1206.73,7551,9744.29,1121,532.32,32,588.46,0,0.05
Dibrugarh,180,7958,15666.27,344,469.89,221,104.50,497,1106.01,39,24.38,1317,3659.87,585,993.41,7983,14355.66,420,208.27,166,2549.91,18,198.61
Dima Hasao,31,962,1629.87,33,30.24,5,2.07,50,74.30,3,4.87,249,546.55,79,105.74,1156,1785.69,83,31.72,16,152.41,1,15.55
Goalpara,72,6846,12360.53,183,228.12,210,149.20,62,68.28,7,4.79,844,1121.24,538,641.69,6737,10294.75,1005,531.32,36,278.61,12,60.65
Golaghat,121,9452,20203.74,389,506.54,92,58.74,120,271.11,11,7.08,742,1841.85,379,596.75,9488,18900.18,319,176.33,53,777.11,3,8.86
Hailakandi,46,2964,4777.92,148,95.66,108,49.27,261,354.08,23,28.50,633,1569.98,315,477.75,2978,3855.92,518,243.14,9,217.60,2,21.74
Hojai,58,4599,7316.14,156,129.17,131,65.06,196,291.62,0,0,344,720.86,74,88.80,4764,7088.78,254,148.83,65,621.45,24,88.24
Jorhat,133,6424,14819.87,248,420.81,34,22.72,938,1830.99,11,5.53,649,1475.89,266,362.59,7074,15120.21,268,178.93,107,1315.44,6,27.88
Kamrup Metro,178,13382,25146.91,384,489.41,513,416.35,381,801.93,18,11.89,1505,2855.83,732,976.72,13128,21539.06,1531,1118.99,78,997.34,6,84.60
Karbi Anglong,65,5769,12398.40,144,263.80,7,10.89,26,34.18,1,1.84,431,578.23,206,159.88,6792,13061.00,337,101.61,35,547.45,5,27.35
Karimganj,91,3503,5440.22,104,92.16,123,101.20,160,216.73,40,13.82,658,1382.42,266,443.81,5005,6109.61,1137,550.91,24,479.99,5,80.81
Kokrajhar,55,4852,7348.39,180,178.72,77,39.99,60,69.75,9,9.46,1673,2094.58,1388,1597.16,4043,5689.54,481,358.31,16,346.35,3,20.18
Lakhimpur,91,9423,15926.45,401,501.65,239,103.24,129,162.98,9,6.02,1078,3208.80,575,1076.41,9720,15154.86,833,399.27,37,481.03,7,53.16
Majuli,16,1886,3658.94,79,96.14,22,14.72,0,0,0,0,152,284.35,48,65.16,2109,3369.18,168,74.67,12,101.22,1,8.89
Morigaon,67,5418,8699.67,196,332.19,479,271.01,300,356.44,59,13.66,640,1205.20,555,799.35,7566,10032.64,2120,1091.70,43,395.40,12,86.82
Nagaon,154,13410,23976.90,439,492.11,271,113.29,324,721.44,8,4.98,1405,3241.84,657,1023.45,14465,23993.30,936,612.37,91,1074.30,20,163.66
Nalbari,85,7638,15183.24,153,250.28,166,143.59,236,535.69,16,11.92,1017,2098.78,583,956.52,9309,16684.66,919,476.21,55,676.26,7,113.29
Sivasagar,101,5102,9268.16,174,201.64,88,34.22,183,297.51,7,7.53,819,2500.25,273,465.87,5497,9161.05,283,218.75,58,667.86,5,53.38
Sonitpur,132,8853,18061.16,284,350.05,306,124.58,336,592.89,6,4.45,1247,2724.81,506,796.42,9169,15441.77,1520,683.73,130,1944.23,16,146.39
South Salmara,13,868,1166.37,22,21.91,145,36.95,4,4.63,0,0,472,607.54,379,448.05,908,1282.21,177,58.08,2,71.16,0,0
Tinsukia,145,7035,14134.95,251,338.26,165,83.62,1215,2522.20,50,38.51,1049,2825.92,500,746.91,7193,13169.72,470,219.95,110,1893.36,4,24.31
Udalguri,49,5065,9445.16,149,127.76,75,106.51,47,66.20,4,3.46,1586,2616.95,1388,2205.58,4182,6425.43,773,498.63,15,310.87,2,27.81
West Karbi Anglong,22,1925,3469.49,54,71.65,0,0,50,175.93,0,0,12,32.97,7,7.51,2681,3775.88,468,116.58,6,57.35,1,11.34
