District,Total Branch,Farm Credit Crop No.,Farm Credit Crop Amt,Farm Credit Term Loan No.,Farm Credit Term Loan Amt,Agri Infra No.,Agri Infra Amt,Ancillary No.,Ancillary Amt,Agri Total O/S No.,Agri Total O/S Amt
Baksa,5 6,19024,14994.67,12910,11279.89,2,8.17,2937,1477.15,34873,27759.88
Barpeta,1 26,49299,40821.35,54108,31089.68,41,147.28,6662,7757.12,110110,79815.43
Biswanath,5 6,24358,18109.68,13919,14132.28,8,482.60,3128,3559.15,41413,36283.71
Bongaigaon,6 1,14599,13804.65,16257,12593.56,4,0.82,2727,4623.96,33587,31022.99
Cachar,1 62,48200,34399.42,27022,17111.32,38,2431.09,7669,13611.18,82929,67553.01
Charaideo,3 6,10555,7198.73,6851,7734.13,7,2.99,2551,1405.28,19964,16341.13
Chirang,3 8,16686,13681.77,6499,6651.89,16,7.45,1691,1613.65,24892,21954.76
Darrang,6 9,31130,26185.01,32632,17016.89,385,213.23,4078,4768.28,68225,48183.41
Dhemaji,4 7,23710,18805.47,16427,13375.67,4,2.14,4682,3588.21,44823,35771.49
Dhubri,8 8,29211,20188.96,17203,12319.67,50,35.78,4155,4604.53,50619,37148.94
Dibrugarh,1 80,63882,49164.34,37644,21796.74,242,2443.90,13051,25120.13,114819,98525.11
Dima Hasao,3 1,1524,770.92,1554,1766.24,0,0,275,581.76,3353,3118.92
Goalpara,7 2,27965,20820.96,13249,11744.26,16,11.39,5066,3542.83,46296,36119.44
Golaghat,1 21,49365,31548.63,38033,26607.26,97,119.36,10195,15289.99,97690,73565.24
Hailakandi,4 6,17554,10844.88,4766,4396.16,4,2.27,1971,2260.13,24295,17503.44
Hojai,5 8,20326,13137.79,9166,6519.70,62,707.40,4292,3962.47,33846,24327.36
Jorhat,1 33,40850,25286.96,35038,23446.25,352,1230.30,7842,28645.05,84082,78608.56
Kamrup Metro,1 78,65462,50739.23,61001,29657.43,35,45.80,13248,9339.53,139746,89781.99
Karbi Anglong,6 5,33046,17834.44,14197,16861.38,2,0.19,1852,683.42,49097,35379.43
Karimganj,9 1,24918,18314.43,11045,8674.96,15,28.21,4740,7470.64,40718,34488.24
Kokrajhar,5 5,24456,21881.32,10708,9029.30,7,1.12,1602,1456.48,36773,32368.22
Lakhimpur,9 1,53924,40012.26,35030,20085.73,22,24.21,10554,8010.18,99530,68132.38
Majuli,1 6,4771,2766.11,3384,3225.17,2,1.55,504,705.25,8661,6698.08
Morigaon,6 7,37276,28448.61,21480,13956.85,39,93.06,7523,6830.41,66318,49328.93
Nagaon,1 54,76008,53623.58,74219,38159.43,118,392.10,12359,13101.92,162704,105277.03
Nalbari,8 5,28552,21575.91,41879,19918.13,12,19.02,3579,5322.00,74022,46835.06
Sivasagar,1 01,23395,16251.47,38246,17708.03,76,104.17,9314,8811.87,71031,42875.54
Sonitpur,1 32,34808,31749.84,41753,28285.45,70,122.12,8346,8944.02,84977,69101.43
South Salmara,1 3,2442,1169.62,1013,1540.27,0,0,27,135.78,3482,2845.67
Tinsukia,1 45,40111,34805.21,27658,17929.92,169,1510.99,6828,22096.29,74766,76342.41
Udalguri,4 9,33191,24131.02,15109,11322.98,3,0.79,2463,1291.07,50766,36745.86
West Karbi Anglong,2 2,10636,5030.82,3920,4606.47,1,0,140,74.29,14697,9711.58
