District,Required No. of ATM calculated at 20 ATM per lakh population (a),"No. of ATM as on June 30, 2023 (as per Slbc site) (b)",Shortfall in ATM (a-b),Revised target for additional ATM required to be installed in Phase I*
Baksa,191,28,163,50
Cachar,348,221,127,127
Charaideo,95,29,66,27
Chirang,97,15,82,57
Dima Hasao,43,22,21,21
Hailakandi,132,56,76,72
Karbi Anglong,192,39,153,69
Karimganj,246,89,157,127
Nalbari,155,107,48,48
South Salmara,111,4,107,12
Tinsukia,266,231,35,35
West Karbi Anglong,61,6,55,6
