District,Total Branch,Enrolment under PMJJBY,Eligible cases under PMJJBY,Renewals under PMJJBY,Enrolment under PMSBY,Eligible cases under PMSBY,Renewals under PMSBY,Enrolment under APY,Total Enrolment No.
Baksa,57,79366,409603,43538,181617,645453,116262,27202,288185
Barpeta,127,178506,1078240,117529,524003,1629903,368520,72506,775015
Biswanath,58,79476,275901,40597,161261,446479,91407,34698,275435
Bongaigaon,61,62173,325263,38396,176952,518237,116581,24960,264085
Cachar,164,132487,797755,88952,328222,1280695,245172,49187,509896
Charaideo,37,36261,170762,10011,82687,302836,63241,19460,138408
Chirang,38,52545,303962,34678,131709,457838,92067,16685,200939
Darrang,69,109582,529268,74103,265860,878361,164656,37282,412724
Dhemaji,47,110274,305814,74702,237209,579084,179553,46745,394228
Dhubri,89,150411,810921,94684,418738,1369774,288440,59455,628604
Dibrugarh,181,165064,737211,99811,338023,1115779,229028,64350,567437
Dima Hasao,31,14115,82862,9002,35174,121929,24293,7550,56839
Goalpara,73,119093,490127,66790,296259,841655,199929,38141,453493
Golaghat,122,114088,517736,21517,240317,726621,166826,52209,406614
Hailakandi,47,50596,294693,33101,142293,507419,95660,21872,214761
Hojai,59,98720,435823,67359,221199,717483,163506,26613,346532
Jorhat,133,96360,507050,21263,219134,788661,159056,43188,358682
Kamrup Metro,180,147620,846425,84193,382789,1311414,237777,59282,589691
Karbi Anglong,67,60723,199900,38025,132830,299242,100172,38572,232125
Karimganj,92,66962,416269,48769,169070,756930,131462,29623,265655
Kokrajhar,56,86121,447612,45152,208042,760051,126870,20424,314587
Lakhimpur,92,115524,432406,91735,281880,771763,232468,47058,444462
Majuli,17,17710,91463,2631,36832,157542,24528,9605,64147
Morigaon,68,62625,416394,37906,171614,750623,125072,28783,263022
Nagaon,156,195644,813568,149735,531728,1723583,376547,76469,803841
Nalbari,85,84841,451400,43432,211701,688210,121452,25607,322149
Sivasagar,101,94514,442113,16521,177152,578714,113176,31845,303511
Sonitpur,133,181099,752581,115767,383374,1164548,248467,62606,627079
South Salmara,13,17590,146180,10391,58905,243314,43606,6381,82876
Tinsukia,145,108220,698566,56464,238221,1010984,164613,43547,389988
Udalguri,50,110957,560248,70433,224415,893010,142562,26326,361698
West Karbi Anglong,22,15566,71517,13919,38646,112784,35578,13880,68092
