District,Total Branch,Export No.,Export Amt,Education PS No.,Education PS Amt,Housing PS No.,Housing PS Amt,Social Infra No.,Social Infra Amt,Renewable No.,Renewable Amt,Other PS No.,Other PS Amt,Total Other (PS) NPA No.,Total Other (PS) NPA Amt
Baksa,57,0,0.00,10,23.65,105,458.77,0,0.00,38,8.16,1498,462.58,1651,953.16
Barpeta,122,0,0.00,40,115.83,127,453.23,0,0.00,423,197.76,16669,4677.52,17259,5444.34
Biswanath,57,0,0.00,18,34.42,46,127.06,0,0.00,0,0.00,6676,1868.02,6740,2029.50
Bongaigaon,59,0,0.00,10,18.41,49,235.27,0,0.00,98,47.84,7533,2412.91,7690,2714.43
Cachar,163,0,0.00,61,157.45,137,369.82,0,0.00,15,3.31,29132,13349.78,29345,13880.36
Charaideo,35,0,0.00,9,32.03,6,35.68,0,0.00,42,16.37,1041,318.76,1098,402.84
Chirang,35,0,0.00,11,25.79,5,12.13,0,0.00,113,35.32,2882,774.36,3011,847.60
Darrang,69,0,0.00,17,45.58,93,273.81,0,0.00,42,20.07,12995,3253.85,13147,3593.31
Dhemaji,45,0,0.00,15,45.79,30,166.59,0,0.00,16,3.71,2127,496.34,2188,712.43
Dhubri,87,0,0.00,19,68.10,60,222.50,0,0.00,222,132.36,20445,7789.55,20746,8212.51
Dibrugarh,182,0,0.00,46,128.93,129,787.75,0,0.00,13,4.28,7251,1622.01,7439,2542.97
Dima Hasao,30,0,0.00,0,0,13,26.73,0,0.00,0,0.00,5,13.69,18,40.42
Goalpara,69,0,0.00,10,34.32,48,141.45,1,0.06,423,270.28,8552,2554.62,9034,3000.73
Golaghat,120,0,0.00,23,53.44,55,224.35,0,0.00,1,0.54,6808,1449.03,6887,1727.36
Hailakandi,44,0,0.00,11,16.16,51,245.81,0,0.00,23,12.60,5501,2458.60,5586,2733.17
Hojai,57,0,0.00,15,92.47,23,161.34,0,0.00,0,0.00,6429,2336.87,6467,2590.68
Jorhat,132,0,0.00,37,120.62,106,700.76,0,0.00,0,0.00,7658,1440.00,7801,2261.38
Kamrup Metro,172,0,0.00,49,122.02,163,765.96,0,0.00,10,4.85,25394,7636.15,25616,8528.98
Karbi Anglong,64,0,0.00,21,46.14,38,125.90,0,0.00,0,0.00,702,214.31,761,386.35
Karimganj,88,0,0.00,8,30.36,60,218.47,0,0.00,7,2.45,16575,7091.23,16650,7342.51
Kokrajhar,51,0,0.00,8,21.78,18,83.87,0,0.00,15,8.79,4891,1580.91,4932,1695.35
Lakhimpur,91,0,0.00,24,47.41,81,314.27,0,0.00,77,34.00,10063,3116.36,10245,3512.04
Majuli,16,0,0.00,5,12.58,27,105.00,0,0.00,0,0.00,549,18.13,581,135.71
Morigaon,67,0,0.00,14,39.27,115,381.19,0,0.00,20,8.63,5557,1809.48,5706,2238.57
Nagaon,152,0,0.00,33,82.83,188,573.87,0,0.00,1,0.66,21077,6489.51,21299,7146.87
Nalbari,84,0,0.00,33,96.97,142,443.82,0,0.00,6,1.78,10251,2638.22,10432,3180.79
Sivasagar,97,0,0.00,18,44.30,68,396.04,0,0.00,10,4.26,5606,1418.80,5702,1863.40
Sonitpur,125,0,0.00,47,95.10,152,551.52,0,0.00,1,0.44,12695,4136.39,12895,4783.45
South Salmara,12,0,0.00,5,23.35,12,31.94,0,0.00,6,4.34,200,230.11,223,289.74
Tinsukia,148,0,0.00,30,75.27,84,346.36,1,0.00,12,3.54,6360,1505.77,6487,1930.94
Udalguri,49,0,0.00,19,60.80,24,94.73,0,0.00,1,0.27,3383,1377.87,3427,1533.67
West Karbi Anglong,22,0,0.00,1,0.70,13,33.97,0,0.00,6,0.51,3,3.65,23,38.83
