district,Total Branch,Current Year Self-Help Group No.,Current Year Self- Help Group Amount,NRLM O/S No.,NRLM O/S Amt.,NRLM Irregular A/C No.,NRLM Irregular A/C Amt.,NRLM NPA No.,NRLM NPA Amt.,NRLM NPA Amt. %
Baksa,56,"1,502","4,857.08","6,293","12,313.28",123,247.55,102,89.52,0.73
Barpeta,126,"3,341","9,491.16","9,902","16,542.08",225,301.16,408,227.17,1.37
Biswanath,56,"2,030","5,615.22","7,618","14,450.93",281,388.03,146,158.09,1.09
Bongaigaon,61,"1,225","3,766.04","5,007","8,816.72",170,156.99,54,41.23,0.47
Cachar,162,"2,339","6,734.33","6,031","10,195.41",355,360.65,191,87.05,0.85
Charaideo,36,838,"2,707.83","3,723","6,637.37",174,175.30,72,22.54,0.34
Chirang,38,"1,193","2,886.58","3,847","6,965.47",118,155.37,130,64.89,0.93
Darrang,69,"1,865","5,464.35","6,276","11,243.54",160,221.49,147,132.19,1.18
Dhemaji,47,"2,125","6,613.20","7,135","14,082.16",374,386.05,207,85.51,0.61
Dhubri,88,"2,748","6,327.47","7,724","10,819.60",582,629.99,359,142.82,1.32
Dibrugarh,180,"2,668","7,760.79","7,958","15,666.27",344,469.89,221,104.50,0.67
Dima Hasao,31,226,628.73,962,"1,629.87",33,30.24,5,2.07,0.13
Goalpara,72,"1,805","5,520.61","6,846","12,360.53",183,228.12,210,149.20,1.21
Golaghat,121,"2,811","8,923.77","9,452","20,203.74",389,506.54,92,58.74,0.29
Hailakandi,46,"1,137","2,427.05","2,964","4,777.92",148,95.66,108,49.27,1.03
Hojai,58,"1,531","4,558.48","4,599","7,316.14",156,129.17,131,65.06,0.89
Jorhat,133,"1,907","5,980.93","6,424","14,819.87",248,420.81,34,22.72,0.15
Kamrup Metro,178,"3,976","11,769.95","13,382","25,146.91",384,489.41,513,416.35,1.66
Karbi Anglong,65,"1,215","3,234.67","5,769","12,398.40",144,263.80,7,10.89,0.09
Karimganj,91,"1,115","3,147.18","3,503","5,440.22",104,92.16,123,101.20,1.86
Kokrajhar,55,"1,626","3,907.77","4,852","7,348.39",180,178.72,77,39.99,0.54
Lakhimpur,91,"2,998","8,230.49","9,423","15,926.45",401,501.65,239,103.24,0.65
Majuli,16,311,"1,086.82","1,886","3,658.94",79,96.14,22,14.72,0.40
Morigaon,67,"1,427","4,483.65","5,418","8,699.67",196,332.19,479,271.01,3.12
Nagaon,154,"3,865","12,808.87","13,410","23,976.90",439,492.11,271,113.29,0.47
Nalbari,85,"2,065","6,732.83","7,638","15,183.24",153,250.28,166,143.59,0.95
Sivasagar,101,"1,538","4,591.92","5,102","9,268.16",174,201.64,88,34.22,0.37
Sonitpur,132,"3,300","15,091.43","8,853","18,061.16",284,350.05,306,124.58,0.69
South Salmara,13,230,500.37,868,"1,166.37",22,21.91,145,36.95,3.17
Tinsukia,145,"2,575","7,772.26","7,035","14,134.95",251,338.26,165,83.62,0.59
Udalguri,49,"1,861","4,655.81","5,065","9,445.16",149,127.76,75,106.51,1.13
West Karbi Anglong,22,553,"1,401.16","1,925","3,469.49",54,71.65,0,0,0
