District,Total Branch,No. of KCC issued during quarter (Including renewal),KCC Disbursed Amount during quarter,Total O/S KCC No.,Total O/S KCC Amt,Number of rupay card Issued,KCC Card activated,No. of KCC for animal husbandary issued during quarter (Including renewal),KCC for animal husbandary Amount disbursed during quarter,AH Total no. of KCC,AH Outstanding amount,AH Number of rupay card Issued,AH Card activated,No. of KCC for Fishries issued during quarter (including renewal),KCC for Fishery Amount disbursed during quarter,Fishery Total no. of KCC,Fishery Outstanding amount,Fishery Number of rupay card Issued,Fishery Card activated
Baksa,56,"2,169","1,108.98","17,820","10,484.51","7,337","6,085",4,3.31,93,163.44,18,16,8,8.03,26,35.36,13,12
Barpeta,126,"13,423","8,314.81","68,487","43,315.37","23,903","15,117",222,156.14,605,510.86,51,50,75,33.56,190,274.52,50,46
Biswanath,56,"2,411","1,715.06","23,064","16,415.05","8,795","6,387",12,21.28,182,191.70,20,18,2,0,32,111.42,4,2
Bongaigaon,61,"2,531","2,886.57","18,280","12,055.70","7,941","6,992",10,8.25,115,66.85,18,11,5,0.63,31,56.18,3,1
Cachar,162,"4,272","2,155.89","52,212","28,222.87","12,039","8,647",21,16.63,154,135.50,18,23,48,17.27,365,419.75,74,67
Charaideo,36,"2,194","1,007.88","10,172","6,370.55","4,862","4,502",25,12.61,264,120.34,6,6,3,0,24,11.45,3,3
Chirang,38,"1,621","1,706.41","14,520","10,677.45","5,209","4,556",0,0,49,64.33,4,3,3,0,12,7.70,1,1
Darrang,69,"8,918","4,464.73","37,883","23,175.21","14,925","10,890",28,17.93,253,220.93,21,16,120,7.56,373,651.61,26,21
Dhemaji,47,"4,556","2,451.68","31,408","21,685.29","9,707","5,747",13,6.33,400,355.71,32,32,7,0.96,80,91.38,18,12
Dhubri,88,"2,912","2,528.91","31,309","19,158.28","9,899","6,338",5,1.24,200,219.84,20,20,19,0,50,50.27,1,1
Dibrugarh,180,"11,534","6,984.43","67,962","43,793.44","26,689","15,324",15,4.20,235,250.45,65,67,14,14.56,69,84.40,3,3
Dima Hasao,31,70,98.87,"1,531",579.64,198,138,20,15.65,96,61.00,56,50,0,0,22,9.64,6,6
Goalpara,72,"3,447","2,234.86","25,444","14,699.04","11,543","10,092",5,4.80,188,178.62,11,9,4,0.40,31,28.19,6,6
Golaghat,121,"8,589","4,523.51","62,913","34,444.37","19,553","8,990",21,13.13,222,133.61,13,13,21,1.60,53,33.61,4,4
Hailakandi,46,"1,622",324.27,"16,972","8,122.09","6,995","6,202",17,8.27,74,58.72,22,6,10,3.46,35,28.40,5,4
Hojai,58,"2,278","1,132.95","23,025","13,976.50","6,001","3,659",20,7.39,524,49.61,9,14,2,0,48,27.15,0,0
Jorhat,133,"5,870","2,457.76","45,780","21,701.97","17,751","7,623",32,27.88,173,133.39,33,15,21,32.76,78,61.23,7,6
Kamrup Metro,178,"13,517","7,955.44","82,453","45,775.56","28,944","19,625",89,51.18,246,228.59,43,43,24,1.50,113,233.25,20,19
Karbi Anglong,65,"2,515","1,299.94","31,224","16,334.85","3,388","2,559",19,14.08,171,139.05,4,4,17,2.24,86,79.31,5,1
Karimganj,91,759,420.78,"22,503","13,364.26","3,566","2,513",9,7.49,54,68.29,14,12,8,0.98,155,269.23,31,31
Kokrajhar,55,"2,684","3,244.40","23,529","19,141.63","10,206","9,576",0,0.03,139,141.53,1,1,23,-,135,143.17,8,8
Lakhimpur,91,"9,195","4,447.05","64,739","40,545.09","18,494","12,982",30,27.25,184,165.81,17,30,44,2.12,110,188.81,3,3
Majuli,16,821,279.61,"5,637","2,850.69","2,261","1,617",2,0.03,22,16.10,0,0,27,11.10,71,20.12,9,0
Morigaon,67,"5,970","2,977.80","40,464","24,858.87","14,035","11,171",32,24.93,416,440.08,166,151,46,8.28,380,631.11,88,88
Nagaon,154,"13,747","7,647.26","93,824","48,641.66","26,332","17,402",173,97.18,411,308.49,160,155,383,0.53,742,"1,235.28",140,134
Nalbari,85,"6,845","4,240.18","44,854","20,483.21","10,903","8,560",27,21.94,604,440.90,127,59,10,4.68,147,100.43,23,22
Sivasagar,101,"5,122","2,537.44","30,160","14,057.63","9,440","5,539",58,32.30,338,249.88,22,12,7,2.10,199,155.80,103,8
Sonitpur,132,"9,140","5,607.91","41,463","28,332.12","17,888","12,970",111,104.95,407,491.64,108,70,33,6.51,132,220.31,10,7
South Salmara,13,138,66.35,"2,058",776.15,476,448,0,0,8,10.73,0,0,0,0,17,19.95,2,0
Tinsukia,145,"7,260","3,757.76","44,379","27,940.00","13,194","9,952",73,39.93,286,366.37,80,81,12,14.88,87,112.54,3,3
Udalguri,49,"2,381","1,478.55","30,802","20,712.12","14,017","12,619",5,3.51,102,112.60,7,7,9,0,96,136.29,1,1
West Karbi Anglong,22,"1,012",353.57,"10,359","4,790.59",811,464,0,0,13,7.29,0,0,1,0.78,8,1.57,0,0
