district,Total Branch,Micro No,Micro Amt,Small No,Small Amt,Medium No,Medium Amt,KVIC No,KVIC Amt,Other MSME No,Other MSME Amt,Tot MSME (PS) NPA No.,Tot MSME (PS) NPA Amt.
Baksa,56,"4,099","2,952.33",14,16.02,0,0,543,699.14,30,22.65,"4,686","3,690.14"
Barpeta,126,"6,976","7,882.39",55,516.61,3,10.73,212,345.83,105,51.68,"7,351","8,807.24"
Biswanath,56,"2,776","1,920.89",45,130.68,3,11.20,58,81.69,55,26.99,"2,937","2,171.45"
Bongaigaon,61,"1,687","1,852.51",63,"1,815.50",2,155.20,221,296.31,37,13.48,"2,010","4,133.00"
Cachar,162,"4,956","7,865.47",73,"1,344.37",4,86.40,167,238.67,15,11.54,"5,215","9,546.45"
Charaideo,36,"1,365","1,414.96",8,261.72,0,0,64,125.63,2,0.45,"1,439","1,802.76"
Chirang,38,"2,062","1,957.75",10,33.19,0,0,704,777.18,22,12.91,"2,798","2,781.03"
Darrang,69,"3,824","4,872.97",65,814.72,2,8.02,271,409.53,125,81.96,"4,287","6,187.20"
Dhemaji,47,"2,536","2,518.25",40,717.56,0,0,120,188.88,86,42.41,"2,782","3,467.10"
Dhubri,88,"4,684","3,207.30",35,128.63,1,9.60,313,398.51,13,14.63,"5,046","3,758.67"
Dibrugarh,180,"7,686","10,109.19",257,"4,363.69",9,359.29,211,368.04,134,57.91,"8,297","15,258.12"
Dima Hasao,31,282,251.46,7,18.90,0,0,11,28.82,1,0.02,301,299.20
Goalpara,72,"3,941","3,762.60",29,346.79,0,0,273,360.68,43,55.64,"4,286","4,525.71"
Golaghat,121,"4,017","4,410.52",137,"1,032.68",4,9.68,102,168.52,226,55.98,"4,486","5,677.38"
Hailakandi,46,"1,847","1,920.84",31,404.06,0,0,194,313.34,19,14.87,"2,091","2,653.11"
Hojai,58,"2,473","1,593.95",36,183.51,0,0,10,15.15,20,6.47,"2,539","1,799.08"
Jorhat,133,"5,529","6,319.22",118,"3,463.75",5,668.84,104,142.21,225,63.29,"5,981","10,657.31"
Kamrup Metro,178,"8,350","8,684.87",132,285.57,22,285.80,472,827.04,99,43.22,"9,075","10,126.50"
Karbi Anglong,65,"1,665","1,014.33",3,10.35,0,0,98,27.31,9,3.60,"1,775","1,055.59"
Karimganj,91,"3,195","2,760.19",35,566.05,1,99.04,109,177.30,114,62.08,"3,454","3,664.66"
Kokrajhar,55,"3,048","3,092.74",10,78.18,0,0,758,884.87,6,10.54,"3,822","4,066.33"
Lakhimpur,91,"5,489","6,009.48",71,"1,237.86",6,94.58,108,176.33,277,152.34,"5,951","7,670.59"
Majuli,16,497,476.12,5,69.37,0,0,17,16.47,37,13.09,556,575.05
Morigaon,67,"2,824","3,414.86",17,222.94,1,35.20,221,338.40,54,11.03,"3,117","4,022.43"
Nagaon,154,"7,104","8,774.37",119,"1,213.50",1,32.00,313,460.26,63,23.02,"7,600","10,503.15"
Nalbari,85,"4,754","4,664.09",48,284.22,1,0.28,406,651.65,41,20.59,"5,250","5,620.83"
Sivasagar,101,"4,267","4,282.93",85,701.64,0,0,116,223.22,168,48.79,"4,636","5,256.58"
Sonitpur,132,"6,244","6,822.06",90,999.32,7,208.38,291,520.01,67,34.18,"6,699","8,583.95"
South Salmara,13,843,"1,006.35",0,0,0,0,166,283.48,1,35.70,"1,010","1,325.53"
Tinsukia,145,"4,806","6,574.42",117,"1,123.96",1,112,241,347.97,59,40.38,"5,224","8,198.73"
Udalguri,49,"4,776","5,392.01",10,82.59,0,0,534,917.82,51,33.73,"5,371","6,426.15"
West Karbi Anglong,22,582,162.40,1,0.11,0,0,0,0,0,0.00,583,162.51
