district,Total Branch,Sishu No,Sishu amt,Kishore no,Kishore Amt,Tarun No,Tarun Amt,Total MUDRA Disb No.,Total MUDRA Disb Amt.
Baksa,56,"1,784",468.08,"2,105","2,628.11",79,518.86,"3,968","3,615.05"
Barpeta,126,"13,259","3,973.99","10,866","12,968.04",349,"2,508.19","24,474","19,450.22"
Biswanath,56,"4,611","1,238.36","3,046","3,582.17",151,"1,041.19","7,808","5,861.72"
Bongaigaon,61,"6,839","1,984.50","4,013","5,044.32",199,"1,340.81","11,051","8,369.63"
Cachar,162,"25,192","6,631.60","21,203","24,292.98",552,"3,880.64","46,947","34,805.22"
Charaideo,36,"2,724",763.30,"2,066","2,576.31",92,639.31,"4,882","3,978.92"
Chirang,38,"4,256","1,205.97","2,921","3,477.73",71,494.90,"7,248","5,178.60"
Darrang,69,"7,271","2,140.80","5,606","7,042.11",280,"2,107.16","13,157","11,290.07"
Dhemaji,47,"3,582",982.64,"2,262","2,954.04",226,"1,536.17","6,070","5,472.85"
Dhubri,88,"10,394","3,076.91","7,168","8,994.18",167,"1,244.58","17,729","13,315.67"
Dibrugarh,180,"18,406","4,405.01","12,050","14,007.79",575,"3,977.33","31,031","22,390.13"
Dima Hasao,31,685,108.14,339,645.13,31,247.31,"1,055","1,000.58"
Goalpara,72,"7,152","2,110.15","5,027","6,217.14",119,841.07,"12,298","9,168.36"
Golaghat,121,"12,543","3,452.87","10,776","12,252.95",336,"2,184.76","23,655","17,890.58"
Hailakandi,46,"4,928","1,536.63","3,712","4,251.39",125,875.92,"8,765","6,663.94"
Hojai,58,"4,782","1,325.15","5,016","6,209.63",291,"2,017.64","10,089","9,552.42"
Jorhat,133,"13,882","3,670.04","8,710","12,851.21",357,"2,355.22","22,949","18,876.47"
Kamrup Metro,178,"17,847","5,751.72","16,946","19,894.37",453,"3,015.26","35,246","28,661.35"
Karbi Anglong,65,"2,394",692.92,"1,781","2,691.14",82,625.00,"4,257","4,009.06"
Karimganj,91,"11,758","3,812.77","8,881","9,302.61",220,"1,557.88","20,859","14,673.26"
Kokrajhar,55,"9,652","3,126.71","4,577","5,107.26",154,965.52,"14,383","9,199.49"
Lakhimpur,91,"8,871","2,435.66","5,605","6,681.05",343,"2,331.87","14,819","11,448.58"
Majuli,16,414,141.48,93,179.54,23,170.53,530,491.55
Morigaon,67,"4,476","1,383.29","4,751","6,459.22",245,"1,693.05","9,472","9,535.56"
Nagaon,154,"13,635","3,966.28","12,900","16,282.52",498,"3,562.93","27,033","23,811.73"
Nalbari,85,"6,164","1,966.05","5,074","6,276.00",158,"1,170.63","11,396","9,412.68"
Sivasagar,101,"9,120","2,514.31","7,845","9,554.76",414,"2,508.96","17,379","14,578.03"
Sonitpur,132,"13,963","4,050.76","11,526","14,269.83",455,"3,204.95","25,944","21,525.54"
South Salmara,13,19,6.48,70,173.77,6,41.00,95,221.25
Tinsukia,145,"9,933","2,622.85","7,967","10,836.89",649,"4,676.15","18,549","18,135.89"
Udalguri,49,"3,636","1,170.51","1,998","2,560.00",75,580.76,"5,709","4,311.27"
West Karbi Anglong,22,186,29.77,74,172.72,14,108.32,274,310.81
