District,Total Branch,BHIM/UPI A/C,BHIM/UPI Amt,BHIM Aadhaar A/C,BHIM Aadhaar Amt,Bharat QR Code A/C,Bharat QR Code Amt,IMPS A/C,IMPS Amt,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt,USSD A/C,USSD Amt
Baksa,56,1458461,44140.96,8577535,113987.50,2534,610.94,160618,39562.10,172715,7863.90,101226,2216.39
Barpeta,126,11920081,426900.37,23216769,397352.51,7428,1744.73,817764,1749680.50,505575,109108.39,268967,6208.56
Biswanath,56,3072450,76964.49,6895127,89775.98,2735,741.70,373380,491169.96,277951,110771.42,101754,2231.89
Bongaigaon,61,4504639,143163.34,8525402,143716.77,6081,1155.39,286353,1096594.58,334254,61476.70,183086,4255.03
Cachar,162,12144736,302664.43,19701419,288043.47,9402,2729.95,1022616,891978.60,1041219,57327.59,371369,8555.62
Charaideo,36,2097819,39952.72,4614795,58977.42,1152,497.71,199155,208999.31,191872,7114.72,70420,1599.91
Chirang,38,1164343,56665.76,5666331,85852.62,1774,393.84,151358,242034.28,106246,5599.60,144553,3123.93
Darrang,69,6421292,209189.94,9650013,148221.22,5293,1242.65,410537,1342747.31,319094,41987.08,113123,2668.26
Dhemaji,47,3559835,90510.73,11565469,146125.80,2861,781.18,292461,681083.34,186458,57127.04,104732,2462.44
Dhubri,88,6879391,235424.43,15414739,278650.76,4020,801.51,689535,1083179.00,396016,77675.07,118365,3641.74
Dibrugarh,180,11274567,423965.75,21461879,279809.18,14798,3047.43,945448,985797.41,1299907,170245.16,675455,13673.97
Dima Hasao,31,843877,110066.44,3805101,64060.30,1188,241.24,44409,227205.16,89176,28419.18,46316,1334.69
Goalpara,72,4560164,233409.15,9007179,172449.53,4177,1685.17,381190,683218.30,268592,84070.89,89027,2449.62
Golaghat,121,8772167,188591.18,13701290,173085.26,4684,1482.48,722541,447551.87,704670,83398.92,266169,5983.70
Hailakandi,46,4451645,103404.08,6908592,88778.18,1472,336.90,249475,172712.24,201734,45801.21,48638,1272.67
Hojai,58,7900152,195461.39,12134889,186214.16,7564,2209.22,585101,619937.99,432064,58779.06,81362,2138.01
Jorhat,133,9748011,427812.67,14915936,184058.60,9864,2356.56,658707,609205.18,993387,67239.54,574125,11400.99
Kamrup Metro,178,11938677,379664.77,17340557,264896.35,10276,2174.92,757073,1644567.08,869114,145928.54,353249,8083.69
Karbi Anglong,65,1699102,53778.57,9813015,139860.97,1867,514.10,126273,232178.35,165754,102496.46,131545,3275.88
Karimganj,91,9419866,264756.15,11693123,193545.94,4678,1053.68,687503,810413.31,541946,95138.62,104300,2878.41
Kokrajhar,55,1832798,86031.96,8995838,134648.87,3148,608.09,221608,863749.68,178450,40091.74,163383,4114.81
Lakhimpur,91,6500993,149433.52,16317254,211643.58,3800,968.47,639240,639014.03,409014,64903.66,150452,3471.81
Majuli,16,1304833,24714.35,1968853,20839.03,1074,203.60,105699,137129.30,161575,6577.00,17503,391.54
Morigaon,67,8694892,221547.45,5556064,91360.35,3861,1436.82,598057,276295.35,482278,102160.21,81257,1891.68
Nagaon,154,12539400,332961.15,19786989,326687.93,7109,2031.94,1033659,878419.50,794846,143423.50,308764,7579.91
Nalbari,85,3805294,104870.35,9130038,136631.30,3163,1283.14,288573,420505.17,304239,96640.58,192469,4029.68
Sivasagar,101,6666010,126597.97,12941605,167847.71,5587,1684.81,511699,274369.12,669567,61038.67,432409,9284.38
Sonitpur,132,7994090,208860.39,23330916,306991.02,9474,2174.32,707106,1076768.42,724119,177901.87,635507,11835.03
South Salmara,13,128476,34753.34,2089006,53495.77,1471,242.63,40271,380857.76,11945,699.24,7991,296.41
Tinsukia,145,11113264,247946.71,9987799,140709.99,9884,2460.56,831872,969807.95,877691,99407.20,233257,4735.40
Udalguri,49,1159181,54857.65,9937402,122674.04,2299,423.54,162104,394777.28,115621,78544.13,94682,2030.68
West Karbi Anglong,22,495269,7319.07,3629946,45872.22,0,0,26700,1325.72,18407,732.45,24542,617.26
