district,Total Branch,Sanctioned No,of which girl student Sanctioned No,Sanctioned Amt,of which girl student Sanctioned Amt,Disb. Number,of which girl student Disb No,Disb. Amt,of which girl student Disb Amt,OS No,of which girl student OS No,OS amt,of which girl student OS Amt
Baksa,56,14,5,71.41,19.86,27,11,37.40,12.63,112,54,298.34,152.93
Barpeta,126,33,13,89.96,25.36,66,35,76.92,35.78,461,176,"1,525.79",541.08
Biswanath,56,19,10,49.24,26.02,26,14,28.86,12.51,157,73,475.06,237.13
Bongaigaon,61,22,12,172.49,119.59,35,20,83.34,60.85,154,57,686.37,290.77
Cachar,162,145,43,307.00,133.67,117,32,127.14,61.27,"1,173",240,"3,213.54",684.84
Charaideo,36,11,5,102.10,51.90,11,5,12.64,7.19,75,30,266.58,130.29
Chirang,38,9,3,15.24,4.53,5,1,13.97,0.32,60,13,232.91,27.90
Darrang,69,58,21,143.26,29.62,59,23,72.35,22.74,389,169,"1,199.43",533.67
Dhemaji,47,29,14,46.34,23.37,44,21,42.89,22.19,167,73,489.26,223.69
Dhubri,88,21,11,37.56,21.37,40,13,49.71,21.61,185,48,667.36,182.30
Dibrugarh,180,87,43,351.17,218.03,111,69,189.61,113.06,902,398,"3,323.96","1,491.84"
Dima Hasao,31,4,3,4.87,4.27,5,2,7.20,1.57,35,16,100.93,35.34
Goalpara,72,22,9,157.27,61.66,27,12,65.10,37.73,153,60,636.48,234.47
Golaghat,121,53,21,180.78,67.72,68,35,113.14,60.24,389,169,"1,386.27",616.89
Hailakandi,46,13,5,31.54,17.94,13,4,14.41,6.57,84,24,236.54,83.83
Hojai,58,15,8,48.66,31.43,27,15,34.98,20.69,154,51,548.61,160.19
Jorhat,133,105,54,475.52,241.30,150,84,245.49,140.50,896,416,"3,509.17","1,620.26"
Kamrup,178,237,89,833.05,469.85,416,131,518.30,213.17,"1,482",474,"4,888.92","1,687.15"
Kamrup Metro,432,507,231,"5,131.61","2,628.69",558,262,"1,807.47","1,034.31","3,829","1,542","19,546.72","8,153.45"
Karbi Anglong,65,12,3,37.75,15.07,24,11,32.51,14.31,122,47,295.74,123.01
Karimganj,91,26,14,141.95,86.12,33,18,85.25,59.37,132,42,423.33,133.06
Kokrajhar,55,22,11,51.02,19.96,31,17,49.24,21.32,128,44,359.52,107.21
Lakhimpur,91,40,18,238.85,58.70,79,34,103.34,42.27,351,143,"1,077.59",408.29
Majuli,16,3,0,10.36,0,5,1,5.24,0.42,31,4,61.14,7.17
Morigaon,67,19,12,64.28,52.81,39,21,46.37,28.51,148,58,452.15,148.73
Nagaon,154,40,16,177.40,61.79,69,25,133.14,54.78,370,129,"1,327.33",478.65
Nalbari,85,37,16,102.77,34.04,74,38,64.21,34.99,388,139,"1,373.89",544.81
Sivasagar,101,40,26,182.87,115.82,64,32,109.46,63.01,324,150,"1,150.03",457.95
Sonitpur,132,86,42,351.55,122.58,143,70,224.59,80.85,648,250,"2,539.10",910.10
South Salmara,13,4,0,5.39,0,5,0,7.38,0,15,2,50.84,6.82
Tinsukia,145,72,31,425.54,201.60,98,47,304.24,149.62,565,216,"2,194.33",826.22
Udalguri,49,50,35,83.76,57.81,84,54,87.08,56.03,315,211,876.77,562.71
West Karbi Anglong,22,0,0,0,0,2,0,2.30,0,16,5,64.48,18.70
