District,Total Branch,Agri NPS No.,Agri NPS Amt,Education NPS No.,Education NPS Amt,Housing NPS No.,Housing NPS Amt,Personal Loan No.,Personal Loan Amt,Other NPS No.,Other NPS Amt,Tot Non Prio Sec NPA No.,Tot Non Prio Sec NPA Amt
Baksa,56,0,0.00,0,0.00,3,41.47,345,316.65,834,736.74,1182,1094.86
Barpeta,126,0,0.00,0,0.00,11,55.84,622,497.32,3621,3177.63,4254,3730.79
Biswanath,56,0,0.00,0,0.00,5,11.18,191,113.35,1008,699.02,1204,823.55
Bongaigaon,61,5,0.82,0,0.00,6,79.45,215,227.47,1777,1365.24,2003,1672.98
Cachar,162,9,270.06,0,0.00,13,98.7,325,387.57,4245,4208.80,4592,4965.13
Charaideo,36,0,0.00,0,0.00,7,114.25,60,67.23,582,266.26,649,447.74
Chirang,38,3,9.09,0,0.00,1,4,83,61.73,916,514.32,1003,589.14
Darrang,69,5,4.10,0,0.00,9,221.24,375,244.22,1955,1642.76,2344,2112.32
Dhemaji,47,1,0.92,0,0.00,4,38.04,138,187.54,737,945.90,880,1172.40
Dhubri,88,25,55.99,0,0.00,5,17.08,495,458.34,3168,2936.01,3693,3467.42
Dibrugarh,180,2,2.13,1,19.67,27,412.7,622,728.55,4851,2601.69,5503,3764.74
Dima Hasao,31,0,0.00,1,2.80,8,55,60,161.40,294,182.17,363,401.37
Goalpara,72,5,6.16,0,0.00,1,19.2,211,168.09,1453,1413.02,1670,1606.47
Golaghat,121,9,2.38,0,0.00,9,96.62,281,219.05,1933,1216.30,2232,1534.35
Hailakandi,46,319,131.82,0,0.00,2,27.45,109,135.89,1100,617.15,1530,912.31
Hojai,58,13,9.42,0,0.00,6,62.97,135,93.40,1542,1049.38,1696,1215.17
Jorhat,133,2,1.25,1,36.11,15,261.95,574,465.71,3511,3476.83,4103,4241.85
Kamrup Metro,178,5,13.48,0,0.00,17,232.85,715,956.21,4302,6190.14,5039,7392.68
Karbi Anglong,65,1,1.07,0,0.00,7,36.56,132,244.51,802,884.17,942,1166.31
Karimganj,91,0,0.00,0,0.00,5,80.37,152,204.13,1928,2070.84,2085,2355.34
Kokrajhar,55,6,16.25,0,0.00,3,59.66,233,155.87,1393,1252.43,1635,1484.21
Lakhimpur,91,1,1.37,0,0.00,9,35.91,300,339.74,1785,1448.98,2095,1826.00
Majuli,16,0,0.00,0,0.00,1,4,86,34.41,133,112.23,220,150.64
Morigaon,67,0,0.00,0,0.00,4,40.12,387,694.78,1511,1026.56,1902,1761.46
Nagaon,154,7,4.79,1,1.66,12,86.51,579,822.39,4734,3572.70,5333,4488.05
Nalbari,85,1,14.74,0,0.00,19,186.47,567,787.38,2464,2286.24,3051,3274.83
Sivasagar,101,1,0.40,0,0.00,12,123.87,313,327.69,2894,1716.21,3220,2168.17
Sonitpur,132,3,2.12,0,0.00,16,96.5,520,454.94,2981,2396.05,3520,2949.61
South Salmara,13,0,0.00,0,0.00,0,0,76,76.78,187,216.31,263,293.09
Tinsukia,145,0,0.00,0,0.00,14,222.23,372,413.07,3176,2025.11,3562,2660.41
Udalguri,49,1,0.59,0,0.00,2,5.27,160,145.81,1385,993.51,1548,1145.18
West Karbi Anglong,22,0,0.00,0,0.00,0,0,32,84.10,181,173.59,213,257.69
