district,Total Branch,Inactive CSPs,RuPay card active in PMJDY,First time active RuPay card,Aadhaar Authenticated SB accounts,RuPay card issued in KCC
Baksa,56,19,"1,73,032","1,03,471","1,39,917","9,084"
Barpeta,126,29,"4,06,856","2,45,476","6,36,872","25,038"
Biswanath,56,2,"91,472","74,579","82,153","10,192"
Bongaigaon,61,18,"1,25,520","77,116","1,36,288","8,355"
Cachar,162,252,"2,72,219","1,41,703","2,80,284","14,399"
Charaideo,36,1,"56,827","20,259","41,193","4,911"
Chirang,38,0,"1,21,358","74,799","1,10,810","9,210"
Darrang,69,23,"1,58,696","98,211","2,03,459","16,361"
Dhemaji,47,14,"1,34,997","1,31,710","98,062","9,413"
Dhubri,88,25,"2,33,586","1,85,229","3,43,120","14,161"
Dibrugarh,180,100,"2,58,512","1,66,566","2,54,281","28,742"
Dima Hasao,31,20,"29,889","7,971","19,416",207
Goalpara,72,16,"1,67,281","89,114","2,09,475","15,265"
Golaghat,121,25,"1,53,685","1,30,788","1,64,785","22,572"
Hailakandi,46,8,"1,11,745","67,007","1,92,927","7,934"
Hojai,58,12,"1,67,477","1,06,560","1,96,495","6,729"
Jorhat,133,90,"1,42,815","83,630","2,05,912","20,092"
Kamrup,178,33,"3,61,095","1,67,516","3,25,772","36,829"
Kamrup Metro,432,"3,562","3,61,050","1,41,366","6,27,765","6,220"
Karbi Anglong,65,8,"61,172","35,379","49,800","5,271"
Karimganj,91,11,"1,33,472","1,06,964","1,44,856","5,681"
Kokrajhar,55,18,"1,28,949","94,681","2,12,787","11,086"
Lakhimpur,91,10,"1,83,413","1,64,409","1,55,612","16,629"
Majuli,16,2,"19,436","11,379","25,243","2,958"
Morigaon,67,35,"1,44,269","51,188","1,56,462","13,975"
Nagaon,154,608,"3,04,606","2,03,860","4,77,999","29,740"
Nalbari,85,6,"1,20,901","68,863","1,85,731","14,685"
Sivasagar,101,106,"1,07,008","65,724","1,38,482","10,031"
Sonitpur,132,189,"2,17,422","1,40,732","3,14,887","19,401"
South Salmara,13,0,"38,732","36,836","57,480","1,179"
Tinsukia,145,128,"2,14,850","71,873","3,21,149","17,147"
Udalguri,49,3,"1,65,178","1,11,061","1,59,961","16,038"
West Karbi Anglong,22,5,"19,832","16,085","32,007",802
