District,Total Branch,Christians No.,Christians Amt,Muslims No.,Muslims Amt,Buddhist S No.,Buddhist S Amt,Sikhs No.,Sikhs Amt,Zorastrian S No.,Zorastrians Amt,Jains No.,Jains Amt,Tot Minority Disb No.,Tot Minority Disb Amt
Baksa,56,66,35.29,"1,425","1,133.25",1,0,3,0,0,0,0,0,"1,495","1,168.54"
Barpeta,126,76,94.08,"36,599","21,846.97",10,9.05,4,3.90,0,0,6,87.61,"36,695","22,041.61"
Biswanath,56,101,80.22,"2,683","1,696.98",8,6.45,7,2.11,0,0,1,0,"2,800","1,785.76"
Bongaigaon,61,171,248.19,"9,551","8,408.69",34,41.09,4,0.50,16,6.84,12,29.15,"9,788","8,734.46"
Cachar,162,968,620.01,"23,533","15,593.88",17,20.27,36,12.45,0,0,5,9.78,"24,559","16,256.39"
Charaideo,36,50,27.67,610,557.46,43,13.56,13,29.73,2,0,0,0,718,628.42
Chirang,38,366,206.92,"2,379","2,036.42",2,0.85,4,0.10,0,0,0,0,"2,751","2,244.29"
Darrang,69,135,85.16,"16,824","10,863.58",4,0.35,2,0,0,0,8,126.77,"16,973","11,075.86"
Dhemaji,47,40,25.17,219,218.73,14,31.6,10,21.6,0,0,1,2,284,299.10
Dhubri,88,98,62.60,"25,910","12,473.77",5,1.75,11,6,0,0,11,108.00,"26,035","12,652.12"
Dibrugarh,180,486,260.68,"3,958","4,826.38",85,91.97,111,79.51,4,5001.33,26,135.88,"4,670","10,395.75"
Dima Hasao,31,"1,971","1,028.53",174,139.49,7,0,2,0,0,0,0,0,"2,154","1,168.02"
Goalpara,72,808,416.96,"13,149","9,150.08",5,7.3,10,3.90,0,0,5,49.71,"13,977","9,627.95"
Golaghat,121,483,225.53,"4,184","2,825.88",185,105.16,28,44.64,3,0.79,13,216.52,"4,896","3,418.52"
Hailakandi,46,65,40.80,"9,586","4,376.92",1,0,5,0,0,0,2,8.9,"9,659","4,426.62"
Hojai,58,97,84.02,"9,304","4,559.62",10,18.65,20,61.73,0,0,2,10.30,"9,433","4,734.32"
Jorhat,133,344,231.35,"2,820","3,648.47",141,108.91,45,370.01,1,0,23,622.56,"3,374","4,981.30"
Kamrup Metro,178,264,271.53,"21,877","13,270.32",44,61.3,18,25.26,0,0,21,337.92,"22,224","13,966.33"
Karbi Anglong,65,"1,126",802.43,704,448.47,42,11.75,8,9.50,0,0,3,102.85,"1,883","1,375.00"
Karimganj,91,138,102.00,"7,794","7,280.25",1,0,9,2.06,1,0,3,8.18,"7,946","7,392.49"
Kokrajhar,55,"1,502","1,519.98","5,047","3,816.15",4,0,9,1.90,0,0,1,34.76,"6,563","5,372.79"
Lakhimpur,91,374,223.25,"8,565","5,144.79",27,0.6,17,4.53,14,8.57,4,5.98,"9,001","5,387.72"
Majuli,16,1,1.83,21,17.90,1,0,0,0,0,0,0,0,23,19.73
Morigaon,67,39,28.80,"7,058","5,356.94",4,2.7,5,11.00,1,0.15,1,4.95,"7,108","5,404.54"
Nagaon,154,212,173.54,"44,970","21,818.07",16,11.28,88,105.54,3,1.55,7,87.33,"45,296","22,197.31"
Nalbari,85,30,2.28,"8,264","7,451.65",7,7.61,13,0.70,0,0,7,336.82,"8,321","7,799.06"
Sivasagar,101,142,121.76,"8,324","7,131.09",95,200.4,10,28.91,2,0,13,12.94,"8,586","7,495.10"
Sonitpur,132,621,535.45,"8,729","8,141.56",223,119.66,91,86.60,0,0,11,18.69,"9,675","8,901.96"
South Salmara,13,7,7.51,"2,446","1,188.82",1,0,1,0,0,0,0,0,"2,455","1,196.33"
Tinsukia,145,570,279.67,"1,612","1,812.86",135,894.41,62,80.29,0,0,16,167.16,"2,395","3,234.39"
Udalguri,49,"2,691",736.86,"3,460","1,587.25",1,0.15,0,0,1,0.24,1,2.00,"6,154","2,326.50"
West Karbi Anglong,22,137,186.56,34,5.00,1,0,4,0.61,0,0,0,0,176,192.17
