District,Total Branch,Agri (PS) Target No.,Agri (PS) Target Amt,Agri (PS) Achieved No.,Agri (PS) Achieved Amt,Agri(PS) Achv% Amt,Crop Loan Target No.,Crop Loan Target Amt,Crop Loan Achieved No.,Crop Loan Achieved Amt,Crop Loan Achv% Amt,Msme (PS) Target No.,Msme (PS) Target Amt,Msme (PS) Achieved No.,Msme (PS) Achieved Amt,Msme (PS) Achv% Amt,Other PS Target No.,Other PS Target Amt,Other PS Achieved No.,Other PS Achieved Amt,Other PS Achv% Amt,Total (PS) Target No.,Total (PS) Target Amt,Total (PS) Achieved No.,Total (PS) Achieved Amt,Total(PS) Achv% Amt
Baksa,56,99306,42936.60,5704,6338.07,14.76,35153,26998.00,3867,3027.56,11.21,5520,5264.00,1053,7732.08,146.89,12189,14999.00,1225,691.31,4.61,117015,63199.60,7982,14761.46,23.36
Barpeta,126,84350,119503.37,21856,25502.43,21.34,66594,77545.01,9305,11135.98,14.36,9320,36746.62,3898,39266.34,106.86,5136,25708.93,7369,3974.77,15.46,98806,181958.92,33123,68743.54,37.78
Biswanath,56,14457,29293.00,7264,8875.49,30.30,9850,17945.00,4310,3319.11,18.50,5173,12787.00,1544,11100.77,86.81,3179,8278.97,1064,559.83,6.76,22809,50358.97,9872,20536.09,40.78
Bongaigaon,61,45626,69384.56,8418,11572.77,16.68,30800,46475.58,3697,5734.33,12.34,8141,35558.90,2196,27488.48,77.30,4085,16529.16,3549,2130.14,12.89,57852,121472.62,14163,41191.39,33.91
Cachar,162,51906,44795.04,11721,17136.99,38.26,27556,26529.00,3384,4945.03,18.64,14764,71519.94,6474,65797.85,92.00,4535,16451.51,15091,8772.27,53.32,71205,132766.49,33286,91707.11,69.07
Charaideo,36,28965,44327.76,5734,6284.57,14.18,19084,20271.75,4313,3138.74,15.48,1769,8952.00,1008,5769.43,64.45,1486,5643.92,485,258.38,4.58,32220,58923.68,7227,12312.38,20.90
Chirang,38,34976,39204.62,4208,5119.05,13.06,22902,27892.04,2414,2800.02,10.04,1369,4936.00,892,6801.04,137.78,1840,3802.52,1363,637.65,16.77,38185,47943.14,6463,12557.74,26.19
Darrang,69,51710,43926.95,15225,13307.29,30.29,32416,21732.58,6028,5839.45,26.87,11010,28790.17,2359,21628.35,75.12,2749,8482.52,3144,1660.43,19.57,65469,81199.64,20728,36596.07,45.07
Dhemaji,47,37924,46975.18,10136,10697.10,22.77,29375,33357.10,5261,5127.61,15.37,2860,20524.00,2101,10261.87,50.00,1680,6551.10,2001,1041.21,15.89,42464,74050.28,14238,22000.18,29.71
Dhubri,88,72811,74341.11,8678,12006.03,16.15,20620,15816.53,4636,6167.34,38.99,5302,21951.07,2298,24044.15,109.54,5450,12590.97,4694,2079.78,16.52,83563,108883.15,15670,38129.96,35.02
Dibrugarh,180,38806,69030.83,22379,34401.73,49.84,23302,33557.76,10142,9217.54,27.47,9860,53476.67,6886,95940.50,179.41,3070,20369.55,7425,4582.20,22.50,51736,142877.05,36690,134924.43,94.43
Dima Hasao,31,25055,37334.69,557,1002.11,2.68,4087,5950.66,124,129.73,2.18,2063,6256.80,851,2161.93,34.55,1100,2481.37,133,92.05,3.71,28218,46072.86,1541,3256.09,7.07
Goalpara,72,67655,68386.06,8517,9107.86,13.32,49951,47506.87,5592,4884.13,10.28,4600,14883.99,1896,13778.71,92.57,5355,12892.80,4347,1852.13,14.37,77610,96162.85,14760,24738.70,25.73
Golaghat,121,33212,43337.84,20494,24174.81,55.78,18383,21128.00,9789,7317.87,34.64,8378,34121.10,3230,23137.15,67.81,3943,13032.80,6885,3973.23,30.49,45533,90491.74,30609,51285.19,56.67
Hailakandi,46,14854,16029.76,3340,3658.78,22.82,10800,10359.37,1475,1314.49,12.69,4499,15951.20,1595,12899.76,80.87,2494,6452.60,2846,1579.77,24.48,21847,38433.56,7781,18138.31,47.19
Hojai,58,20342,23461.32,6498,7715.82,32.89,16150,18168.00,2903,4067.44,22.39,1953,7384.00,2416,19759.38,267.60,2832,6713.26,2151,1171.89,17.46,25127,37558.58,11065,28647.09,76.27
Jorhat,133,62758,109083.23,13540,33707.53,30.90,38643,71085.78,5687,4346.88,6.11,2346,33169.80,3623,70814.73,213.49,5095,13275.48,5093,3699.64,27.87,70199,155528.51,22256,108221.90,69.58
Kamrup Metro,178,37967,73328.25,29594,25344.65,34.56,21720,45355.11,11590,11238.66,24.78,13351,59399.55,4072,45124.26,75.97,5110,13111.72,10238,6780.93,51.72,56428,145839.52,43904,77249.84,52.97
Karbi Anglong,65,73723,79540.65,7779,7336.00,9.22,53983,53769.23,4018,2225.46,4.14,1615,9286.40,1970,6831.20,73.56,5663,19168.37,1527,993.38,5.18,81001,107995.42,11276,15160.58,14.04
Karimganj,91,16033,14399.15,4211,6125.77,42.54,10047,9704.92,1533,2554.94,26.33,6859,31029.43,2416,17789.18,57.33,2985,6895.14,7918,4318.99,62.64,25877,52323.72,14545,28233.94,53.96
Kokrajhar,55,19118,20738.00,8631,10740.62,51.79,9904,8854.00,4835,6875.78,77.66,4363,19147.00,1530,10675.50,55.76,4253,11594.00,4604,2154.21,18.58,27734,51479.00,14765,23570.33,45.79
Lakhimpur,91,57555,65326.19,16673,15416.74,23.60,42485,46194.76,9488,7110.30,15.39,4909,30792.00,3558,28597.69,92.87,4274,12060.21,5522,3494.74,28.98,66738,108178.40,25753,47509.17,43.92
Majuli,16,18712,31186.92,2414,2295.82,7.36,16178,25447.76,1460,1376.36,5.41,290,1779.10,155,1040.66,58.49,947,3356.46,1156,796.15,23.72,19949,36322.48,3725,4132.63,11.38
Morigaon,67,67800,53453.61,12552,11028.61,20.63,50419,26365.53,7963,7063.07,26.79,6152,32970.09,1134,13337.81,40.45,18030,21598.53,2026,1526.36,7.07,91982,108022.23,15712,25892.78,23.97
Nagaon,154,108585,109913.50,25778,25955.39,23.61,69757,68708.95,11272,10676.89,15.54,16495,52216.89,4332,49238.93,94.30,21630,15755.01,6480,4644.87,29.48,146710,177885.40,36590,79839.19,44.88
Nalbari,85,15204,29626.00,13162,14477.22,48.87,10525,13895.00,4765,5810.33,41.82,9846,31487.00,2250,19906.35,63.22,2470,14057.00,3634,2712.34,19.30,27520,75170.00,19046,37095.91,49.35
Sivasagar,101,38603,47521.71,15308,13825.50,29.09,25375,26979.99,5542,4721.93,17.50,6162,38808.00,3468,43214.23,111.35,2612,9240.06,3013,2824.31,30.57,47377,95569.77,21789,59864.04,62.64
Sonitpur,132,29409,34456.29,19480,20791.66,60.34,19720,18051.67,6663,7649.81,42.38,15204,56899.68,4210,54149.34,95.17,5069,19730.50,8313,7772.72,39.39,49682,111086.47,32003,82713.72,74.46
South Salmara,13,4064,16988.75,579,693.32,4.08,621,11528.82,349,261.14,2.27,1784,2710.00,176,1438.88,53.10,2217,5793.14,60,333.25,5.75,8065,25491.89,815,2465.45,9.67
Tinsukia,145,39490,41553.59,15098,30127.23,72.50,33090,25287.70,6878,6327.83,25.02,13270,89320.00,5929,85986.65,96.27,8821,18925.20,5711,5676.77,30.00,61581,149798.79,26738,121790.65,81.30
Udalguri,49,49746,54059.00,6495,5904.94,10.92,35476,36176.00,4079,2799.88,7.74,915,14554.00,723,3984.68,27.38,4468,10436.00,1910,1435.43,13.75,55129,79049.00,9128,11325.05,14.33
West Karbi Anglong,22,39220,41986.70,2709,2785.15,6.63,28204,29296.69,1964,1130.59,3.86,149,270.55,194,489.72,181.01,5101,9285.41,4,13.58,0.15,44470,51542.66,2907,3288.45,6.38
