District,Total Branch,Small and Marginal Farmers No.,Small and Marginal Farmers Amt,Scheduled Castes No.,Scheduled Castes Amt,Scheduled Tribes No.,Scheduled Tribes Amt,DRI scheme No.,DRI scheme Amt,Self Help Groups No.,Self Help Groups Amt,women beneficiaries No.,women beneficiaries Amt,Minority communities No.,Minority communities Amt,PMJDY No.,PMJDY Amt,Others No.,Others Amt,Tot Weaker Sec O/S No.,Tot Weaker Sec O/S Amt
Baksa,56,19521,14400.80,2300,2231.68,8392,9436.15,14,1.18,7537,11684.07,9871,2876.97,2220,3371.16,270,2.61,6790,3335.45,56915,47340.07
Barpeta,126,60417,47181.03,10365,5873.81,4150,3304.94,123,14.21,27530,18177.76,62449,16718.93,39200,47520.72,1028,9078.42,11903,7256.37,217165,155126.19
Biswanath,56,23280,17555.62,5099,3937.45,6208,4091.33,13,1.47,8985,13770.24,19364,5699.02,3629,3821.23,111,0.33,8869,4814.75,75558,53691.44
Bongaigaon,61,21235,19847.45,5521,4048.09,2629,4079.14,29,5.15,8670,7584.49,22255,7352.77,9866,12760.01,937,7.55,5038,5649.09,76180,61333.74
Cachar,162,64469,36476.38,35683,18841.03,7145,5614.08,15,1.08,10726,8756.16,103613,30465.22,33730,42349.13,1957,15.21,12979,13775.81,270317,156294.10
Charaideo,36,13490,9067.06,1403,1168.35,1030,830.12,6,0.36,3273,5646.75,10309,2863.26,734,1406.71,123,0.10,2120,2065.25,32488,23047.96
Chirang,38,15662,12896.55,2264,1518.14,7364,8934.47,1,0.10,3625,6383.44,12049,3840.06,3848,3817.71,12,0.27,3756,3012.85,48581,40403.59
Darrang,69,40377,30594.17,2946,2170.16,1751,1645.38,11,0.86,15446,12980.34,36235,9558.61,19370,26416.61,851,2.07,7414,4056.63,124401,87424.83
Dhemaji,47,28935,24043.29,4064,3379.66,13249,15492.33,2,0.07,12824,13262.33,14108,4522.72,204,392.91,155,0.61,9888,6570.79,83429,67664.71
Dhubri,88,35810,22534.32,6594,3716.51,2465,1726.30,19,1.41,9338,9424.48,49508,12924.04,24123,27938.96,663,1.47,8275,7493.31,136795,85760.80
Dibrugarh,180,64580,46434.56,11584,9217.95,12104,11960.19,174,16.28,16538,14649.02,61644,18779.31,3701,11977.90,611,3.31,16841,14743.85,187777,127782.37
Dima Hasao,31,2346,2849.34,592,415.65,2424,5434.81,17,1.31,1325,1986.77,1951,1030.59,1179,2329.74,161,2.44,852,1017.27,10847,15067.92
Goalpara,72,29910,18694.10,3584,2480.27,10248,6285.99,11,1.16,10464,12337.37,29695,10104.35,15904,21924.31,283,1.93,8694,4656.69,108793,76486.17
Golaghat,121,62123,39382.74,12146,7689.94,12663,9061.13,22,2.90,16308,16851.76,55662,15081.07,6543,6529.95,1049,1143.14,13042,8428.84,179558,104171.47
Hailakandi,46,19731,10611.53,6872,4214.30,1587,1258.93,4,0.33,2823,3590.88,18722,6075.50,16627,17350.75,118,1.12,2457,2111.47,68941,45214.81
Hojai,58,25051,16969.70,9292,6099.32,4065,2948.12,20,1.47,5880,5216.30,25403,7956.35,13213,16323.74,167,3.04,8390,4463.79,91481,59981.83
Jorhat,133,45078,25810.80,11902,8002.92,12498,9020.65,66,7.03,11036,13675.35,53774,14858.12,3717,7656.27,941,7.23,12692,7331.10,151704,86369.47
Kamrup Metro,178,76532,51909.27,14579,8499.41,12579,8265.28,161,10.58,35154,23919.83,80677,22822.85,25031,30010.17,683,2.82,15323,9445.44,260719,154885.65
Karbi Anglong,65,15339,10963.77,908,1215.80,9615,14445.82,9,0.88,7735,13047.56,13199,4841.09,1700,2197.93,177,0.62,1836,1597.31,50518,48310.78
Karimganj,91,28715,16899.16,18528,9287.47,2908,1940.15,41,3.72,4520,5039.71,46763,13689.23,16182,19208.63,398,2.52,5499,3532.91,123554,69603.50
Kokrajhar,55,20078,18456.50,3206,2235.14,10679,14925.58,11,0.80,5109,6104.94,28100,8666.42,9439,7884.34,113,1986.96,6077,6535.59,82812,66796.27
Lakhimpur,91,65127,47670.26,10570,7943.16,17103,19304.38,10,0.52,21765,15247.36,42820,15427.93,10656,13266.93,98,1.19,20505,11211.09,188654,130072.82
Majuli,16,8538,8922.13,588,576.63,1916,1916.74,3,0.43,1160,2176.00,1052,507.91,25,79.21,87,0.73,2050,1755.06,15419,15934.84
Morigaon,67,47312,31096.89,9896,6022.35,13346,8725.83,106,10.44,10287,8449.64,31864,9211.01,17774,19831.03,1897,5.57,7218,4394.27,139700,87747.03
Nagaon,154,88482,54607.36,20427,12741.35,12853,8225.90,93,7.40,30806,22971.87,97496,27822.70,52501,54473.02,1854,16.27,15322,12138.79,319834,193004.66
Nalbari,85,37801,25265.54,5238,3358.04,3208,2911.04,28,10.13,22795,17994.00,41725,9855.82,10997,12390.77,485,2.07,6155,4374.34,128432,76161.75
Sivasagar,101,43462,21836.90,6379,4932.69,4430,3775.48,63,4.89,9178,7304.72,49024,13813.52,13273,13219.78,1025,9927.27,10661,6434.46,137495,81249.71
Sonitpur,132,45931,36455.35,10513,6745.47,11007,8765.84,28,3.00,17667,16984.18,53527,16672.61,10637,15094.74,938,4.11,16567,14403.32,166815,115128.62
South Salmara,13,2432,1256.19,14,62.71,11,28.98,6,0.57,803,1260.09,248,110.55,2325,5702.56,16,0.09,408,852.14,6263,9273.88
Tinsukia,145,38801,31941.12,4897,4074.49,5431,5490.02,84,8.20,16914,13570.03,37428,10758.54,1741,8044.18,1370,4.40,7029,5998.91,113695,79889.89
