District,Total Branch,Housing Loan (PS) O/S No.,Housing Loan (PS) O/S Amt,Housing Loan (NPS) O/S No.,Housing Loan (NPS) O/S Amt,Rural Housing Loan O/S No.,Rural Housing Loan O/S Amt,Housing Loan Eligible under PMAY O/S No.,Housing Loan Eligible under PMAY O/S Amt,Current Year Disbursed under PMAY No.,Current Year Disbursed under PMAY Amt,PMAY O/S No.,PMAY O/S Amt
Baksa,56,971,9290.04,580,3247.11,937,9919.17,5,50.01,0,0,5,50.01
Barpeta,126,3246,31250.04,2381,15822.19,722,6939.68,15,187.00,0,0,21,196.94
Biswanath,56,1360,10638.14,923,5456.51,493,4531.33,11,160.91,0,0,13,179.82
Bongaigaon,61,1909,16994.82,2215,20851.04,314,3443.64,48,494.80,0,0,54,632.63
Cachar,162,6262,30243.57,2604,20665.08,432,4724.43,96,977.70,1,1,107,1071.84
Charaideo,36,408,3376.06,348,2533.22,132,1440.02,1,10.13,0,0,1,10.13
Chirang,38,601,6035.85,624,3639.14,571,7001.30,0,0,0,0,0,0
Darrang,69,1607,14847.72,1699,12077.25,403,5075.57,11,111.15,0,0,11,111.15
Dhemaji,47,1621,14331.36,1725,7485.16,642,7537.12,12,111.69,0,0,22,194.29
Dhubri,88,1933,16623.14,1734,8681.96,549,5808.08,42,325.68,0,0,45,357.69
Dibrugarh,180,7194,42850.31,4838,48541.41,1718,17874.49,73,855.32,0,0,85,947.90
Dima Hasao,31,430,3472.02,162,1065.50,104,669.13,0,0,0,0,1,6.74
Goalpara,72,1145,10644.86,970,3821.96,288,2786.98,5,43.48,0,0,9,54.81
Golaghat,121,2349,19311.36,2575,17925.23,570,7310.87,19,157.34,0,0,20,162.64
Hailakandi,46,916,6768.12,662,3012.43,26,125.49,17,142.02,0,0,21,171.81
Hojai,58,949,8096.57,733,4536.83,93,849.00,14,131.91,0,0,17,161.18
Jorhat,133,7220,43732.76,6328,50388.07,907,10169.68,38,478.88,0,0,58,805.02
Kamrup Metro,178,5510,56459.07,3610,39014.03,2461,28145.04,39,425.35,0,0,86,960.28
Karbi Anglong,65,2155,21795.65,798,5225.44,1156,11590.07,1,10.13,0,0,1,10.13
Karimganj,91,1127,6467.94,540,4838.76,218,1853.27,21,209.64,0,0,21,209.64
Kokrajhar,55,1050,11103.26,1155,11551.28,403,5332.68,4,34.37,0,0,5,34.53
Lakhimpur,91,3359,27099.80,2285,17821.99,756,8662.96,50,525.03,0,0,50,525.03
Majuli,16,332,2352.83,146,505.36,144,1717.75,9,97.06,0,0,9,97.06
Morigaon,67,1637,11741.95,632,5432.29,714,4103.84,44,465.68,0,0,47,475.68
Nagaon,154,6832,36180.36,3084,20805.94,926,9866.27,70,674.57,0,0,77,751.84
Nalbari,85,2501,22635.63,2572,17164.85,743,8002.65,9,99.27,0,0,15,118.15
Sivasagar,101,5577,23688.54,2773,22423.30,612,6534.91,19,295.97,0,0,33,477.65
Sonitpur,132,6377,32915.65,4189,40296.72,1106,12891.29,44,346.56,2,3,65,578.28
South Salmara,13,282,2794.62,269,309.59,130,1255.16,0,0,0,0,0,0
Tinsukia,145,5697,26303.19,2748,27766.84,581,5727.48,47,413.37,1,14,51,444.59
Udalguri,49,1661,15713.90,1806,3194.98,422,4701.42,3,19.89,0,0,3,19.89
West Karbi Anglong,22,564,5899.44,81,134.60,569,5976.24,0,0,0,0,0,0
