District,Total Branch,Export Credit A/C,Export Credit Amt,Education (PS) A/C,Education (PS) Amt,Housing (PS) A/C,Housing (PS) Amt,Social Infrastructure A/C,Social Infrastructure Amt,Renewable Energy A/C,Renewable Energy Amt,Informal Credit A/C,Informal Credit Amt,Total Other PS Disb No.,Total Other PS Disb Amt,Loans to weaker No.,Loans to weaker Amt
Baksa,56,0,0.00,25,24.04,18,134.50,0,0,0,0,1182,532.77,1225,691.31,7602,7408.96
Barpeta,126,0,0.00,69,88.06,168,779.30,0,0,0,0,7132,3107.41,7369,3974.77,28472,25763.27
Biswanath,56,0,0.00,17,18.89,11,52.71,0,0,0,0,1036,488.23,1064,559.83,8696,7005.16
Bongaigaon,61,0,0.00,32,33.26,102,486.72,0,0,0,0,3415,1610.16,3549,2130.14,12265,13706.60
Cachar,162,0,0.00,108,96.15,346,1103.09,1,1.35,0,0,14636,7571.68,15091,8772.27,25485,20002.37
Charaideo,36,0,0.00,9,10.53,14,80.91,0,0,0,0,462,166.94,485,258.38,5317,3955.73
Chirang,38,0,0.00,5,13.97,6,22.96,0,0,0,0,1352,600.72,1363,637.65,5998,5798.81
Darrang,69,0,0.00,63,101.60,55,303.82,0,0,0,0,3026,1255.01,3144,1660.43,17674,13597.41
Dhemaji,47,0,0.00,44,42.89,22,114.60,0,0,0,0,1935,883.72,2001,1041.21,13801,11256.81
Dhubri,88,0,0.00,40,49.71,54,122.28,0,0,0,0,4600,1907.79,4694,2079.78,12642,12166.02
Dibrugarh,180,0,0.00,106,139.47,172,974.48,0,0,0,0,7147,3468.25,7425,4582.20,29330,23695.22
Dima Hasao,31,0,0.00,6,7.39,5,17.81,0,0,0,0,122,66.85,133,92.05,1339,2469.59
Goalpara,72,0,0.00,25,48.67,23,144.24,0,0,1,0.01,4298,1659.21,4347,1852.13,12655,10239.30
Golaghat,121,0,0.00,67,80.21,67,477.37,0,0,0,0,6751,3415.65,6885,3973.23,26415,18609.73
Hailakandi,46,0,0.00,14,15.72,22,123.45,0,0,0,0,2810,1440.60,2846,1579.77,6216,5193.73
Hojai,58,0,0.00,27,36.51,15,67.48,0,0,0,0,2109,1067.90,2151,1171.89,7991,8002.57
Jorhat,133,0,0.00,144,223.01,203,1198.75,0,0,0,0,4746,2277.88,5093,3699.64,18011,14552.48
Kamrup Metro,178,0,0.00,412,470.94,659,1788.62,0,0,0,0,9167,4521.37,10238,6780.93,36057,28338.21
Karbi Anglong,65,0,0.00,22,29.00,29,184.70,0,0,0,0,1476,779.68,1527,993.38,6544,5931.20
Karimganj,91,0,0.00,33,54.17,112,280.43,0,0,0,0,7773,3984.39,7918,4318.99,11287,9533.13
Kokrajhar,55,0,0.00,33,52.58,17,143.91,0,0,0,0,4554,1957.72,4604,2154.21,13708,13457.37
Lakhimpur,91,0,0.00,93,323.51,120,820.07,0,0,0,0,5309,2351.16,5522,3494.74,22993,17594.35
Majuli,16,0,0.00,5,5.24,15,123.06,0,0,0,0,1136,667.85,1156,796.15,3966,3822.07
Morigaon,67,0,0.00,43,49.91,61,491.28,0,0,0,0,1922,985.17,2026,1526.36,15410,12022.01
Nagaon,154,0,0.00,68,86.87,142,1123.33,0,0,0,0,6270,3434.67,6480,4644.87,32459,26881.88
Nalbari,85,0,0.00,81,69.68,97,742.02,0,0,0,0,3456,1900.64,3634,2712.34,16402,17419.55
Sivasagar,101,0,0.00,79,204.56,97,749.70,0,0,0,0,2837,1870.05,3013,2824.31,18350,13878.60
Sonitpur,132,0,0.00,153,326.59,218,1403.62,0,0,0,0,7942,6042.51,8313,7772.72,26795,22602.39
South Salmara,13,0,0.00,5,7.38,2,5.01,0,0,0,0,53,320.86,60,333.25,725,1615.02
Tinsukia,145,0,0.00,107,427.07,115,1041.03,0,0,0,0,5489,4208.67,5711,5676.77,19868,15778.52
Udalguri,49,0,0.00,88,90.28,22,140.01,0,0,0,0,1800,1205.14,1910,1435.43,9298,7804.11
West Karbi Anglong,22,0,0.00,3,2.58,1,11.00,0,0,0,0,0,0,4,13.58,1108,1499.20
