district,Total Branch,Current Year No. of Female Account,Current Year Sum of Female Amount,Current Year No. of Male Account to SC,Current Year Sum of Male Amount to SC,Current Year No. of Male Account to ST,Current Year Sum of Male Amount to ST,Total Current Year SUI Disb No.,Total Current Year SUI Disb Amount,SUI O/S No.,SUI O/S Amt.,SUI NPA No.,SUI NPA Amt.,SUI NPA Amt. %
Baksa,56,0,0.00,0,0.00,0,0.00,0,0.00,8,144.60,0,0.02,0.01
Barpeta,126,12,342.68,6,43.48,1,5.02,19,391.18,57,903.45,9,111.84,12.38
Biswanath,56,5,12.97,2,27.00,0,0.00,7,39.97,24,253.74,5,14.51,5.72
Bongaigaon,61,4,102.82,5,73.00,4,80.00,13,255.82,76,771.35,12,87.18,11.30
Cachar,162,10,141.27,1,15.06,1,43.35,12,199.68,54,945.08,5,45.26,4.79
Charaideo,36,2,30.00,0,0.00,0,0.00,2,30.00,9,136.50,0,0.00,0.00
Chirang,38,1,40.00,0,0.00,2,10.50,3,50.50,20,255.45,1,10.54,4.13
Darrang,69,1,24.91,0,0.00,0,0.00,1,24.91,35,531.60,11,119.78,22.53
Dhemaji,47,0,0.00,0,0.00,1,0.00,1,0.00,10,124.39,0,0.06,0.05
Dhubri,88,10,166.35,2,23.82,0,0.00,12,190.17,32,588.46,0,0.05,0.01
Dibrugarh,180,25,421.22,2,25.00,7,107.55,34,553.77,166,"2,549.91",18,198.61,7.79
Dima Hasao,31,1,25.00,1,12.00,1,10.00,3,47.00,16,152.41,1,15.55,10.20
Goalpara,72,8,81.91,2,22.00,0,0.00,10,103.91,36,278.61,12,60.65,21.77
Golaghat,121,3,46.40,0,0.00,1,12.00,4,58.40,53,777.11,3,8.86,1.14
Hailakandi,46,1,10.00,1,20.00,0,0.00,2,30.00,9,217.60,2,21.74,9.99
Hojai,58,1,31.00,0,0.00,0,0.00,1,31.00,65,621.45,24,88.24,14.20
Jorhat,133,15,260.98,1,20.00,0,0.00,16,280.98,107,"1,315.44",6,27.88,2.12
Kamrup,178,20,219.46,11,56.55,5,10.32,36,286.33,78,997.34,6,84.60,8.48
Kamrup Metro,432,139,"2,585.54",11,220.41,8,74.98,158,"2,880.93",474,"8,896.77",59,609.43,6.85
Karbi Anglong,65,2,33.00,3,25.00,9,143.02,14,201.02,35,547.45,5,27.35,5.00
Karimganj,91,3,49.00,0,0.00,0,0.00,3,49.00,24,479.99,5,80.81,16.84
Kokrajhar,55,40,67.63,41,260.00,62,19.17,143,346.80,16,346.35,3,20.18,5.83
Lakhimpur,91,5,50.89,1,25.00,6,121.14,12,197.03,37,481.03,7,53.16,11.05
Majuli,16,2,18.41,0,0.00,1,17.51,3,35.92,12,101.22,1,8.89,8.78
Morigaon,67,14,34.41,7,54.98,25,48.99,46,138.38,43,395.40,12,86.82,21.96
Nagaon,154,12,143.99,2,54.51,1,28.00,15,226.50,91,"1,074.30",20,163.66,15.23
Nalbari,85,15,231.93,3,25.00,3,0.18,21,257.11,55,676.26,7,113.29,16.75
Sivasagar,101,29,221.81,5,35.00,20,0.50,54,257.31,58,667.86,5,53.38,7.99
Sonitpur,132,15,300.69,6,33.29,4,14.68,25,348.66,130,"1,944.23",16,146.39,7.53
South Salmara,13,1,0.00,0,0.00,0,0.00,1,0.00,2,71.16,0,0.00,0.00
Tinsukia,145,18,367.59,7,89.38,1,29.30,26,486.27,110,"1,893.36",4,24.31,1.28
Udalguri,49,13,48.11,4,31.11,27,49.78,44,129.00,15,310.87,2,27.81,8.95
West Karbi Anglong,22,0,0.00,0,0.00,0,0.00,0,0.00,6,57.35,1,11.34,19.77
