district,Total Branch,KCCs for AH and Allied Activities No,KCCs for AH and Allied Activities Amt,Farm Production A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mech No,Farm Mech Amt,Poultry No,Poultry Amt,fisheries no,fisheries Amt,Godown No,Godown Amt,Clinic No,Clinic Amt,Other No,Other Amt,Total IC- Agri Disb No.,Total IC- Agri Disb Amt.
Baksa,56,94,22.82,0,0.00,21,9.08,282,74.49,23,19.35,15,16.97,0,0.00,0,0.00,340,780.67,775,923.38
Barpeta,126,433,319.44,0,0.00,361,409.76,"6,178","2,282.83",78,30.29,72,68.24,1,1.50,0,0.00,"1,638","4,458.33","8,761","7,570.39"
Biswanath,56,100,61.02,0,0.00,9,5.10,253,95.70,22,5.66,4,2,0,0.00,0,0.00,518,897.44,906,"1,066.92"
Bongaigaon,61,38,22.00,0,0.00,393,274.19,846,317.12,72,45.81,5,2.94,0,0.00,0,0.00,598,807.57,"1,952","1,469.63"
Cachar,162,274,130.40,0,0.00,309,406.68,"1,659",446.06,159,393.17,93,142.92,0,0.00,0,0.00,"1,740","2,496.46","4,234","4,015.69"
Charaideo,36,28,10.73,0,0.00,29,34.43,1,0,55,92.73,2,7,0,0.00,0,0.00,54,145.57,169,290.46
Chirang,38,114,66.10,0,0.00,3,6.71,0,0,19,32.41,0,0,0,0.00,0,0.00,320,664.20,456,769.42
Darrang,69,285,98.64,0,0.00,329,475.75,"4,391","1,368.40",58,75.10,110,190.52,0,0.00,0,0.00,"1,018","1,538.07","6,191","3,746.48"
Dhemaji,47,90,71.64,0,0.00,48,62.68,"1,802",730.74,106,79.57,2,1.74,0,0.00,0,0.00,419,"1,013.41","2,467","1,959.78"
Dhubri,88,165,9.93,0,0.00,39,30.49,580,146.37,44,33.79,5,0,1,40.61,0,0.00,825,"1,221.03","1,659","1,482.22"
Dibrugarh,180,201,92.07,0,0.00,235,241.66,"2,990",969.49,79,65.76,24,22.12,0,0.00,0,0.00,"1,210","6,444.21","4,739","7,835.31"
Dima Hasao,31,16,20.30,0,0.00,1,1.27,1,1,0,0,1,1.03,0,0.00,0,0.00,34,33.69,53,57.29
Goalpara,72,263,46.65,0,0.00,62,37.92,8,1.50,69,54.50,4,0.40,0,0.00,0,0.00,373,845.48,779,986.45
Golaghat,121,305,172.23,0,0.00,148,92.58,"2,563",846.29,30,47.75,6,15.60,0,0.00,0,0.00,"1,764","3,660.28","4,816","4,834.73"
Hailakandi,46,76,67.06,0,0.00,140,145.25,2,6.00,63,110.55,12,15.03,0,0.00,0,0.00,638,925.49,931,"1,269.38"
Hojai,58,39,23.44,0,0.00,93,98.36,953,217.19,22,21.69,127,160.80,0,0.00,0,0.00,595,"1,091.66","1,829","1,613.14"
Jorhat,133,103,26.47,0,0.00,373,328.97,"1,850",582.20,63,70.84,21,42.37,0,0.00,0,0.00,"1,230","4,687.13","3,640","5,737.98"
Kamrup Metro,178,528,311.72,0,0.00,305,271.80,"5,482","2,183.86",288,217.13,100,128.05,0,0.00,1,4.75,"2,832","4,498.08","9,536","7,615.39"
Karbi Anglong,65,93,45.71,0,0.00,27,32.42,452,182.14,17,23.66,13,7.32,0,0.00,0,0.00,169,343.00,771,634.25
Karimganj,91,127,88.64,0,0.00,50,61.37,78,25.89,9,22.63,10,25.88,0,0.00,0,0.00,370,672.27,644,896.68
Kokrajhar,55,133,20.69,0,0.00,208,162.30,172,37.97,138,120.77,9,17.10,0,0.00,0,0.00,606,"1,218.06","1,266","1,576.89"
Lakhimpur,91,196,237.28,0,0.00,87,114.39,"2,781",979.86,61,77.92,30,12.88,1,3.20,0,0.00,900,"1,416.00","4,056","2,841.53"
Majuli,16,8,0.69,0,0.00,0,0,0,0,2,5.55,0,0,0,0.00,0,0.00,11,13.71,21,19.95
Morigaon,67,337,89.08,0,0.00,326,260.62,"1,379",411.72,52,62.00,72,191.66,0,0.00,0,0.00,935,"1,561.15","3,101","2,576.23"
Nagaon,154,213,126.34,0,0.00,554,434.99,"6,085","2,102.74",60,56.61,23,52.52,0,0.00,0,0.00,"1,618","2,036.61","8,553","4,809.81"
Nalbari,85,412,78.83,0,0.00,239,185.87,"3,808","1,557.06",227,120.93,21,41.83,0,0.00,1,2.00,789,"2,196.69","5,497","4,183.21"
Sivasagar,101,109,34.76,1,1.56,3128,"1,481.07","1,668",512.92,600,466.54,1,0.60,0,0.00,1,5.98,"1,280","1,793.64","6,788","4,297.07"
Sonitpur,132,556,280.48,0,0.00,121,112.52,"4,024","1,182.59",192,203.76,16,6.19,0,0.00,1,0.00,"1,065","1,923.75","5,975","3,709.29"
South Salmara,13,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0.00,1,0.15,1,0.15
Tinsukia,145,368,270.18,0,0.00,572,862.14,"2,994",932.47,186,224.64,12,14.79,0,0.00,1,0.93,"1,084","8,551.25","5,217","10,856.40"
Udalguri,49,293,79.11,0,0.00,2,2.41,4,0,53,33.96,5,0.8,0,0.00,0,0.00,157,286.85,514,403.13
West Karbi Anglong,22,2,3.20,0,0.00,4,7.02,0,0,0,0,0,0,0,0.00,0,0.00,23,61.12,29,71.34
