District,Total Branch,Sishu O/S No.,Sishu O/S Amt,Sishu NPA No.,Sishu NPA Amt,Kishore O/S No.,Kishore O/S Amt,Kishore NPA No.,Kishore NPA Amt,Tarun O/S No.,Tarun O/S Amt,Tarun NPA No.,Tarun NPA Amt,Total MUDRA O/S No.,Total MUDRA O/S Amt,Total MUDRA NPA No.,Total MUDRA NPA Amt,MUDRA NPA Pct
Baksa,56,3634,708.82,772,214.41,6699,6782.70,812,1194.54,245,1304.96,23,112.14,10578,8796.48,1607,1521.09,17.29
Barpeta,126,36731,6720.18,9973,1906.30,36745,30841.48,8420,7029.59,1939,9545.53,135,742.80,75415,47107.19,18528,9678.69,20.55
Biswanath,56,8088,1307.99,2075,390.21,10916,8065.75,1751,1329.01,412,2355.69,29,172.36,19416,11729.43,3855,1891.58,16.13
Bongaigaon,61,15889,2764.42,4142,552.55,12173,9549.24,1954,1459.37,996,4574.60,40,200.92,29058,16888.26,6136,2212.84,13.10
Cachar,162,56954,9274.93,14129,2637.85,65384,42968.21,15783,11181.10,2478,10821.89,165,899.67,124816,63065.03,30077,14718.62,23.34
Charaideo,36,6667,1171.51,1419,267.73,5568,4993.47,375,487.62,426,1974.52,11,48.72,12661,8139.50,1805,804.07,9.88
Chirang,38,7793,1427.58,1610,299.53,8442,6881.48,1751,1697.84,192,1067.51,27,106.83,16427,9376.57,3388,2104.20,22.44
Darrang,69,18931,3343.74,6806,1185.63,19055,15602.70,4570,3875.62,1114,6244.85,183,1008.43,39100,25191.29,11559,6069.68,24.09
Dhemaji,47,9486,1775.51,2976,613.66,7906,7959.28,1764,1763.75,725,3919.76,68,330.64,18117,13654.55,4808,2708.05,19.83
Dhubri,88,27130,4443.16,9869,1890.19,29353,21917.87,10864,8387.86,754,3869.93,101,360.56,57237,30230.96,20834,10638.61,35.19
Dibrugarh,180,39380,5808.35,8642,1415.31,32627,26966.32,3788,3767.97,2581,13650.59,299,1525.80,74588,46425.26,12729,6709.08,14.45
Dima Hasao,31,1473,227.77,279,50.12,1221,1913.10,107,147.48,163,937.93,4,17.68,2857,3078.80,390,215.28,6.99
Goalpara,72,18466,3245.35,6604,1207.81,17344,13876.12,4441,3344.46,657,3107.60,56,287.26,36467,20229.07,11101,4839.53,23.92
Golaghat,121,26329,4169.13,5252,916.36,28453,19924.44,3007,2280.37,1448,5844.99,81,372.14,56230,29938.56,8340,3568.87,11.92
Hailakandi,46,8753,1716.40,1949,391.65,13499,10545.14,3124,2496.60,570,2613.46,50,219.25,22822,14875.00,5123,3107.50,20.89
Hojai,58,11116,1879.28,3058,625.04,17273,12969.65,3139,2663.06,1802,7788.25,196,867.51,30191,22637.18,6393,4155.61,18.36
Jorhat,133,30024,4344.73,6848,706.21,23845,19584.74,2805,2335.26,1723,8016.37,144,722.85,55592,31945.84,9797,3764.32,11.78
Kamrup Metro,178,56675,10012.76,15970,2545.16,56064,39628.85,11292,8537.73,1819,9427.48,180,821.94,114558,59069.09,27442,11904.83,20.15
Karbi Anglong,65,4602,771.64,603,100.87,4913,5769.86,308,388.99,400,2179.88,28,141.08,9915,8721.38,939,630.94,7.23
Karimganj,91,24572,4710.58,6899,1446.79,31452,21015.94,8493,6761.53,1112,5189.69,121,754.88,57136,30916.21,15513,8963.20,28.99
Kokrajhar,55,17812,3359.44,1626,321.88,12065,9185.32,2164,1994.62,396,2098.38,17,99.41,30273,14643.14,3807,2415.91,16.50
Lakhimpur,91,20502,3831.13,6058,1351.21,21612,17391.42,4416,3871.14,1173,5791.29,177,855.57,43287,27013.84,10651,6077.92,22.50
Majuli,16,2259,453.72,489,77.82,989,1380.40,131,143.36,377,1212.25,36,185.31,3625,3046.37,656,406.49,13.34
Morigaon,67,10517,1790.60,2225,544.30,17778,14376.03,3328,3455.74,1261,6012.18,210,1142.20,29556,22178.81,5763,5142.24,23.19
Nagaon,154,39489,6802.09,10011,1975.92,49489,35487.79,10157,8552.74,2625,11740.40,393,1913.35,91603,54030.28,20561,12442.01,23.03
Nalbari,85,20493,3484.78,4462,755.85,16891,13977.63,2684,2453.13,701,3786.61,70,371.23,38085,21249.02,7216,3580.21,16.85
Sivasagar,101,19223,2943.90,3546,571.01,21580,17773.18,1960,1617.92,1579,6904.73,67,274.06,42382,27621.81,5573,2462.99,8.92
Sonitpur,132,30291,5207.28,8778,1374.64,35208,27104.18,6293,5185.14,1993,10468.82,197,1036.18,67492,42780.28,15268,7595.96,17.76
South Salmara,13,328,104.57,105,23.69,923,1380.56,352,412.41,82,466.46,10,61.80,1333,1951.59,467,497.90,25.51
Tinsukia,145,21660,3449.60,4738,673.14,23477,22420.32,2819,2915.05,2313,13631.69,202,1168.41,47450,39501.61,7759,4756.60,12.04
Udalguri,49,7371,1548.48,1019,270.55,6109,6410.67,1704,2217.19,224,1408.03,29,133.21,13704,9367.18,2752,2620.95,27.98
West Karbi Anglong,22,445,69.53,118,7.47,283,438.76,26,39.19,57,219.97,1,,785,728.26,145,46.66,6.41
