District,Total No. of Camps (FY),No of rural branches in district,No. of Camps Conducted
Baksa,44,56,12
Barpeta,187,64,72
Biswanath,11,35,0
Bongaigaon,0,25,0
Cachar,0,90,0
Charaideo,97,21,49
Chirang,8,23,0
Darrang,39,39,19
Dhemaji,70,23,27
Dhubri,98,40,0
Dibrugarh,85,91,37
Dima Hasao,10,13,8
Goalpara,80,43,47
Golaghat,20,71,10
Hailakandi,70,18,22
Hojai,22,20,0
Jorhat,162,56,78
Kamrup Metro,142,134,121
Karbi Anglong,12,39,0
Karimganj,113,56,37
Kokrajhar,38,34,12
Lakhimpur,164,53,70
Majuli,93,15,65
Morigaon,42,41,8
Nagaon,57,91,34
Nalbari,170,57,146
Sivasagar,14,55,0
Sonitpur,24,61,0
South Salmara,42,8,24
Tinsukia,42,55,23
Udalguri,176,30,21
West Karbi Anglong,8,22,0
