district,Total Branch,Sishu No,Sishu amt,Kishore no,Kishore Amt,Tarun No,Tarun Amt,Total MUDRA Disb No.,Total MUDRA Disb Amt.
Baksa,53,1282,475.45,1072,1547.73,81,465.52,2435,2488.7
Barpeta,121,7167,2276.98,5156,6980.18,529,3196.66,12852,12453.82
Biswanath,56,1427,531.86,1962,2542.95,159,902.15,3548,3976.96
Bongaigaon,55,3431,995.27,2157,2506.93,293,1873.38,5881,5375.58
Cachar,158,14308,5204.02,10501,11409.52,351,2450.3,25160,19063.84
Charaideo,33,1465,483.82,795,823.98,52,327.87,2312,1635.67
Chirang,34,1751,580.64,1213,1256.17,58,326.89,3022,2163.7
Darrang,70,2221,761.31,2340,3414.72,333,2302.66,4894,6478.69
Dhemaji,45,2086,733.67,1578,2099.79,298,1656.82,3962,4490.28
Dhubri,83,7398,2556.22,4949,6214.56,180,1056.15,12527,9826.93
Dibrugarh,182,9950,2878.78,4730,6564.36,1017,6244,15697,15687.14
Dima Hasao,28,697,91.3,170,273.99,29,177.73,896,543.02
Goalpara,67,4229,1374.86,2643,3803.83,244,1602.86,7116,6781.55
Golaghat,115,3450,1202.03,3861,4341.1,333,2047.47,7644,7590.6
Hailakandi,44,2254,820.09,3279,3827.53,85,544.72,5618,5192.34
Hojai,59,2035,741.46,2546,2745.93,188,1188.75,4769,4676.14
Jorhat,135,4508,1407.68,2778,3741.98,371,2434.67,7657,7584.33
KARIMGANJ,87,5712,2022.66,5984,6363.07,167,1187.42,11863,9573.15
Kamrup,167,7302,2682.14,6525,7724.39,413,2536.29,14240,12942.82
Kamrup Metro,416,10428,2980.9,7493,11225.04,1819,11196.5,19740,25402.44
Karbi Anglong,64,1813,511.44,565,786.88,77,589.62,2455,1887.94
Kokrajhar,52,5506,1938.82,1718,2331.89,96,728.27,7320,4998.98
Lakhimpur,87,3459,1161.45,3820,4504.91,361,2102.96,7640,7769.32
Majuli,14,63,26.42,189,532.38,35,259.77,287,818.57
Morigaon,67,1505,605.15,2703,3180.16,121,836.83,4329,4622.14
Nagaon,149,6164,1893.23,6813,6992.61,394,2183.26,13371,11069.1
Nalbari,83,2225,855.51,2111,2782.7,150,1027.44,4486,4665.65
Sivasagar,94,4281,1424.5,2813,3558.55,336,1726.74,7430,6709.79
Sonitpur,122,4503,1491.57,3987,4961.36,449,2639.32,8939,9092.25
South Salmara,11,16,5.18,211,410.1,15,113.7,242,528.98
Tinsukia,147,4984,1482.94,4341,5474.16,660,4303.37,9985,11260.47
Udalguri,46,1995,668.46,950,1111.29,67,487.76,3012,2267.51
West Karbi Anglong,22,79,21.84,22,37.61,2,16.9,103,76.35
